학년,출판사,교육과정,단원 번호,단원 명,의사소통 기능,prompt 수정 사항,어휘,문화,소재,Function Material 1,Function Material 2,Function Material 3,Function Material 4,Phonics
초3,YBM(김),2022 개정 교육과정,1,Hello! I’m Dito,"• 만날 때 인사하기
Hello!/Hi!

• 소개하고 이에 답하기 
I’m Siyun.
Nice to meet you.

• 이름 묻고 답하기
What’s your name?
My name is Yeji.

• 헤어질 때 인사하기 
Goodbye.",이름이 바꾸뀌지 않음 rewriting 해봐야 함,"be, everyone, goodbye, hello, I, meet, name, nice, to, too, what, you",여러 나라의 인사법,"학교생활, 사회생활, 문화","[DESCRIPTION]

Hello/Hi! 등의 표현을 사용해 만날 때 인사하기.

[KEY_EXPRESSION]

Hi there!

[SUB_EXPRESSION_1]

Hello!

[SUB_EXPRESSION_2]

Hey!","[DESCRIPTION]

자신을 소개하고 이에 답하는 표현 익히기.

[KEY_EXPRESSION]

A: I am Eric.

[SUB_EXPRESSION_1]

A: My name is ().

[SUB_EXPRESSION_2]

A: I’m ()!","[DESCRIPTION]

이름을 묻고 답하는 표현 사용하기.

[KEY_EXPRESSION]

A: What's your name?
B: My name is Lily.

[SUB_EXPRESSION_1]

A: What is your name?
B: My name is ().

[SUB_EXPRESSION_2]

A: What are you called?
B: I am ().","[DESCRIPTION]

'Goodbye'를 이용하여 헤어질 때 인사하기.

[KEY_EXPRESSION]

See you later.

[SUB_EXPRESSION_1]

Goodbye for now.

[SUB_EXPRESSION_2]

Take care.",
초3,YBM(김),2022 개정 교육과정,2,"Sit Down, Please","• 요청하고 이에 답하기
Sit down, please. 
Okay.

• 감사하고 이에 답하기
Thank you. 
You’re welcome.",,"close, door, down, great, no, okay, open, please, sit, stand, thank, the, up, welcome, window",여러 나라의 손짓의 의미,"학교생활, 문화, 디지털·인공지능","[DESCRIPTION]

극존칭 표현을 통해 요청하고 그에 긍정적으로 응답하기.

[KEY_EXPRESSION]

A: Sit down, please.
B: Sure.

[SUB_EXPRESSION_1]

A: Please take a seat.
B: Certainly.

[SUB_EXPRESSION_2]

A: Kindly sit down.
B: Of course.","[DESCRIPTION]

감사 표현 및 이에 대한 응답하기.

[KEY_EXPRESSION]

Thank you.

[SUB_EXPRESSION_1]

Thanks a lot.

[SUB_EXPRESSION_2]

Thank you kindly.",,,
초3,YBM(김),2022 개정 교육과정,3,What’s This?,"• 무슨 물건인지 묻고 답하기 What’s this/that? — It’s a bag.
• 주의 끌기 Look!",,"a, bag, ball, book, clock, doll, hat, help, it, look, pencil, that, this, violin",여러 나라의 전통 모자,"가정생활, 학교생활, 문화, 디지털·인공지능","[DESCRIPTION]

의문문을 활용해 무슨 물건인지 묻고 답하기.

[KEY_EXPRESSION]

A: What's this?
B: It's a box.

[SUB_EXPRESSION_1]

A: What's that?
B: It's a ().

[SUB_EXPRESSION_2]

A: What is this called?
B: It is a ().","[DESCRIPTION]

주목을 요청하기 위한 표현 사용하기.

[KEY_EXPRESSION]

Look over here!

[SUB_EXPRESSION_1]

See this!

[SUB_EXPRESSION_2]

Pay attention!",,,
초3,YBM(김),2022 개정 교육과정,4,I Like Pizza,"• 좋아하는 음식 묻고 답하기 Do you like chicken? — Yes, I do. / No, I don’t.
• 좋아하거나 싫어하는 음식 말하기 I like pizza. / I don’t like pizza.",,"apple, candy, chicken, cookie, cream, do, good, ice, kiwi, like, milk, not, pizza, salad, vegetable, yes",여러 나라의 대표적인 음식,"개인생활, 사회생활, 문화","[DESCRIPTION]

Do you like ()?와 Yes, I do. / No, I don't. 표현을 활용해 좋아하는 음식 묻고 답하기.

[KEY_EXPRESSION]

A: Do you enjoy ice cream?
B: No, I don't.

[SUB_EXPRESSION_1]

A: Do you like (fruit)?
B: Yes, I do.

[SUB_EXPRESSION_2]

A: Do you enjoy eating (food)?
B: No, I don't.","[DESCRIPTION]

like를 활용해 좋아하거나 싫어하는 음식 말하기.

[KEY_EXPRESSION]

A: Do you like ice cream?
B: Yes, I love it.

[SUB_EXPRESSION_1]

A: Do you enjoy ()?
B: Yes, I enjoy it.

[SUB_EXPRESSION_2]

A: Do you dislike ()?
B: No, I really like it.",,,
초3,YBM(김),2022 개정 교육과정,5,How Many Tigers?,"• 동물의 수 묻고 답하기 How many tigers? — Three tigers.
• 크기 나타내기 — It’s big. / It’s small.",,"big, cat, dog, how, kangaroo, many, one, pig, small, tiger, zebra, zoo, <two, three, four, five>",세계의 멸종 위기 동물,"개인생활, 생태전환, 디지털·인공지능, 일반교양","[DESCRIPTION]

""How many""를 활용해 동물의 수 묻고 답하기 .

[KEY_EXPRESSION]

A: How many lions are there?
B: There are five lions.

[SUB_EXPRESSION_1]

A: How many () are there?
B: There are () ().

[SUB_EXPRESSION_2]

A: How many ()?
B: ().","[DESCRIPTION]

형용사를 활용해 사물이나 대상의 크기 나타내기.

[KEY_EXPRESSION]

A: It's big.

[SUB_EXPRESSION_1]

A: It's large.

[SUB_EXPRESSION_2]

A: It's huge.",,,
초3,YBM(김),2022 개정 교육과정,6,Can You Swim?,"• 할 수 있는지 묻고 답하기 Can you swim? — Yes, I can. / No, I can’t.
• 할 수 있는 것과 할 수 없는 것 말하기 I can swim. / I can’t swim.","[DESCRIPTION]

be able to ()를 활용해 자신의 능력이나 불가능한 것에 대해 표현하기.

[KEY_EXPRESSION]

I am capable of swimming.

[SUB_EXPRESSION_1]

I am able to ().

[SUB_EXPRESSION_2]

I have the ability to ().

description이 이상하게 나옴","bird, can, come, dance, fly, foot, fun, here, jump, run, skate, swim, walk",여러 나라의 전통 놀이,"개인생활, 사회생활, 문화","[DESCRIPTION]

can을 활용해 상대방의 능력을 묻고 답하기.

[KEY_EXPRESSION]

A: Can you play the piano?
B: Yes, I can.

[SUB_EXPRESSION_1]

A: Are you able to (activity)?
B: Yes, I can.

[SUB_EXPRESSION_2]

A: Do you know how to (action)?
B: Yes, I can.","[DESCRIPTION]

능력과 가능성을 나타내는 조동사 can과 can't를 활용해 할 수 있는 일과 불가능한 일 말하기.

[KEY_EXPRESSION]

I can play the piano.

[SUB_EXPRESSION_1]

I can () well.

[SUB_EXPRESSION_2]

I cannot ().",,,
초3,YBM(김),2022 개정 교육과정,7,What Color Is It?,"• 색깔 묻고 답하기 What color is it? — It’s green.
• 모르고 있음을 나타내기 I don’t know.","dsecription 부분이 이상함
key_expression에서 i don't know가 안나옴 -> 이런 부분 해결","and, at, blue, car, color, flower, green, know, now, orange, pink, pretty, red, right, yellow",여러 나라 도시의 색깔,"학교생활, 문화, 디지털·인공지능, 일반교양","[DESCRIPTION]

의문문과 답변을 통해 사물의 색깔에 대해 묻고 답하기.

[KEY_EXPRESSION]

A: What color is the car?
B: It's blue.

[SUB_EXPRESSION_1]

A: What shade is it?
B: It's ().

[SUB_EXPRESSION_2]

A: Which hue does it have?
B: It's ().","[DESCRIPTION]

부정 표현을 활용해 본인의 모르고 있음을 나타내기.

[KEY_EXPRESSION]

I'm not sure.

[SUB_EXPRESSION_1]

I have no idea.

[SUB_EXPRESSION_2]

I can't say.",,,
초3,YBM(김),2022 개정 교육과정,8,Do You Have a Ruler?,"• 물건을 가지고 있는지 묻고 답하기 Do you have a ruler? — Yes, I do. / No, I don’t.
• 물건을 건네면서 하는 말 하기 Here you are.",,"any, crayon, doughnut, eraser, glue, have, long, love, notebook, pen, ruler, scissors, stick",물건을 주고받을 때의 문화,"민주시민, 생태전환, 일반교양","[DESCRIPTION]

Do you have ()?를 활용해 물건을 가지고 있는지 묻고 답하기.

[KEY_EXPRESSION]

A: Do you have a backpack?
B: Yes, I do. / No, I don’t.

[SUB_EXPRESSION_1]

A: Do you have a ()?
B: Yes, I do. / No, I don’t.

[SUB_EXPRESSION_2]

A: Have you got a ()?
B: Yes, I have. / No, I haven’t.","[DESCRIPTION]

건네는 상황에서 사용하는 표현 익히기.

[KEY_EXPRESSION]

Here you go.

[SUB_EXPRESSION_1]

There you are.

[SUB_EXPRESSION_2]

Here it is.",,,
초3,YBM(김),2022 개정 교육과정,9,How Old Are You?,"• 나이 묻고 답하기 How old are you? — I’m nine years old.
• 생일 축하하기 Happy Birthday!",,"birthday, eat, happy, in, menu, old, play, year, <six, seven, eight, nine, ten>",여러 나라의 생일 음식,"개인생활, 가정생활","[DESCRIPTION]

의문사 How를 활용하여 상대방의 나이를 묻고 답하기.

[KEY_EXPRESSION]

A: How old are you?
B: I’m seven years old.

[SUB_EXPRESSION_1]

A: What's your age?
B: I’m () years old.

[SUB_EXPRESSION_2]

A: Can you tell me your age?
B: I’m () years old.","[DESCRIPTION]

축하의 말을 통해 다른 사람의 생일 축하하기.

[KEY_EXPRESSION]

Wishing you a very happy birthday!

[SUB_EXPRESSION_1]

Happy belated birthday!

[SUB_EXPRESSION_2]

Have a fantastic birthday!",,,
초3,YBM(김),2022 개정 교육과정,10,He’s My Dad,"• 누구인지 묻고 답하기 Who is he/she? — He’s my dad. / She’s my mom.
• 잘한 일을 칭찬하기 Well done!","[DESCRIPTION]

be~로 질문하고 짧게 답하며 사람을 소개하기

-> 수정 필요","beautiful, brother, dad, grandfather, grandmother, he, mom, she, show, sister, tall, well, who",여러 나라의 어버이날,"개인생활, 사회생활","[DESCRIPTION]

의문문 형태 'Who is ()?'를 활용해 상대방이 누구인지 묻고 답하기.

[KEY_EXPRESSION]

A: Who is she?
B: She is my teacher.

[SUB_EXPRESSION_1]

A: Who is he?
B: He is my () teacher.

[SUB_EXPRESSION_2]

A: Who is this?
B: This is my ().","[DESCRIPTION]

기본적인 표현을 활용해 잘한 일을 칭찬하기.

[KEY_EXPRESSION]

Great job!

[SUB_EXPRESSION_1]

Nice work!

[SUB_EXPRESSION_2]

Excellent effort!",,,
