,textbook ID,학년,출판사,교육과정,단원 번호,단원 명,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_KOR,SUB_EXPRESSION
0,310,초3,YBM(김),2022,1,Hello! I’m Dito,Hello/Hi! 등의 표현을 사용해 만날 때 인사하기. ,Hi there! ,,Hello! Hey! 
1,310,초3,YBM(김),2022,2,"Sit Down, Please",극존칭 표현을 통해 요청하고 그에 긍정적으로 응답하기. ,"A: Sit down, please. B: Sure. ",,A: Please take a seat. B: Certainly. A: Kindly sit down. B: Of course. 
2,310,초3,YBM(김),2022,3,What’s This?,의문문을 활용해 무슨 물건인지 묻고 답하기. ,A: What's this? B: It's a box. ,,A: What's that? B: It's a (). A: What is this called? B: It is a (). 
3,310,초3,YBM(김),2022,4,I Like Pizza,"Do you like ()?와 Yes, I do. / No, I don't. 표현을 활용해 좋아하는 음식 묻고 답하기. ","A: Do you enjoy ice cream? B: No, I don't. ",,"A: Do you like (fruit)? B: Yes, I do. A: Do you enjoy eating (food)? B: No, I don't. "
4,310,초3,YBM(김),2022,5,How Many Tigers?,"""How many""를 활용해 동물의 수 묻고 답하기 . ",A: How many lions are there? B: There are five lions. ,,A: How many () are there? B: There are () (). A: How many ()? B: (). 
5,310,초3,YBM(김),2022,6,Can You Swim?,can을 활용해 상대방의 능력을 묻고 답하기. ,"A: Can you play the piano? B: Yes, I can. ",,"A: Are you able to (activity)? B: Yes, I can. A: Do you know how to (action)? B: Yes, I can. "
6,310,초3,YBM(김),2022,7,What Color Is It?,의문문과 답변을 통해 사물의 색깔에 대해 묻고 답하기. ,A: What color is the car? B: It's blue. ,,A: What shade is it? B: It's (). A: Which hue does it have? B: It's (). 
7,310,초3,YBM(김),2022,8,Do You Have a Ruler?,Do you have ()?를 활용해 물건을 가지고 있는지 묻고 답하기. ,"A: Do you have a backpack? B: Yes, I do. / No, I don’t. ",,"A: Do you have a ()? B: Yes, I do. / No, I don’t. A: Have you got a ()? B: Yes, I have. / No, I haven’t. "
8,310,초3,YBM(김),2022,9,How Old Are You?,의문사 How를 활용하여 상대방의 나이를 묻고 답하기. ,A: How old are you? B: I’m seven years old. ,,A: What's your age? B: I’m () years old. A: Can you tell me your age? B: I’m () years old. 
9,310,초3,YBM(김),2022,10,He’s My Dad,의문문 형태 'Who is ()?'를 활용해 상대방이 누구인지 묻고 답하기. ,A: Who is she? B: She is my teacher. ,,A: Who is he? B: He is my () teacher. A: Who is this? B: This is my (). 
10,310,초3,YBM(김),2022,11,How’s the Weather?,날씨를 묻고 표현을 활용하여 답하기. ,A: How’s the weather? B: It's rainy. ,,A: What’s the weather like? B: It's (). A: How does the sky look today? B: It’s (). 
11,311,초3,YBM(최),2022,1,"Hello, ABC!",만났을 때 사용하는 간단한 인사말 활용하기. ,Good day! ,,How are you? Hi there! 
12,311,초3,YBM(최),2022,2,What’s This?,What’s ()? 패턴을 활용해 무엇인지 묻고 답하기. ,A: What’s this? B: It’s a toy. ,,A: What’s that? B: It’s a (). A: What’s this called? B: It’s a (). 
13,311,초3,YBM(최),2022,3,"Sit Down, Please",명령문을 활용해 상대방에게 요청하고 응답하기. ,"A: Sit down, please. B: Sure. ",,"A: Come here, please. B: Alright. A: Stand up, please. B: Okay. "
14,311,초3,YBM(최),2022,4,How Many Cows?,How many ()를 활용해 수 묻고 답하기. ,A: How many apples do you have? B: I have five apples. ,,A: How many pencils are there? B: There are () pencils. A: How many cars do you see? B: I see () cars. 
15,311,초3,YBM(최),2022,5,Do You Like Apples?,Do you like ()?를 활용해 좋아하는 것 묻고 답하기. ,"A: Do you like strawberries? B: Yes, I do. ",,"A: Do you enjoy eating ()? B: Yes, I do. A: Do you find () enjoyable? B: No, I don't. "
16,311,초3,YBM(최),2022,6,I Can Jump,Can you ()? 을 활용해 할 수 있는지 묻고 답하기. ,"A: Can you run fast? B: Yes, I can. ",,"A: Are you able to ()? B: No, I cannot. A: Do you know how to ()? B: Yes, I do. "
17,311,초3,YBM(최),2022,7,I Have a Pencil,Do you ()를 활용해 물건을 가지고 있는지 묻고 답하기. ,"A: Do you have a marker? B: No, I don't. ",,"A: Do you own a ()? B: Yes, I do. A: Do you possess a ()? B: No, I don’t. "
18,311,초3,YBM(최),2022,8,I’m Happy,I am () 표현을 활용해 감정이나 상태 표현하기. ,I'm joyful. ,,I'm content. I'm thrilled. 
19,311,초3,YBM(최),2022,9,What Color Is It?,What color is ()?을 통해 색깔 묻고 답하기. ,A: What color is the car? B: It is blue. ,,A: What is its color? B: It is (). A: Can you tell me the color? B: It is (). 
20,311,초3,YBM(최),2022,10,How’s the Weather?,날씨를 묻고 답하기 위한 How's ()? 표현을 활용. ,A: How’s the weather? B: It’s sunny. ,,A: What's the weather like? B: It’s (). A: How is it outside? B: It's (). 
21,302,초3,YBM(김),2015,1,"Hello, I’m Tibo",만날 때 사용하는 기본적인 인사 표현 익히기. ,Hello there! ,,Hi! Greetings! 
22,302,초3,YBM(김),2015,2,What’s This?,What’s ()?를 활용해 사물이나 대상을 묻고 답하기. ,A: What's this? B: It's a book. ,,A: What's that? B: It's a () A: What is it? B: It's a () 
23,302,초3,YBM(김),2015,3,"Sit Down, Please",please 를 활용해 상대방에게 요청하고 이에 응답하기. ,"A: Close the window, please. B: Sure. ",,"A: Pass the book, please. B: Certainly. A: Turn on the light, please. B: Of course. "
24,302,초3,YBM(김),2015,4,Do You Like Pizza?,Do you like ()?를 활용해 좋아하거나 싫어하는 음식 묻고 답하기. ,"A: Do you like ice cream? B: Yes, I do. / No, I don’t. ",,"A: Do you enjoy ()? B: Yes, I do. / No, I don’t. A: Are you fond of ()? B: Yes, I am. / No, I’m not. "
25,302,초3,YBM(김),2015,5,How Are You?,인사말을 통해 안부를 묻고 답하기. ,A: How are you? B: I'm doing well. ,,A: How have you been? B: I'm feeling good. A: How's it going? B: I'm feeling fine. 
26,302,초3,YBM(김),2015,6,Can You Swim?,가능 여부를 묻고 답할 때 'Can you ()?' 구문을 활용하기. ,"A: Can you ride a bicycle? B: Yes, I can. ",,"A: Are you able to (action)? B: Yes, I can. A: Do you know how to (verb)? B: No, I can’t. "
27,302,초3,YBM(김),2015,7,How Many Lions?,How many ()?를 통해 동물의 수 묻고 답하기. ,A: How many cats are there? B: Three cats. ,,A: How many dogs? B: Four dogs. A: How many birds? B: Two birds. 
28,302,초3,YBM(김),2015,8,What Color Is It?,What color is ()?을 통해 색깔 묻고 답하기. ,A: What color is the car? B: It is blue. ,,A: What is its color? B: It is (). A: Can you tell me the color? B: It is (). 
29,302,초3,YBM(김),2015,9,Let’s Jump,Let's ()를 활용해 제안하고 이에 답하기. ,A: Let’s eat lunch. B: Sure. ,,"A: Let’s go fishing. B: Sorry, I can’t. A: Let’s play a game. B: Alright. "
30,302,초3,YBM(김),2015,10,Do You Have Any Crayons?,Do you have ()?를 활용해 물건을 가지고 있는지 묻고 답하기. ,"A: Do you have a pencil? B: Yes, I do. / No, I don't. ",,"A: Have you got a ()? B: Yes, I have. / No, I haven’t. A: Are you carrying a ()? B: Yes, I am. / No, I’m not. "
31,302,초3,YBM(김),2015,11,How Old Are You?,How old are you?의 문구를 통해 나이를 묻고 답하기. ,A: How old are you? B: I'm seven years old. ,,A: What is your age? B: I am () years old. A: How many years have you lived? B: I am () years old. 
32,302,초3,YBM(김),2015,12,"Don’t Run, Please",금지 표현을 활용해 상대방에게 요구 전달하기 및 이에 답하기. ,"A: Don't shout, please. B: Okay. ",,"A: Don't run, please. B: Sorry. A: Don't touch that, please. B: Okay. "
33,302,초3,YBM(김),2015,13,How’s the Weather?,날씨에 대해 묻고 답할 때 활용 가능한 표현 배우기. ,A: How's the weather? B: It's cloudy. ,,A: What's it like outside? B: It's () A: How is it today? B: It's () 
34,303,초3,YBM(최),2015,1,"Hi, I’m Sena",만난 후 인사하거나 헤어질 때 사용하는 간단한 표현 익히기. ,Hi there! ,,Hello! Bye! 
35,303,초3,YBM(최),2015,2,What’s This?,What’s ()? 표현을 활용해 사물이 무엇인지 묻고 답하기. ,A: What's that? B: It's a book. ,,A: What's this? B: It's a () A: What is it? B: It's a () 
36,303,초3,YBM(최),2015,3,"Open the Box, Please",존대하는 요청을 하고 이에 답하기 . ,"A: Open the book, please. B: Sure. ",,"A: Close the box, please. B: All right. A: Bring the pen, please. B: Certainly. "
37,303,초3,YBM(최),2015,4,Do You Like Apples?,do you like ~? 문형을 활용해 상대방의 선호도를 물음과 응답하기. ,"A: Do you enjoy bananas? B: Yes, I do. ",,"A: Do you like ()? B: Yes, I do. A: Do you enjoy ()? B: No, I don't. "
38,303,초3,YBM(최),2015,5,How Many Dogs?,질문을 통해 수량을 묻고 답하기. ,A: How many books do you have? B: I have three. ,,A: How many apples are there? B: There are (). A: How many chairs do you need? B: I need (). 
39,303,초3,YBM(최),2015,6,Do You Have a Ruler?,do you have ()?를 활용해 물건을 가지고 있는지 묻고 답하기. ,"A: Do you have a notebook? B: Yes, I do. ",,"A: Do you own a ()? B: Yes, I do. A: Have you got a ()? B: No, I don't. "
40,303,초3,YBM(최),2015,7,Can You Swim?,can/cannot 표현을 활용해 능력 여부 묻고 답하기. ,"A: Can you paint? B: Yes, I can. ",,"A: Are you able to ()? B: Yes, I am. A: Do you know how to ()? B: No, I don’t. "
41,303,초3,YBM(최),2015,8,"Don’t Run, Please",Don't ()를 활용해 금지 표현하기. ,Don't climb. ,,Don't jump. Don't shout. 
42,303,초3,YBM(최),2015,9,Who Is She?,Who is ()?를 활용해 타인의 신원을 묻고 답하기. ,A: Who is she? B: She’s my teacher. ,,A: Who is that? B: That’s my (). A: Who are they? B: They are my (). 
43,303,초3,YBM(최),2015,10,What Color Is It?,'What color is ()?'의 구조로 색깔 묻고 답하기. ,A: What color are these? B: They are green. ,,A: What shade is it? B: It is (). A: Can you tell me the color? B: It is (). 
44,303,초3,YBM(최),2015,11,How Old Are You?,의문문 구조를 통해 나이를 묻고 답하는 표현을 배우기. ,A: How old are you? B: I'm seven years old. ,,A: How many years have you? B: I am () years old. A: What's your age? B: I'm () years old. 
45,303,초3,YBM(최),2015,12,How’s the Weather?,날씨 표현을 활용해 즐거운 대화하기. ,A: How's the weather? B: It's sunny. ,,A: How's the day? B: It's (). A: What's the weather like? B: It's (). 
46,410,초4,YBM(김),2022,1,How Are You?,상대방의 안부를 물어보고 응답하기. ,A: How are you doing? B: I'm doing fine. ,,A: How have you been? B: I'm feeling (). A: Is everything all right? B: Not too bad. 
47,410,초4,YBM(김),2022,2,Let’s Play Baseball,Let's를 활용해 제안하고 이에 대해 답하기. ,Let's go to the park. ,,Let's () together. How about we ()? 
48,410,초4,YBM(김),2022,3,Where Is My Bag?,위치 묻기 표현을 활용하여 물건의 위치 묻고 답하기. ,A: Where is my backpack? B: It's on the table. ,,A: Where is my pencil case? B: It's in the drawer. A: Where are my shoes? B: They're under the chair. 
49,410,초4,YBM(김),2022,4,Are You Happy?,감정을 묻고 답하기 위해 be 동사의 형태를 활용해 대화하기. ,"A: Are you delighted? B: Yes, I am. ",,"A: Are you feeling content? B: Yes, I am. A: Are you enjoying yourself? B: Yes, I am. "
50,410,초4,YBM(김),2022,5,"Don’t Touch, Please",'Don't ()'을 활용해 금지 요청하고 이에 답하기. ,"A: Don’t speak loudly, please. B: Sure, I won't. ",,"A: Don’t move fast, please. B: Okay, I won’t. A: Don’t run here, please. B: Alright, I won't. "
51,410,초4,YBM(김),2022,6,Is This Your Watch?,소유를 나타내는 표현을 활용해 물건의 주인인지 묻고 답하기. ,"A: Is this your bag? B: Yes, it is. / No, it isn't. ",,"A: Is this your ()? B: Yes, it is. / No, it isn't. A: Is this hers? B: Yes, it is. / No, it isn't. "
52,410,초4,YBM(김),2022,7,What Time Is It?,What time을 활용해 현재 시각 묻고 답하기. ,A: What time is it? B: It's nine o'clock. ,,A: Do you know the time? B: It's (). A: Can you tell me the time? B: It's (). 
53,410,초4,YBM(김),2022,8,What Are You Doing?,be ()ing를 활용해 지금 하고 있는 일 묻고 답하기. ,A: What are you doing? B: I'm feeding the birds. ,,A: What is going on? B: I am (). A: What are you busy with? B: I'm (). 
54,410,초4,YBM(김),2022,9,What Day Is It?,요일을 묻고 답하는 표현을 익히기. ,A: What day is today? B: It's Friday. ,,A: Which day is it? B: It's (). A: Today is what day? B: It's (). 
55,410,초4,YBM(김),2022,10,I’m a Farmer,'What do you do?'를 통해 직업 묻고 답하기. ,A: What do you do? B: I'm a teacher. ,,A: What's your profession? B: I'm a (). A: What’s your job? B: I'm a (). 
56,410,초4,YBM(김),2022,11,How Much Is It?,가격을 묻고 답하기 위해 'How much is ()?'를 활용하기. ,How much is this backpack? — It's fifteen dollars. ,,How much does this cost? — It's (). What's the price of this item? — It's (). 
57,411,초4,YBM(최),2022,1,How Are You?,How are you?를 활용해 안부 묻고 답하기. ,A: How are you? B: I'm happy. ,,A: How's it going? B: I'm feeling (). A: How do you feel? B: I'm (). 
58,411,초4,YBM(최),2022,2,Who Is She?,Who is ~ ? 라는 표현을 활용해 상대방이 누구인지 묻고 답하기. ,A: Who is she? B: She's my mom. ,,A: Who is that? B: That's my (). A: Who are they? B: They're my (). 
59,411,초4,YBM(최),2022,3,What Time Is It?,What time-을 활용해 현재 시간을 묻고 답하기. ,B: It’s twenty to six. ,,A: What's the current time? B: It’s () o’clock. A: Could you tell me the time? B: It’s about (). 
60,411,초4,YBM(최),2022,4,Let’s Play Soccer,Let's (~)를 활용해 함께 할 활동을 제안하고 이에 답하기. ,A: Let’s go swimming. B: Sure! That's a great idea. ,,"A: Shall we go biking? B: Sounds good to me. A: Let’s have a picnic. B: Sorry, I’m busy. "
61,411,초4,YBM(최),2022,5,Where Is My Bag?,Where is ()? 패턴을 통해 물건의 위치 묻고 답하기. ,A: Where’s my book? B: It’s on the chair. ,,A: Where can I find my keys? B: They’re on the () A: Do you see my pen? B: It’s under the () 
62,411,초4,YBM(최),2022,6,What Are You Doing?,be ()ing를 활용해 현재 하고 있는 일 묻고 답하기. ,A: What are you up to now? B: I'm making a craft. ,,A: What’s happening now? B: I'm ()ing a ()? A: What are you engaged in now? B: I'm creating a (). 
63,411,초4,YBM(최),2022,7,Is This Your Jacket?,"소유격 및 간단한 예, 아니오 응답을 활용해 소유 여부를 묻고 답하기. ","A: Is this your coat? B: No, it isn't. ",,"A: Is that your scarf? B: Yes, it is. A: Are these your mittens? B: No, they aren't. "
64,411,초4,YBM(최),2022,8,Do You Want Some Chicken?,Do you want ()?을 활용해 음식 권하고 답하기 . ,"A: Would you like some juice? B: Yes, please. ",,"A: Do you care for some (food)? B: Yes, please. A: Can I offer you some (drink)? B: No, thanks. "
65,411,초4,YBM(최),2022,9,What Day Is It Today?,요일을 묻고 답하는 표현을 활용해 현재 요일을 확인하기. ,A: What day is it today? B: It's Friday. ,,A: What day are we on? B: It's (). A: Do you know today's day? B: It's (). 
66,411,초4,YBM(최),2022,10,How Much Is It?,how much 를 활용해 물건의 가격 묻고 답하기. ,A: How much is that item? B: It's 250 yen. ,,A: What is the price of this item? B: It's () won. A: How much does that cost? B: It's () dollars. 
67,402,초4,YBM(김),2015,1,What’s Your Name?,이름 묻고 답할 때 활용되는 표현. ,A: What's your name? B: My name is Sarah. ,,A: May I know your name? B: My name is (). A: What should I call you? B: I am (). 
68,402,초4,YBM(김),2015,2,Are You Happy?,be ~? 패턴을 통해 감정이나 상태에 대해 묻고 답하기. ,"A: Are you cheerful? B: Yes, I am. ",,"A: Are you content? B: Yes, I am. A: Are you feeling well? B: Yes, I am. "
69,402,초4,YBM(김),2015,3,Who Is He?,"Who is (), 표현을 활용해 상대방이 누구인지 묻고 답하기. ",A: Who is she? B: She's my teacher. ,,A: Who is that? B: That's my (). A: Who are they? B: They're my (). 
