,제목,출판사,교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_KOR,SUB_EXPRESSION
0,영어,능률(김),2015,1,The Part You Play,be going to ()를 활용해 의도 표현하기. ,I’m going to write a letter to explain my concerns clearly. ,,I plan to () in order to express my intentions. I’m intending to () to achieve my goal. 
1,영어,능률(김),2015,2,The Power of Creativity,부사 maybe를 활용해서 가능성의 정도를 표현하기 ,Maybe this event will occur as planned. ,,Perhaps () will work out in the expected way. It’s possible that () might happen. 
2,영어,능률(김),2015,3,Sound Life,why don’t you ()를 활용해 제안하기 ,Why don’t you consider taking a short break? ,,Why don’t you try doing ()? Have you thought about trying ()? 
3,영어,능률(김),2015,4,Toward a Better World,wish 문법을 활용해 바람 표현하기. ,I wish I could spend more time with my family. ,,I hope to () for a better experience. I would love to () in the future. 
4,영어,능률(김),2015,5,What Matters Most,비인칭 주어 'It'을 활용해 강조 표현하기 ,It is crucial to maintain your health during winter. ,,It is essential to focus on () at all times. It is significant to understand the importance of (). 
5,영어,능률(김),2015,6,Beyond the Limits,완화된 의문문 구조를 활용해 정보 존재 여부 묻기 ,Did you get any updates about the exciting event happening soon? ,,Have you come across the news about ()? Are you aware of the details regarding ()? 
6,영어,능률(김),2015,7,Finding Out the Wonders,의문문을 활용해 설명 요청하기 ,Could you clarify what you mean by saying this? ,,Can you explain () to me? Would you elaborate on ()? 
7,영어,능률(김),2015,8,It’s Up to You!,요청 표현 'Let me ()'를 활용하여 요청에 대한 의견을 표현하기. ,Let me take some time to consider. ,,Could you wait for a moment while I ()? Allow me to () before deciding 
8,영어,능률(양),2015,1,Where Should I Begin?,I'm planning to ()을 활용해 계획이나 의도를 표현하기. ,I'm planning to take yoga classes. ,,I intend to () in the near future. My plan involves () during my free time. 
9,영어,능률(양),2015,2,"Be Smart, Be Healthy",문장 순서를 나타내는 표현을 사용하여 열거 및 절차 설명하기 ,"First, wash your hands, then dry them with a clean towel, and finally prepare the ingredients. ",,"Begin with (), follow that with (), and complete it by (). Start by (), then proceed with (), and end with (). "
10,영어,능률(양),2015,3,"Take Action, Make a Difference",I'm sorry to hear that 와 같은 표현으로 유감이나 동정 표현하기 ,I appreciate your understanding of my situation. ,,I'm saddened to hear about (). I feel sorry for (). 
11,영어,능률(양),2015,4,"Some Like It Cold, Some Like It Hot",Would you like ()?를 활용해 음식이나 음료를 권하기 ,Would you like a cup of coffee? ,,Would you like to try ()? May I offer you ()? 
12,영어,능률(양),2015,5,We Are What We Do,다양한 표현으로 걱정 표현하기 ,I'm concerned about the climate change impacts. ,,I'm uneasy about (). I feel apprehensive regarding (). 
13,영어,능률(양),2015,6,When Myths Meet Science,의문문을 활용해 의견 묻기 ,What are your thoughts on the movie? ,,What is your opinion about ()? How do you feel regarding ()? 
14,영어,능률(양),2015,7,Venice Diary,다양한 표현으로 희망 및 기대 나타내기 ,I’m thrilled about attending the concert tonight. ,,I can’t wait to ()! I'm eagerly anticipating (). 
15,영어,능률(양),2015,8,The Solution Is in Nature,감탄사를 사용하여 관심 표현하기 ,"Wow, that's fascinating! ",,How amazing! What a remarkable thing to ()! 
16,영어1,능률(김),2015,1,A Spark in You,부정 명령문으로 위로하기 ,Don't lose hope. ,,Don't feel down. Don't let it get to you. 
17,영어1,능률(김),2015,2,Embracing Our Differences,In my opinion로 시작하여 의견을 표명하는 문장을 형성하기. ,"In my opinion, it's important to exercise regularly. ",,"In my opinion, () is essential. In my opinion, we should () more often. "
18,영어1,능률(김),2015,3,We Are All Connected,다양한 표현으로 동의 뜻 전달하기 ,That's a point I completely concur with. ,,That's something I completely agree with. I fully support that viewpoint. 
19,영어1,능률(김),2015,4,Build a Better World,Why don't we ()을 사용하여 제안을 전달하기 ,"""Why don't we try that new café this weekend?"" ",,"""Why don't we go to ()?"" ""Why don't we explore ()?"" "
20,영어1,능률(김),2015,5,"Look, Think, and Create!",의문문을 사용하여 도움이나 조언 요청하기 ,Could you provide me with some guidance? ,,Would you be able to offer ()? Can you assist with ()? 
21,영어 2,능률(김),2015,1,Treasure in My Life,다양한 표현으로 기억이나 망각 표현하기 ,I'll always cherish our last family trip. ,,I'm unable to recall (). Do you still remember ()? 
22,영어 2,능률(김),2015,2,In Someone Else’s Shoes,가정법을 활용해 충고·조언 표현하기 ,"If I were you, I’d seek advice from someone I trust. ",,I’d recommend that you (). It might be a good idea to (). 
23,영어 2,능률(김),2015,3,Be a Critical Thinker,'You'd better not ()'를 활용해 특정 행동을 금지하기. ,You’d better not spend too much time watching TV late at night. ,,You’d better not overdo () in the evening. You should refrain from () as it might be harmful. 
24,영어 2,능률(김),2015,4,Find and Do What You Love,be interested in ()를 활용해 관심 표현하기 ,I’m interested in modern art. ,,I'm fascinated by (). I find () captivating. 
25,영어 2,능률(김),2015,5,Technology: An Engine for Change,부사와 명사를 사용해 확실성 정도 표현하기 ,I believe wholeheartedly that consistent practice leads to improvement. ,,I strongly believe this is due to (). I have absolute certainty regarding (). 
26,공통영어 1,YBM(김),2022,1,Believe That You Can Do Better,should를 활용해 조언하기. ,A: I feel really tired these days. B: You should get more sleep. ,A: 요즘 너무 피곤해. B: 너는 잠을 더 자야 해. ,A: I'm not sure what to do about my homework. B: You should (). A: I want to get better at English. B: You should () every day. 
27,공통영어 1,YBM(김),2022,2,Art and the City,How about ()? 를 활용해 제안하기. ,A: I'm bored. What should we do? B: How about going to the park? ,A: 심심해. 뭐 할까? B: 공원에 가는 게 어때? ,A: I don't know what to eat for lunch. B: How about ()? A: I want to do something fun this weekend. B: How about ()? 
28,공통영어 1,YBM(김),2022,3,Living Green: A Guide to Sustainable Choices,I’d like to emphasize that ()를 활용해 강조하기. ,"A: I’d like to emphasize that teamwork is very important. B: Yes, working together makes everything easier. ","A: 나는 팀워크가 매우 중요하다는 것을 강조하고 싶어. B: 맞아, 함께 일하면 모든 것이 더 쉬워져. ",A: I’d like to emphasize that () is very important. B: I totally agree. A: I’d like to emphasize that we need to (). B: That’s a good point. 
29,공통영어 1,YBM(김),2022,4,Be Smart in the Digital World,"Compared to (), ()를 활용해 비교하기. ","A: Compared to last year, this winter is much colder. B: Yes, I think so too. ","A: 작년과 비교하면 이번 겨울은 훨씬 추워. B: 응, 나도 그렇게 생각해. ","A: Compared to (), () is better. B: I see what you mean. A: Compared to (), () is more expensive. B: That’s true. "
30,공통영어 2,YBM(김),2022,1,Make Your World a Better Place,I’m planning to ()를 활용해 계획 말하기. ,A: What are you doing this summer? B: I’m planning to visit my grandparents. ,"A: 이번 여름에 뭐 할 거야? B: 나는 할아버지, 할머니를 뵈러 갈 계획이야. ",A: I’m planning to () next weekend. B: That sounds great! A: I’m planning to () with my friends. B: Have fun! 
31,공통영어 2,YBM(김),2022,2,From Tradition to Trend,The reason is that ()를 활용해 이유 말하기. ,A: Why did you choose this book? B: The reason is that it’s very interesting. ,A: 왜 이 책을 골랐어? B: 이유는 이 책이 정말 재미있기 때문이야. ,A: The reason is that I like (). B: That makes sense. A: The reason is that it helps me (). B: That’s a good reason. 
32,공통영어 2,YBM(김),2022,3,Beyond Barriers,I was inspired by ()를 활용해 영감 표현하기. ,A: Why did you start painting? B: I was inspired by my art teacher. ,A: 왜 그림을 그리기 시작했어? B: 나는 미술 선생님께 영감을 받았어. ,A: I was inspired by () to (). B: That’s amazing! A: I was inspired by () and decided to (). B: That’s a great story. 
33,공통영어 2,YBM(김),2022,4,The Essence of Being Human,"In my opinion, ()를 활용해 의견 말하기. ","A: Do you like this movie? B: In my opinion, it’s the best movie ever! ",A: 이 영화 좋아해? B: 내 생각에는 이게 최고의 영화야! ,"A: In my opinion, () is better. B: I respect your opinion. A: In my opinion, we should (). B: That’s an interesting idea. "
34,공통영어 1,YBM(박),2022,1,Enrich Your Life,다양한 표현을 활용해 자신이 좋아하는 것에 대해 말하기. ,A: What do you like to do in your free time? B: I enjoy singing. ,A: 너는 자유 시간에 뭐 하는 걸 좋아해? B: 나는 노래 부르는 걸 즐겨. ,A: I like (). B: That sounds fun! A: I'm into (). B: That’s great! 
35,공통영어 1,YBM(박),2022,2,Explore Wildlife Wonders,What do you think about ()?를 활용해 다른 사람의 의견을 묻기. ,A: What do you think about this diversity of languages? B: I think it’s amazing! ,A: 다양한 언어에 대해 어떻게 생각해? B: 나는 정말 멋지다고 생각해! ,A: What do you think about ()? B: I think it’s great. A: What do you think about ()? B: I have never thought about it before. 
36,공통영어 1,YBM(박),2022,3,"Embrace Diversity, Broaden Your Horizons",다양한 표현을 활용해 궁금한 점이나 알고 싶은 것을 말하기. ,A: Do you have any questions? B: I’m curious about how animals produce sounds. ,A: 궁금한 거 있어? B: 나는 동물들이 어떻게 소리를 내는지 궁금해. ,A: I wonder how (). B: That’s a good question! A: I want to know more about (). B: Me too! 
37,공통영어 1,YBM(박),2022,4,When Art Meets Technology,What do you mean by ()?를 활용해 어떤 표현이나 개념에 대해 설명을 요청하기. ,A: AI-generated music is getting popular. B: What do you mean by AI-generated music? ,A: AI가 만든 음악이 점점 인기 있어지고 있어. B: AI가 만든 음악이 무슨 뜻이야? ,A: What do you mean by ()? B: I mean it’s (). A: What do you mean by ()? B: It means (). 
38,공통영어 2,YBM(박),2022,1,Be Digitally Smart!,Could I ask you to ()?를 활용해 도움을 요청하기. ,A: Could I ask you to help me control how much time I spend on my phone? B: Sure! I can set a reminder for you. ,A: 내가 휴대폰 사용하는 시간을 조절하는 걸 도와줄 수 있어? B: 물론이지! 내가 알람을 설정해 줄게. ,A: Could I ask you to ()? B: Sure! I'd be happy to help. A: Could you help me ()? B: Of course! 
39,공통영어 2,YBM(박),2022,2,Urgent Call From Earth,I’d like to emphasize that ()를 활용해 강조하고 싶은 내용을 표현하기. ,A: I’d like to emphasize that health and safety should always be a top priority. B: I completely agree. ,A: 나는 건강과 안전이 항상 최우선이어야 한다는 것을 강조하고 싶어. B: 나도 완전히 동의해. ,A: I’d like to emphasize that () is very important. B: That’s true. A: I’d like to emphasize that we should (). B: I totally agree. 
40,공통영어 2,YBM(박),2022,3,Rise Above Challenges,What are you concerned about?를 활용해 다른 사람의 걱정이나 상태를 묻기. ,A: What are you concerned about? B: I’m worried about my test tomorrow. ,A: 너는 무엇이 걱정돼? B: 나는 내일 시험이 걱정돼. ,A: What are you worried about? B: I’m worried about (). A: Are you feeling okay? B: I feel (). 
41,공통영어 2,YBM(박),2022,4,Creative Ideas for a Better World,It’s likely that ()를 활용해 어떤 일이 일어날 가능성을 표현하기. ,A: Will small inventions really change our lives? B: It’s likely that small inventions can make our lives safer. ,A: 작은 발명품들이 정말 우리의 삶을 바꿀 수 있을까? B: 작은 발명품들이 우리의 삶을 더 안전하게 만들 가능성이 높아. ,A: It’s likely that () will happen. B: That makes sense. A: There’s a chance that (). B: I think so too. 
