textbook ID,구분,학년 정보,개정 정보,출판사,교과서 확보,어휘 자료,function,structure,Issue
301,초등,초3 영어,2015,천재 (함순애),확보,완료,완료,,
302,초등,초3 영어,2015,YBM (김혜리),확보,완료,완료,,
303,초등,초3 영어,2015,YBM (최은경),확보,완료,완료,,
304,초등,초3 영어,2015,동아 (박기화),확보,완료,완료,,
305,초등,초3 영어,2015,아이스크림,,,,,
306,초등,초3 영어,2015,미래엔,,,,,
307,초등,초3 영어,2022,천재 (함순애),확보,완료,완료,,
308,초등,초3 영어,2022,천재 (김태은),확보,완료,완료,,
309,초등,초3 영어,2022,천재 (이동환),확보,완료,완료,,
310,초등,초3 영어,2022,YBM (김혜리),확보,완료,완료,,
311,초등,초3 영어,2022,YBM (최은경),확보,완료,완료,,
312,초등,초3 영어,2022,동아 (윤여범),확보,완료,완료,,
313,초등,초3 영어,2022,아이스크림,,,,,
314,초등,초3 영어,2022,미래엔,,,,,
401,초등,초4 영어,2015,천재 (함순애),확보,완료,완료,,
402,초등,초4 영어,2015,YBM (김혜리),확보,완료,완료,,
403,초등,초4 영어,2015,YBM (최은경),확보,완료,완료,,
404,초등,초4 영어,2015,동아 (박기화),확보,완료,완료,,
405,초등,초4 영어,2015,아이스크림,,,,,
406,초등,초4 영어,2015,미래엔,,,,,
407,초등,초4 영어,2022,천재 (함순애),확보,완료,완료,,
408,초등,초4 영어,2022,천재 (김태은),확보,완료,완료,,
409,초등,초4 영어,2022,천재 (이동환),확보,완료,완료,,
410,초등,초4 영어,2022,YBM (김혜리),확보,완료,완료,,
411,초등,초4 영어,2022,YBM (최은경),확보,완료,완료,,
412,초등,초4 영어,2022,동아 (윤여범),확보,완료,완료,,
413,초등,초4 영어,2022,아이스크림,,,,,
414,초등,초4 영어,2022,미래엔,,,,,
501,초등,초5 영어,2015,동아 (박기화),확보,완료,완료,,
502,초등,초5 영어,2015,대교 (이재근),,,,,
503,초등,초5 영어,2015,YBM (김혜리),확보,완료,완료,,
504,초등,초5 영어,2015,YBM (최은경),확보,완료,완료,,
505,초등,초5 영어,2015,시사 (최희경),,,,,
506,초등,초5 영어,2015,천재 (함순애),확보,완료,완료,,
507,초등,초5 영어,2022,천재 (함순애),,,,,
508,초등,초5 영어,2022,천재 (김태은),,,,,
509,초등,초5 영어,2022,천재 (이동환),,,,,
510,초등,초5 영어,2022,동아 (윤여범),,,,,
511,초등,초5 영어,2022,아이스크림,,,,,
512,초등,초5 영어,2022,미래엔,,,,,
601,초등,초6 영어,2015,동아(박기화),확보,완료,완료,,
602,초등,초6 영어,2015,대교(이재근),,,,,
603,초등,초6 영어,2015,YBM (김혜리),확보,완료,완료,,
604,초등,초6 영어,2015,YBM (최은경),확보,완료,완료,,
605,초등,초6 영어,2015,시사(최희경),,,,,
