,학년,출판사,교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_KOR,SUB_EXPRESSION
0,중1,능률(김),2015,1,Welcome to My World,"자기소개와 출신지에 대해 말하고, 이에 반응하기. ",A: My name is Felix. I’m from Australia. B: Glad to meet you. ,A: 내 이름은 필릭스야. 나는 호주에서 왔어. B: 만나서 반가워. ,"A: Hi, I’m (). I come from (). B: Nice to meet you. A: Hello, my name is (). I’m from (). B: Great to meet you. "
1,중1,능률(김),2015,2,Discover Your Culture,be going to ()를 활용해 계획이나 예정된 일에 대해 묻고 답하기. ,A: What are you going to do on your holiday? B: I’m going to travel. ,A: 너는 휴가 때 무엇을 할 예정이야? B: 나는 여행을 갈 예정이야. ,A: What are your plans for ()? B: I’m planning to (). A: What will you do on ()? B: I’ll (). 
2,중1,능률(김),2015,3,"Spend Smart, Save Smart",You should ()를 활용해 조언하기. ,"A: You should study harder. B: Okay, I’ll try. ","A: 너는 더 열심히 공부해야 해. B: 알겠어, 노력할게. ","A: It’s a good idea to (). B: I’ll give it a shot. A: How about ()? B: Sure, I’ll do that. "
3,중1,능률(김),2015,4,The Power of Ideas,의견에 동의하거나 반대 표현하기. ,"A: This idea is great. B: I think so, too. / I don’t think so. ",A: 이 아이디어는 정말 좋아. B: 나도 그렇게 생각해. / 난 그렇게 생각하지 않아. ,"A: This () feels (). B: I agree. () / I disagree. () A: I believe this () is (). B: Me, too. () / I don’t think so. () "
4,중1,능률(김),2015,5,Follow Your Dreams,want to ()를 활용 미래에 대한 소망을 표현하기. ,I want to be a doctor. ,나는 의사가 되고 싶어. ,My dream is to become (). I hope to be (). 
5,중1,능률(김),2015,6,The Joy of Art,What do you think of ()?를 활용해 의견을 묻고 답하기. ,A: What do you think of this movie? B: I think it’s amazing. ,A: 이 영화에 대해 어떻게 생각해? B: 나는 정말 놀랍다고 생각해. ,A: How do you feel about ()? B: I feel it’s (). A: What’s your opinion on ()? B: I believe it’s (). 
6,중1,능률(김),2015,7,Time for Stories,Why don’t you ()?를 활용해 권유 표현하기. ,Why don’t you try this restaurant? ,이 레스토랑을 한번 가보는 게 어때? ,How about ()? You should try (). 
7,중2,능률(김),2015,1,Express Yourself,be interested in을 활용해 관심사 묻고 답하기. ,A: What are you interested in? B: I’m interested in photography. ,A: 너는 무엇에 관심이 있어? B: 나는 사진 촬영에 관심이 있어. ,A: What do you like? B: I like (). A: What is your hobby? B: My hobby is (). 
8,중2,능률(김),2015,2,"Eat Right, Be Happy",'d better ()를 활용해 충고하기. ,You’d better take an umbrella. ,너는 우산을 챙기는 게 좋겠어. ,You should (). It’s a good idea to (). 
9,중2,능률(김),2015,3,Understand the World,현재완료 시제 have ()를 활용해 경험 묻고 답하기. ,"A: Have you ever traveled abroad? B: Yes, I have. / No, I haven’t. ","A: 너 해외여행 해본 적 있어? B: 응, 해봤어. / 아니, 안 해봤어. ","A: Have you tried ()? B: Yes, I have. / No, I haven’t. A: Did you ever ()? B: Yes, I did. / No, I didn’t. "
10,중2,능률(김),2015,4,Go Green Together,be worried about ()를 활용해 걱정 표현하기. ,I’m worried about my test results. ,나는 시험 결과가 걱정돼. ,I’m concerned about (). I feel uneasy about (). 
11,중2,능률(김),2015,5,Give a Helping Hand,Can you help me ()?를 활용해 도움 요청하고 답하기. ,"A: Can you help me move this table? B: Sure. / I’m sorry, but I can’t. ",A: 이 테이블 옮기는 거 도와줄 수 있어? B: 물론이지. / 미안하지만 못 도와줘. ,"A: Could you help me ()? B: Of course! / Sorry, I can’t. A: Would you mind helping me ()? B: Not at all. / Sorry, I’m busy right now. "
12,중2,능률(김),2015,6,The Best Trip of Your Life,동사 plan을 활용해 계획이나 예정된 일 묻고 답하기. ,A: What are you planning to do on your trip? B: I’m planning to visit the museum. ,A: 여행에서 무엇을 할 계획이야? B: 나는 박물관을 방문할 계획이야. ,A: What are you going to do on your trip? B: I’m going to (). A: What are you thinking of doing on your trip? B: I’m thinking of (). 
13,중2,능률(김),2015,7,On My Way to the Future,I’m good at ()를 활용해 능력 표현하기. ,I’m good at playing the guitar. ,나는 기타를 잘 쳐. ,I’m skilled at (). I think I’m great at (). 
14,중3,능률(김),2015,1,A Life Full of Experiences,What would you like to do?를 활용해 바람에 대해 묻고 답하기. ,A: What would you like to do? B: I’d like to travel around the world. ,A: 너는 무엇을 하고 싶어? B: 나는 세계를 여행하고 싶어. ,A: What do you hope to do? B: I hope to (). A: What do you want to do? B: I want to (). 
15,중3,능률(김),2015,2,Take Care of Yourself,현재완료 have ()를 활용해 알고 있는지 묻기. ,"A: Have you heard the latest news? B: Yes, I have. / No, I haven’t. ","A: 최신 소식 들었어? B: 응, 들었어. / 아니, 못 들었어. ","A: Do you know about ()? B: Yes, I do. / No, I don’t. A: Are you familiar with ()? B: Yes, I am. / No, I’m not. "
16,중3,능률(김),2015,3,"Always Aware, Always Prepared",curious about ()를 활용해 궁금증 표현하기. ,I'm curious about space exploration. ,나는 우주 탐사에 대해 궁금해. ,I wonder about (). I’d like to know about (). 
17,중3,능률(김),2015,4,My Roles in Society,What’s the matter?를 활용해 고민이나 불만족의 원인 묻기. ,A: What’s the matter? B: I have a terrible headache. ,A: 무슨 일이야? B: 머리가 너무 아파. ,A: What’s wrong? B: (). A: Why are you upset? B: It’s because (). 
18,중3,능률(김),2015,5,Environmental Innovations,"In my opinion, ()를 활용해 의견 표현하기. ","In my opinion, learning languages is important. ",내 생각에는 언어를 배우는 것이 중요해. ,"I think that (). From my perspective, (). "
19,중3,능률(김),2015,6,Take Part in the Economy,Which () do you prefer?를 활용해 선호에 대해 묻고 답하기. ,A: Which drink do you prefer? B: I prefer coffee to tea. ,A: 어떤 음료를 더 좋아해? B: 나는 차보다 커피를 더 좋아해. ,A: What’s your favorite ()? B: My favorite is (). A: Do you like () or () better? B: I like () better. 
20,중3,능률(김),2015,7,Future Changes through Technology,Could you explain how to ()?를 활용해 설명 요청하기. ,Could you explain how to use this software? ,이 소프트웨어를 어떻게 사용하는지 설명해 주실 수 있나요? ,Can you tell me how to ()? Would you mind explaining how to ()? 
21,중1,능률(양),2015,1,Meet My New Classmates,형용사를 활용해 소개에 반응하기.  # Pleased / glad / nice to meet you 등의 형용사 ,Pleased to meet you. ,만나서 기쁩니다. ,() to meet you. It’s () to meet you. 
22,중1,능률(양),2015,2,Fun Plans for Happy Days,be going to ()를 활용해 의도를 표현하기. # 주어 포함됨 ,I am going to travel. ,나는 여행을 갈 거야. ,() plan to (). () intend to (). 
23,중1,능률(양),2015,3,"Thank You, My Family",has to ()를 활용해 의무를 표현하기. # 주어 포함됨 ,He has to finish his work. ,그는 일을 끝내야 해요. ,() must (). () needs to (). 
24,중1,능률(양),2015,4,"Get Healthy, Be Happy!",칭찬이나 축하를 간단히 표현하기. ,You did a good job! ,잘했어! ,Well done! Great work! 
25,중1,능률(양),2015,5,Why in the World?,Because ()를 활용해 이유를 설명하기. ,Because it was raining. ,비가 왔기 때문이에요. ,It’s because (). Since (). 
26,중1,능률(양),2015,6,For a Better World,I’m sorry to ()를 활용해 유감을 표현하기. ,I’m sorry to hear that. ,그 말을 들으니 안타깝네요. ,That’s too bad. I’m sorry about that. 
27,중1,능률(양),2015,7,Let's Go Green,부가의문문을 활용해 확인 요청하기. ,"She likes coffee, doesn’t she? ",그녀는 커피를 좋아하지 않나요? ,"(), isn't she? (), don't they? "
28,중1,능률(양),2015,8,Wonderful Korea,형용사로 사물을 묘사하기. ,I like the one with blue stripes. ,나는 파란 줄무늬가 있는 게 좋아. ,I () the () one with (). The () one with () is (). 
29,중2,능률(양),2015,1,What Is Your Color?,() say that ()를 활용해 알고있는 말을 인용하여 재진술하기. ,A: They say that (). B: Really? I didn’t know that. ,A: 사람들이 ()라고 말해. B: 정말? 몰랐어. ,A: It is said that (). B: That’s interesting. A: People say that (). B: I’ve heard that too. 
30,중2,능률(양),2015,2,"Old Things, New Art",I’m () worried about ()를 활용해 걱정 표현하기. ,A: I’m really worried about my test. B: Don’t worry. You’ll do great. ,A: 나는 시험이 정말 걱정돼. B: 걱정하지 마. 잘할 거야. ,A: I’m anxious about (). B: I hope everything will be fine. A: I feel uneasy about (). B: That’s understandable. 
31,중2,능률(양),2015,3,"Go, Team!","I’m looking forward to (), want to ()를 활용해 바람이나 소원 표현하기. ",A: I’m looking forward to the summer vacation. B: Me too! ,A: 나는 여름 방학이 기대돼. B: 나도! ,A: I can’t wait to (). B: It’s going to be great! A: I want to (). B: That sounds fun. 
32,중2,능률(양),2015,4,Natural Weather Forecasters,Have you heard about ()?를 활용해 알고 있는지 묻기. ,"A: Have you heard about the new movie? B: Yes, I have. / No, I haven’t. ","A: 너 새 영화 소식 들었어? B: 응, 들었어. / 아니, 못 들었어. ","A: Do you know about ()? B: Yes, I do. / No, I don’t. A: Are you aware of ()? B: Yes, I am. / No, I’m not. "
33,중2,능률(양),2015,5,How Healthy Are Your Habits?,May I speak to ()?를 활용해 전화하기. ,"A: May I speak to Lisa, please? B: This is Lisa. / Sorry, Lisa is not available. ",A: 리사와 통화할 수 있을까요? B: 접니다. / 죄송하지만 리사는 지금 통화할 수 없어요. ,"A: Can I speak to ()? B: Speaking. / I’m sorry, () is busy right now. A: I’d like to speak to (). B: Yes, this is (). / Sorry, () is not here. "
34,중2,능률(양),2015,6,Jobs Then and Now,다양한 표현을 활용해 반복 요청하기. ,A: Can you say that again? B: Sure. ,A: 다시 말해 줄 수 있어? B: 물론. ,"A: I’m sorry? B: No problem. A: Would you say that again, please? B: Of course. "
35,중2,능률(양),2015,7,Korean Wave Around the World,What do you think of ()?를 활용해 의견 묻기. ,A: What do you think of this book? B: I think it’s really interesting. ,A: 이 책에 대해 어떻게 생각해? B: 정말 흥미로운 것 같아. ,A: How do you feel about ()? B: I feel it’s (). A: What’s your opinion on ()? B: My opinion is that it’s (). 
36,중2,능률(양),2015,8,"Beautiful Words, Better World",should를 활용해 금지하기. ,A: You shouldn’t eat too much junk food. B: You’re right. I should be careful. ,A: 너는 패스트푸드를 너무 많이 먹으면 안 돼. B: 맞아. 조심해야겠어. ,A: We must not (). B: That’s true. A: It’s not allowed to (). B: I understand. 
37,중3,능률(양),2015,1,How Are You Getting Along?,"In my opinion, ()를 활용해 의견 표현하기. ","A: In my opinion, this is the best solution. B: That’s an interesting perspective. ",A: 내 생각에는 이게 최고의 해결책이야. B: 흥미로운 의견이야. ,"A: I think that (). B: I see your point. A: In my view, (). B: That makes sense. "
38,중3,능률(양),2015,2,Foods from Around the World,How do you like ()?를 활용해 만족 여부 묻기. ,A: How do you like your new job? B: I like it a lot. ,A: 새 직장은 어때? B: 정말 마음에 들어. ,"A: Are you happy with ()? B: Yes, I just love it. / No, I don’t like it. A: Do you enjoy ()? B: Yes, I love it. / No, I think it’s not good enough. "
39,중3,능률(양),2015,3,What Makes Us Shop?,Make sure you don’t ()를 활용해 경고하기. ,A: Make sure you don’t forget your keys. B: Thanks for reminding me. ,A: 열쇠를 꼭 잊지 마. B: 상기시켜줘서 고마워. ,A: Be careful not to (). B: I will. A: Don’t (). B: I’ll remember that. 
40,중3,능률(양),2015,4,We Are Global Villagers,It means ()를 활용해 정의하기. ,A: What does “optimistic” mean? B: It means having a positive outlook. ,A: “optimistic”는 무슨 뜻이야? B: 긍정적인 태도를 가진다는 뜻이야. ,A: () means (). B: Exactly. A: What is the meaning of ()? B: It refers to (). 
41,중3,능률(양),2015,5,Science in Sports,I wonder ()를 활용해 궁금증 표현하기. ,A: I wonder what will happen next. B: Me too. ,A: 다음에 무슨 일이 일어날지 궁금해. B: 나도 그래. ,A: I’m curious about (). B: Same here. A: I’d be interested to know (). B: That’s a good question. 
42,중3,능률(양),2015,6,Make Your Ideas Blossom,다양한 의문문 표현을 활용해 도움 제안하기. ,"A: Can I give you a hand? B: Yes, please. That would be great. ","A: 내가 도와줄까? B: 응, 부탁해. 정말 고마워. ","A: Would you like some help? B: Yes, that would be nice. A: Do you want some help? B: Yes, please. "
43,중3,능률(양),2015,7,Enjoy Arts and Crafts,Let me see.를 활용해 생각할 시간 요청하기. ,A: What time should we meet? B: Let me see. How about 3 PM? ,A: 우리 몇 시에 만날까? B: 잠시만. 오후 3시는 어때? ,"A: Let me think. B: Take your time. A: Give me a moment to think. B: Sure, no rush. "
44,중1,동아(윤),2015,1,Heart to Heart,형용사를 활용해 소개에 반응하기. ,Pleased to meet you. ,만나서 기쁩니다. ,() to meet you. It’s () to meet you. 
45,중1,동아(윤),2015,2,Have Fun at School!,Where’s ()?를 활용해 사람/사물의 위치를 묻고 답하기. ,Where’s the teacher? He’s in the classroom. ,선생님은 어디 계세요? 교실에 계셔. ,A: Where can I find ()? B: He’s/She’s at (). A: Do you know where () is? B: He’s/She’s in (). 
46,중1,동아(윤),2015,3,Wisdom in Stories,Can you ()?를 활용해 도움을 요청하고 이에 답하기. ,"Can you please help me with my homework? Sure. / I’m sorry, but I can’t. ",내 숙제 좀 도와줄 수 있어? 물론이지. / 미안하지만 못 도와줘. ,"A: Could you help me ()? B: Of course. / Sorry, I can’t. A: Would you mind ()? B: Sure, I’d be happy to. / I’m sorry, I’m unable to. "
