학년,출판사,교육과정,Lesson,Title,Functions (의사소통기능),Functions (의사소통기능),Structures (언어 형식),Structures (언어 형식),Structures (언어 형식),Functions Material 1,Functions Material 2,"Functions Material 1
수정","Functions Material 2
수정"
중1,능률(김),2015,1,Welcome to My World,"소개하고 답하기
A: My name is Mina. I'm from Korea.
B: Glad to meet you.","좋아하는 것 묻고 답하기
A: What is your favorite subject?
B: I like English.","be동사의 긍정문과 부정문
He is from France.
She is not good at Korean.","일반동사의 긍정문과 부정문
She has a dog.
I don't have a pet.",,"[DESCRIPTION]
자기소개와 출신지에 대해 말하고, 이에 반응하기.

[KEY_EXPRESSION]  
A: My name is (). I’m from ().  
B: Glad to meet you.  


[SUB_EXPRESSION]  
A: Hi, I’m (). I come from ().  
B: Nice to meet you.  

A: Hello, my name is (). I’m from ().  
B: Great to meet you.  ","[DESCRIPTION]
like와 favorite 단어를 활용해 좋아하는 것에 대해 묻고 답하기.

[KEY_EXPRESSION]  
A: What is your favorite ()?  
B: I like ().  

[SUB_EXPRESSION]  
A: What do you like the most?  
B: I enjoy ().  

A: What’s your favorite activity?  
B: My favorite is ().  ","[DESCRIPTION]
자기소개와 출신지에 대해 말하고, 이에 반응하기.

[KEY_EXPRESSION]  
A: My name is Felix. I’m from Australia.  
B: Glad to meet you.  

[KEY_EXPRESSION_KOR]  
A: 내 이름은 필릭스야. 나는 호주에서 왔어.  
B: 만나서 반가워.  

[SUB_EXPRESSION]  
A: Hi, I’m (). I come from ().  
B: Nice to meet you.  

A: Hello, my name is (). I’m from ().  
B: Great to meet you.  ","[DESCRIPTION]
like와 favorite 단어를 활용해 좋아하는 것에 대해 묻고 답하기.

[KEY_EXPRESSION]  
A: What is your favorite sport?  
B: I like soccer.  

[KEY_EXPRESSION_KOR]  
A: 네가 가장 좋아하는 스포츠는 뭐야?  
B: 나는 축구를 좋아해.  

[SUB_EXPRESSION]  
A: What do you like the most?  
B: I enjoy ().  

A: What’s your favorite activity?  
B: My favorite is ().  "
중1,능률(김),2015,2,Discover Your Culture,"계획 묻고 답하기
A: What are you going to do on your birthday?
B: I'm going to have a party.","장소 설명하기
There are many wonderful places in Korea.","현재진행형
I'm enjoying my trip to Korea.","조동사 can, will
You can learn about Korea from them.
We will play it together later.",,"[DESCRIPTION]
be going to ()를 활용해 계획이나 예정된 일에 대해 묻고 답하기.

[KEY_EXPRESSION]  
A: What are you going to do on your ()?  
B: I’m going to ().  

[SUB_EXPRESSION]  
A: What are your plans for ()?  
B: I’m planning to ().  

A: What will you do on ()?  
B: I’ll ().  ","[DESCRIPTION]
There is/are ()을 활용하여 장소 설명하기 # there is/are~ 패턴을 활용해야 함

[KEY_EXPRESSION]  
There are () ().  

[SUB_EXPRESSION]  
You can find () ().  

() has ().  ","[DESCRIPTION]
be going to ()를 활용해 계획이나 예정된 일에 대해 묻고 답하기.

[KEY_EXPRESSION]  
A: What are you going to do on your holiday?  
B: I’m going to travel.  

[KEY_EXPRESSION_KOR]  
A: 너는 휴가 때 무엇을 할 예정이야?  
B: 나는 여행을 갈 예정이야.  

[SUB_EXPRESSION]  
A: What are your plans for ()?  
B: I’m planning to ().  

A: What will you do on ()?  
B: I’ll ().  ","[DESCRIPTION]
There is/are ()을 활용하여 장소 설명하기.

[KEY_EXPRESSION]  
There are many parks in my city.  

[KEY_EXPRESSION_KOR]  
내 도시에 공원이 많이 있어.  

[SUB_EXPRESSION]  
You can find () ().  

() has ().  "
중1,능률(김),2015,3,"Spend Smart, Save Smart","조언하기
A: You should keep a spending diary.
B: Okay, I'll try.","허락 요청하고 답하기
A: Can I try on this shirt?
B: Yes, of course. / I'm sorry, but you can't.","동사의 과거형 
We sold many things at the flea market.","동사의 목적어로 쓰이는 Ving
People enjoyed looking at the items.",,"[DESCRIPTION]
You should ()를 활용해 조언하기.

[KEY_EXPRESSION]  
A: You should ().  
B: Okay, I’ll try.  

[SUB_EXPRESSION]  
A: It’s a good idea to ().  
B: I’ll give it a shot.  

A: How about ()?  
B: Sure, I’ll do that.  ","[DESCRIPTION]
Can I ()?를 활용해 허락을 요청하고 답하기.

[KEY_EXPRESSION]  
A: Can I ()?  
B: Yes, of course. / I’m sorry, but you can’t.  

[SUB_EXPRESSION]  
A: May I ()?  
B: Sure, go ahead. / Sorry, you can’t.  

A: Is it okay if I ()?  
B: Of course. / I’m afraid not.  ","[DESCRIPTION]
You should ()를 활용해 조언하기.

[KEY_EXPRESSION]  
A: You should study harder.  
B: Okay, I’ll try.  

[KEY_EXPRESSION_KOR]  
A: 너는 더 열심히 공부해야 해.  
B: 알겠어, 노력할게.  

[SUB_EXPRESSION]  
A: It’s a good idea to ().  
B: I’ll give it a shot.  

A: How about ()?  
B: Sure, I’ll do that.  ","[DESCRIPTION]
Can I ()?를 활용해 허락을 요청하고 답하기.

[KEY_EXPRESSION]  
A: Can I borrow your book?  
B: Yes, of course. / I’m sorry, but you can’t.  

[KEY_EXPRESSION_KOR]  
A: 네 책을 빌릴 수 있을까?  
B: 네, 물론이야. / 미안하지만 안 돼.  

[SUB_EXPRESSION]  
A: May I ()?  
B: Sure, go ahead. / Sorry, you can’t.  

A: Is it okay if I ()?  
B: Of course. / I’m afraid not.  "
중1,능률(김),2015,4,The Power of Ideas,"동의하기·이의 제기하기
A: This movie is boring.
B: I think so, too. / I don't think so.","이유 묻고 답하기
A: Why do you use this computer?
B: Because it's fast.","목적어를 두 개 갖는 동사
This story teaches us an important lesson.","to부정사를 목적어로 갖는 동사
Do you want to find out new things?",,"[DESCRIPTION]
의견에 동의하거나 반대 표현하기.

[KEY_EXPRESSION]  
A: This () is ().  
B: I think so, too. () / I don’t think so. ()

[SUB_EXPRESSION]  
A: This () feels ().  
B: I agree. () / I disagree. ()

A: I believe this () is ().  
B: Me, too. () / I don’t think so. ()","[DESCRIPTION]
Why와 because를 활용해 이유 묻고 답하기.

[KEY_EXPRESSION]  
A: Why ()?  
B: Because ().  

[SUB_EXPRESSION]  
A: What’s the reason for ()?  
B: It’s because ().  

A: Why ()?  
B: Since ().  ","[DESCRIPTION]
의견에 동의하거나 반대 표현하기.

[KEY_EXPRESSION]  
A: This idea is great.  
B: I think so, too. / I don’t think so.  

[KEY_EXPRESSION_KOR]  
A: 이 아이디어는 정말 좋아.  
B: 나도 그렇게 생각해. / 난 그렇게 생각하지 않아.  

[SUB_EXPRESSION]  
A: This () feels ().  
B: I agree. () / I disagree. ()  

A: I believe this () is ().  
B: Me, too. () / I don’t think so. ()  ","[DESCRIPTION]
Why와 because를 활용해 이유 묻고 답하기.

[KEY_EXPRESSION]  
A: Why are you late?  
B: Because I missed the bus.  

[KEY_EXPRESSION_KOR]  
A: 왜 늦었어?  
B: 버스를 놓쳤기 때문이야.  

[SUB_EXPRESSION]  
A: What’s the reason for ()?  
B: It’s because ().  

A: Why ()?  
B: Since ().  "
중1,능률(김),2015,5,Follow Your Dreams,"소망 말하기
I want to be a scientist.","격려하기
Don't worry. You'll do fine.","비교급, 최상급 
The other team's players ran faster than us.","접속사 that
Many people said that it was impossible.",,"[DESCRIPTION]
want to ()를 활용 미래에 대한 소망을 표현하기.  # want 혹은 to 부정사 활용

[KEY_EXPRESSION]  
I want to be ().  

[SUB_EXPRESSION]  
My dream is to become ().  

I hope to be ().  ","[DESCRIPTION]
긍정적인 말을 통해 격려하기.

[KEY_EXPRESSION]  
Don’t worry. You’ll do fine.  

[SUB_EXPRESSION]  
Everything will be okay. You can do it.  

Stay positive. You’ve got this.  ","[DESCRIPTION]
want to ()를 활용 미래에 대한 소망을 표현하기.

[KEY_EXPRESSION]  
I want to be a doctor.  

[KEY_EXPRESSION_KOR]  
나는 의사가 되고 싶어.  

[SUB_EXPRESSION]  
My dream is to become ().  

I hope to be ().  ","[DESCRIPTION]
긍정적인 말을 통해 격려하기.

[KEY_EXPRESSION]  
Don’t worry. You’ll do fine.  

[KEY_EXPRESSION_KOR]  
걱정하지 마. 너는 잘할 거야.  

[SUB_EXPRESSION]  
Everything will be okay. You can do it.  

Stay positive. You’ve got this.  "
중1,능률(김),2015,6,The Joy of Art,"의견 묻고 답하기
A: What do you think of this painting?
B: I think it's beautiful.","금지하기
You must not take pictures here.","목적을 나타내는 to부정사
He went to college to study law.","시간을 나타내는 when
When he was 30, an opera changed his life.",,"[DESCRIPTION]
What do you think of ()?를 활용해 의견을 묻고 답하기.

[KEY_EXPRESSION]  
A: What do you think of ()?  
B: I think it’s ().  

[SUB_EXPRESSION]  
A: How do you feel about ()?  
B: I feel it’s ().  

A: What’s your opinion on ()?  
B: I believe it’s ().  ","[DESCRIPTION]
must not ()를 활용해 금지 표현하기.  

[KEY_EXPRESSION]  
You must not ().  

[SUB_EXPRESSION]  
You are not allowed to ().  

It’s forbidden to ().  ","[DESCRIPTION]
What do you think of ()?를 활용해 의견을 묻고 답하기.

[KEY_EXPRESSION]  
A: What do you think of this movie?  
B: I think it’s amazing.  

[KEY_EXPRESSION_KOR]  
A: 이 영화에 대해 어떻게 생각해?  
B: 나는 정말 놀랍다고 생각해.  

[SUB_EXPRESSION]  
A: How do you feel about ()?  
B: I feel it’s ().  

A: What’s your opinion on ()?  
B: I believe it’s ().  ","[DESCRIPTION]
must not ()를 활용해 금지 표현하기.

[KEY_EXPRESSION]  
You must not use your phone in class.  

[KEY_EXPRESSION_KOR]  
수업 중에 휴대폰을 사용하면 안 돼.  

[SUB_EXPRESSION]  
You are not allowed to ().  

It’s forbidden to ().  "
중1,능률(김),2015,7,Time for Stories,"권유하기
Why don't you try interesting books?","확인 요청하기
A: The story is from Korea, isn't it?
B: No, it isn't. It's from Germany.","감탄문
How kind these children are!","make+목적어+형용사 구문
It makes them excited.",,"[DESCRIPTION]
Why don’t you ()?를 활용해 권유 표현하기.

[KEY_EXPRESSION]  
Why don’t you ()?  

[SUB_EXPRESSION]  
How about ()?  

You should try ().  ","[DESCRIPTION]
부가의문문을 활용해 확인 요청하기.

[KEY_EXPRESSION]  
A: (), isn’t it?  
B: No, it isn’t. It’s ().  

[SUB_EXPRESSION]  
A: (), doesn't it?  
B: No, it ().  

A: Isn’t she ()?  
B: No, she's ().  ","
[DESCRIPTION]
Why don’t you ()?를 활용해 권유 표현하기.

[KEY_EXPRESSION]  
Why don’t you try this restaurant?  

[KEY_EXPRESSION_KOR]  
이 레스토랑을 한번 가보는 게 어때?  

[SUB_EXPRESSION]  
How about ()?  

You should try ().  ","[DESCRIPTION]
부가의문문을 활용해 확인 요청하기.

[KEY_EXPRESSION]  
A: It’s a beautiful day, isn’t it?  
B: No, it isn’t. It’s cloudy.  

[KEY_EXPRESSION_KOR]  
A: 오늘 정말 아름다운 날씨지, 그렇지 않니?  
B: 아니야, 흐려.  

[SUB_EXPRESSION]  
A: (), doesn't it?  
B: No, it ().  

A: Isn’t she ()?  
B: No, she’s ().  "
중2,능률(김),2015,1,Express Yourself,"관심사 묻고 답하기
A: What are you interested in?
B: I'm interested in baseball.

허락 요청하고 답하기
A: May I take a picture here?
B: Yes, you may. / No, you may not.",,"주어 역할을 하는 동명사
Taking selfies is part of daily life for many teens.","감각을 나타내는 동사
My pictures look good when I use filters.",,"[DESCRIPTION]
be interested in을 활용해 관심사 묻고 답하기.

[KEY_EXPRESSION]
A: What are you interested in?
B: I'm interested in ().

[SUB_EXPRESSION]
A: What do you like?
B: I like ().

A: What is your hobby?
B: My hobby is ().
","[DESCRIPTION]
조동사 may를 활용해 허락 요청하고 답하기.

[KEY_EXPRESSION]
A: May I ()?
B: Yes, you may. / No, you may not.

[SUB_EXPRESSION]
A: Can I ()?
B: Sure, you can. / No, you can’t.

A: Is it okay if I ()?
B: Yes, it is. / No, it isn’t.","[DESCRIPTION]
be interested in을 활용해 관심사 묻고 답하기.

[KEY_EXPRESSION]
A: What are you interested in?  
B: I’m interested in photography.  

[KEY_EXPRESSION_KOR]
A: 너는 무엇에 관심이 있어?  
B: 나는 사진 촬영에 관심이 있어.  

[SUB_EXPRESSION]
A: What do you like?  
B: I like ().  

A: What is your hobby?  
B: My hobby is ().  
","[DESCRIPTION]
조동사 may를 활용해 허락 요청하고 답하기.

[KEY_EXPRESSION]
A: May I leave early?  
B: Yes, you may. / No, you may not.  

[KEY_EXPRESSION_KOR]
A: 제가 일찍 가도 될까요?  
B: 네, 괜찮아요. / 아니요, 안 됩니다.  

[SUB_EXPRESSION]
A: Can I ()?  
B: Sure, you can. / No, you can’t.  

A: Is it okay if I ()?  
B: Yes, it is. / No, it isn’t.  "
중2,능률(김),2015,2,"Eat Right, Be Happy","충고하기
You'd better eat breakfast every day.","추천 요청하고 답하기
A: What do you recommend?
B: I recommend the pizza.","주격 관계대명사
What do students who live in other countries eat for lunch?","빈도부사
A plantain is a fruit which looks like a banana.
We usually eat a salad as an appetizer.",,"[DESCRIPTION]
()'d better ()를 활용해 충고하기.

[KEY_EXPRESSION]
()'d better ().

[SUB_EXPRESSION]
You should ().
It’s a good idea to ().","[DESCRIPTION]
동사 recommend를 활용해 추천 요청하고 답하기.

[KEY_EXPRESSION]
A: What do you recommend?
B: I recommend ().

[SUB_EXPRESSION]
A: What’s your suggestion?
B: I suggest ().

A: What should I try?
B: You should try ().","[DESCRIPTION]
had better ()를 활용해 충고하기.

[KEY_EXPRESSION]
You’d better take an umbrella.  

[KEY_EXPRESSION_KOR]
너는 우산을 챙기는 게 좋겠어.  

[SUB_EXPRESSION]
You should ().  
It’s a good idea to ().  ","[DESCRIPTION]
동사 recommend를 활용해 추천 요청하고 답하기.

[KEY_EXPRESSION]
A: What do you recommend?  
B: I recommend this restaurant.  

[KEY_EXPRESSION_KOR]
A: 무엇을 추천해 줄래?  
B: 나는 이 식당을 추천해.  

[SUB_EXPRESSION]
A: What’s your suggestion?  
B: I suggest ().  

A: What should I try?  
B: You should try ().  "
중2,능률(김),2015,3,Understand the World,"경험 묻고 답하기
A: Have you ever been to Brazil?
B: Yes, I have. / No, I haven’t.","의미 묻고 답하기
A: What does that mean in Korea?
B: It means good luck.","현재완료
For a long time, Koreans have thought that fish are good guards.","결과를 나타내는 so ~ that 구문 
It’s so old that I can’t really tell, but is it a fish?",,"[DESCRIPTION]
현재완료 시제 have ()를 활용해 경험 묻고 답하기.

[KEY_EXPRESSION]
A: Have you ever ()?
B: Yes, I have. / No, I haven’t.

[SUB_EXPRESSION]
A: Have you tried ()?
B: Yes, I have. / No, I haven’t.

A: Did you ever ()?
B: Yes, I did. / No, I didn’t.","[DESCRIPTION]
What does () mean?를 활용해 의미 묻고 답하기.

[KEY_EXPRESSION]
A: What does () mean?
B: It means ().

[SUB_EXPRESSION]
A: What is the meaning of ()?
B: It’s ().","[DESCRIPTION]
현재완료 시제 have ()를 활용해 경험 묻고 답하기.

[KEY_EXPRESSION]
A: Have you ever traveled abroad?  
B: Yes, I have. / No, I haven’t.  

[KEY_EXPRESSION_KOR]
A: 너 해외여행 해본 적 있어?  
B: 응, 해봤어. / 아니, 안 해봤어.  

[SUB_EXPRESSION]
A: Have you tried ()?  
B: Yes, I have. / No, I haven’t.  

A: Did you ever ()?  
B: Yes, I did. / No, I didn’t.  ","[DESCRIPTION]
What does () mean?를 활용해 의미 묻고 답하기.

[KEY_EXPRESSION]
A: What does ""sustainable"" mean?  
B: It means something that can last for a long time.  

[KEY_EXPRESSION_KOR]
A: ""지속 가능하다""는 무슨 뜻이야?  
B: 오래 지속될 수 있다는 뜻이야.  

[SUB_EXPRESSION]
A: What is the meaning of ()?  
B: It’s ().  "
