학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
"안부를 묻고 답하는 다양한 표현을 사용할 수 있어요.
How are you doing?, How have you been?, How’s everything? 와 같은 표현으로 안부를 묻고 답할 수 있어요.",How are you ___? — I'm doing well.,어떻게 지내? — 나는 잘 지내고 있어.,going,doing,feeling,doing,2,How’s ___? — Everything is good.,모든 게 좋아?,anything,everything,nothing,everything,2,"A: How are you doing today? B: I'm doing well, thank you! A: How have you been lately? B: I've been doing well. How’s everything on your side? B: Everything is good.","A: 오늘 어떻게 지내? B: 나 잘 지내고 있어, 고마워! A: 요즘 어떻게 지냈어? B: 나도 잘 지냈어. 모든 게 잘 되고 있어."
"의문사 Where를 사용해 위치를 묻고 답할 수 있어요.
사람의 위치를 문장으로 표현할 수 있어요.",A: ___ are you? B: I'm in the living room.,A: 어디에 있니? B: 나는 거실에 있어.,How,Where,What,Where,2,A: Where is he? B: He's in the ___ room.,A: 그는 어디에 있니? B: 그는 거실에 있어.,bed,living,office,living,2,A: Where are you? B: I'm in the kitchen. A: Where is he? B: He's in the garden.,A: 어디에 있니? B: 나는 부엌에 있어. A: 그는 어디에 있니? B: 그는 정원에 있어.
"Whose의 소유격 의문사를 활용해 물건의 주인이 누구인지 묻고 답할 수 있어요.
You can use the possessive interrogative 'Whose' to ask and answer who owns an item.",A: ___ bag is this? B: It's Donna's.,A: 이 가방은 누구의 것이니? B: Donna의 것이에요.,Which,Whose,Who's,Whose,2,A: ___ does this belong? B: It's Mark's.,A: 이 물건은 누구의 것인가요? B: Mark의 것입니다.,For whom,To whom,Of whom,To whom,2,A: Whose notebook is this? B: It's Sam's. A: To whom does it belong? B: It belongs to Sam.,A: 이 노트는 누구의 것이니? B: Sam의 것이에요. A: 이 노트는 누구에게 속한 거니? B: Sam에게 속했어요.
"다른 사람에게 제안을 할 수 있어요.
Let's 표현을 사용하여 제안을 할 수 있어요.",Let's ___.,우리 등산하러 가자.,go swimming,go hiking,go running,go hiking,2,Let's ___.,우리 피크닉 하자.,have a picnic,visit a cafe,play soccer,have a picnic,1,A: Let's explore the museum. B: Sounds exciting! A: Let's enjoy some coffee at the cafe. B: That would be lovely.,A: 박물관을 구경하자. B: 신나는 생각이야! A: 카페에서 커피 한 잔 하자. B: 정말 좋네.
"want를 활용해 자신의 바람을 묻고 대답할 수 있어요.
생일 선물에 대해 질문하고 원하는 것을 표현할 수 있어요.",What ____ you like for your birthday? — I would like a car.,생일 선물로 무엇을 받고 싶어?,do,would,can,would,2,What gift would you choose for your birthday? — I ____ a bicycle.,생일 선물로 어떤 것을 선택할래? — 난 자전거를 원해.,desire,want,need,want,2,A: What would you like for your birthday? B: I would like a laptop. A: What gift would you choose for your party? B: I want a watch.,A: 생일 선물로 무엇을 받고 싶어? B: 난 노트북을 받고 싶어. A: 파티 선물로 어떤 것을 선택할래? B: 난 시계를 원해.
"직업 관련 질문과 답변을 사용할 수 있어요.
You can ask and answer questions about jobs using the provided expressions.",A: What does she do? B: She's a ______.,A: 그녀는 무슨 일을 하시나요? B: 그녀는 선생님입니다.,doctor,teacher,engineer,teacher,2,A: What is his job? B: He’s a ______. A: What is her profession? B: She’s a ______.,A: 그의 직업은 무엇입니까? B: 그는 선생님입니다. A: 그녀의 직업은 무엇입니까? B: 그녀는 선생님입니다.,nurse,teacher,pilot,teacher,2,A: What does she do? B: She's a lawyer. A: What is his job? B: He's a lawyer.,A: 그녀는 무슨 일을 하시나요? B: 그녀는 변호사입니다. A: 그의 직업은 무엇입니까? B: 그는 변호사입니다.
"하루의 일과에 대해 묻고 답하는 표현을 배워요.
Learn to ask and answer questions about your daily routine.",A: What time do you _____? B: I wake up at 6:30.,너는 몇 시에 일어나니? 나는 6시 30분에 일어나.,sleep,wake up,get up,wake up,2,A: What time do you _____? B: I go to bed at 10:00.,너는 몇 시에 잠자리에 드니? 나는 10시에 잠자리에 들어.,get up,go to bed,eat breakfast,go to bed,2,A: What time do you wake up? B: I wake up at 7:00. A: What time do you go to bed? B: I go to bed at 11:00.,A: 너는 몇 시에 일어나니? B: 나는 7시에 일어나. A: 몇 시에 잠자리에 드니? B: 나는 11시에 잠자리에 들어.
"출신지를 묻고 대답하는 표현을 사용할 수 있어요.
You can ask and answer questions about where someone is from.",A: Where are you ___? B: I'm from Japan.,A: 어디서 오셨어요? B: 저는 일본에서 왔어요.,in,from,at,from,2,A: Where do you ___ from? B: I come from ().,A: 어디서 오셨어요? B: 저는 여기서 왔어요. A: 어느 나라에서 오셨어요? B: 저는 그 나라에서 왔어요.,stay,come,travel,come,2,A: Where are you originally from? B: I'm from South Korea. A: Which city do you belong to? B: I belong to Seoul.,A: 원래 어디서 오셨어요? B: 저는 한국에서 왔어요. A: 어느 도시에 속해 있어요? B: 저는 서울에 속해 있어요.
"과거시제 동사를 사용하여 이전의 활동을 물어보고 대답할 수 있어요.
Use past tense verbs to ask and answer about previous activities.",I ___ to the park.,나는 공원에 갔어.,walked,went,go,went,2,I ___ the zoo.,나는 동물원에 방문했어.,visit,saw,visited,visited,3,A: What did you do last weekend? B: I went hiking in the mountains. A: What were your plans? B: I enjoyed exploring new trails.,A: 지난 주말에 뭐 했어? B: 산에서 하이킹했어. A: 계획은 어땠어? B: 새로운 길을 탐험하는 것을 즐겼어.
"생김새를 묻고 답하는 표현을 사용할 수 있어요.
You can ask and answer about appearance using 'look like'.",What does she ____?,그녀는 어떻게 생겼어요?,looks like,is like,look like,look like,3,She has ____ hair.,그녀는 곱슬머리야.,straight,curly,bald,curly,2,A: What does he look like? B: He has straight hair. A: Could you describe his appearance? B: He has bright eyes and straight hair.,A: 그는 어떻게 생겼어요? B: 그는 곧은 머리를 가지고 있어요. A: 그의 생김새를 설명해 줄래요? B: 그는 밝은 눈과 곧은 머리를 가지고 있어요.
