Key Expression (한국어),Sub Expression (한국어)
A: 몇 학년이니? B: 나는 3학년이야.,A: 몇 학년이니? B: 나는 ()학년이야. A: 몇 학년이니? B: 나는 ()학년이야.
A: 무엇을 원하시나요? B: 딸기 아이스크림을 주세요.,A: 무엇을 먹고 싶어? B: 나는 ()를 먹고 싶어. A: 무엇이 먹고 싶어? B: 나는 ()를 선호해.
A: 네가 가장 좋아하는 학교 과목은 뭐야? B: 내가 가장 좋아하는 과목은 미술이야.,A: 가장 즐기는 수업은 뭐야? B: 내가 가장 좋아하는 과목은 (). A: 제일 좋아하는 과목은 뭐야? B: 내가 가장 좋아하는 과목은 ().
종이봉투를 재사용하는 게 어때?,재사용 가능한 용기를 사용하는 것에 대해 어떻게 생각해? 유리병을 재활용하는 건 어때?
A: 우체국이 어디야? B: 직진해서 오른쪽으로 가.,A: ()에 어떻게 가? B: 앞으로 계속 가다가 () 쪽으로 돌아. A: ()로 가는 길을 알려줄래? B: 길을 따라 가다가 () 방향으로 돌면 돼.
내 자전거는 네 것보다 새거야.,이 책은 저 책보다 두꺼워. 그녀의 집은 그의 것보다 커.
A: 다음 주말에 뭐 할 거야? B: 나는 조부모님을 방문할 거야.,A: 내일 계획이 뭐야? B: 나는 ()할 거야. A: 오늘 오후에 뭐 하고 싶어? B: 나는 ()할 계획이야.
A: 오늘 하루 어땠어? B: 즐거웠어. 나는 공원에 갔어.,A: 네 경험은 어땠어? B: 그것은 ()였어. 나는 (). A: 어떻게 되었어? B: 그것은 ()였어. 나는 ().
A: 책을 얼마나 자주 읽어? B: 나는 하루에 한 번 책을 읽어.,A: 얼마나 자주 ()를 하니? B: 나는 일주일에 () ()번 해. A: 너의 () 빈도는 어떠니? B: 나는 한 달에 () ()번 해.
A: 어떤 계절을 즐겨? B: 나는 꽃들이 아름답게 피는 봄을 선호해.,A: 네가 가장 좋아하는 계절은 무엇이니? B: 나는 꽃들이 피기 때문에 봄을 즐겨. A: 너의 가장 좋아하는 계절은 무엇이니? B: 나는 꽃이 피어서 봄을 사랑해.
A: 너는 무엇이 되고 싶어? B: 나는 선생님이 되고 싶어.,A: 어떤 직업을 꿈꾸니? B: 나는 ()가 되고 싶어. A: 너의 이상적인 미래 직업은 무엇이니? B: 나의 꿈은 ()가 되는 거야.
A: 무슨 문제야? B: 열이 나는 것 같아.,A: 몸이 어때? B: 나는 ()가 있어. A: 어디가 불편해? B: 내 ()가 아파.
A: 회의는 언제야? B: 3월 15일이야.,A: 영화는 언제 시작해? B: () ()야. A: 행사의 날짜가 언제야? B: () ()로 예정되어 있어.
A: 오늘 오후에 뭐 할 계획이야? B: 나는 공원을 방문할 계획이야.,A: 나중에 뭐 할 거야? B: 나는 ()할 거야. A: 오늘의 계획은 뭐야? B: 내 계획은 ()할 거야.
A: 몇 학년이야? B: 나는 5학년이야.,A: 몇 학년이니? B: 나는 ()학년이야. A: 몇 등급이니? B: 나는 () 등급이야.
A: 너는 무엇이 되고 싶어? B: 나는 예술가가 되고 싶어.,A: 너의 꿈의 직업은 무엇이니? B: 나는 ()가 되고 싶어. A: 너의 열망은 무엇이니? B: 내 목표는 ()가 되는 거야.
