textbook ID,제목,출판사,교육과정,Lesson,구분,Title,DESCRIPTION,Key Expression (영어),Key Expression (한국어),Sub Expression (영어),
,영어,능률(김),2015,1,function,The Part You Play,be going to ~를 활용해 의도 표현하기.,I’m going to write a letter to explain my concerns clearly.,제 걱정을 분명하게 설명하기 위해 편지를 쓰려고 해요.,I plan to ~ in order to express my intentions. I’m intending to ~ to achieve my goal.,
,영어,능률(김),2015,2,function,The Power of Creativity,부사 maybe를 활용해서 가능성의 정도를 표현하기,Maybe this event will occur as planned.,아마도 이 행사는 계획대로 진행될 거예요.,Perhaps ~ will work out in the expected way. It’s possible that ~ might happen.,
,영어,능률(김),2015,3,function,Sound Life,why don’t you ~를 활용해 제안하기,Why don’t you consider taking a short break?,잠시 쉬는 것에 대해 고려해 보는 게 어때요?,Why don’t you try doing ~? Have you thought about trying ~?,
,영어,능률(김),2015,4,function,Toward a Better World,wish 문법을 활용해 바람 표현하기.,I wish I could spend more time with my family.,가족과 더 많은 시간을 보낼 수 있으면 좋겠어요.,I hope to ~ for a better experience. I would love to ~ in the future.,
,영어,능률(김),2015,5,function,What Matters Most,비인칭 주어 'It'을 활용해 강조 표현하기,It is crucial to maintain your health during winter.,겨울철에는 건강을 유지하는 것이 중요해요.,It is essential to focus on ~ at all times. It is significant to understand the importance of ~.,
,영어,능률(김),2015,6,function,Beyond the Limits,완화된 의문문 구조를 활용해 정보 존재 여부 묻기,Did you get any updates about the exciting event happening soon?,곧 열릴 신나는 행사에 대한 업데이트를 받았어요?,Have you come across the news about ~? Are you aware of the details regarding ~?,
,영어,능률(김),2015,7,function,Finding Out the Wonders,의문문을 활용해 설명 요청하기,Could you clarify what you mean by saying this?,이 말을 하신 의미를 명확히 설명해 주실 수 있어요?,Can you explain ~ to me? Would you elaborate on ~?,
,영어,능률(김),2015,8,function,It’s Up to You!,요청 표현 'Let me ~'를 활용하여 요청에 대한 의견을 표현하기.,Let me take some time to consider.,시간을 가지고 좀 더 생각해 볼게요.,Could you wait for a moment while I ~? Allow me to ~ before deciding,
,영어,능률(양),2015,1,function,Where Should I Begin?,I'm planning to ~을 활용해 계획이나 의도를 표현하기.,I'm planning to take yoga classes.,요가 수업을 들을 계획이에요.,I intend to ~ in the near future. My plan involves ~ during my free time.,
,영어,능률(양),2015,2,function,"Be Smart, Be Healthy",문장 순서를 나타내는 표현을 사용하여 열거 및 절차 설명하기,"First, wash your hands, then dry them with a clean towel, and finally prepare the ingredients. ","먼저 손을 씻고, 깨끗한 수건으로 닦은 다음, 재료를 준비하세요.","Begin with ~, follow that with ~, and complete it by ~. Start by ~, then proceed with ~, and end with ~. ",
