학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
"be going to ~를 사용하여 자신의 의도를 표현할 수 있어요.
계획이나 의도를 나타내는 다양한 표현을 사용할 수 있어요.",I’m ___ write a letter to explain my concerns clearly.,나는 내 우려를 명확히 설명하기 위해 편지를 쓸 거야.,plan to,going to,intending to,going to,2,I ___ in order to express my intentions.,나는 나의 의도를 표현하기 위해 그렇게 할 거야.,intending to,plan to,going to,plan to,2,A: I’m going to study for the upcoming exam. B: That sounds like a solid plan! A: I plan to review all my notes tonight to ensure success. B: I'm sure it will pay off.,"A: 다가오는 시험을 위해 공부할 거야. B: 그거 좋은 계획이야! A: 오늘 밤 모든 노트를 복습할 계획이야, 꼭 성공할 거야. B: 분명히 좋은 결과가 있을 거야."
"부사 maybe를 사용하여 가능성의 정도를 표현할 수 있어요.
부사 perhaps를 사용하여 가능성의 정도를 표현할 수 있어요.",___ this event will occur as planned.,이 행사가 계획대로 진행될 수도 있다.,Perhaps,Maybe,Probably,Maybe,2,___ ~ will work out in the expected way.,어쩌면 일이 예상대로 진행될 거야.,Certainly,Perhaps,Maybe,Perhaps,2,A: Maybe the plan will be executed perfectly. B: I am really looking forward to it! A: Perhaps all the details will come together smoothly. B: That sounds promising.,A: 어쩌면 계획이 완벽하게 실행될 거야. B: 정말 기대돼! A: 어쩌면 모든 세부 사항이 원활하게 맞물릴 거야. B: 정말 희망적이야.
"‘Why don’t you ~’ 표현을 활용하여 제안을 할 수 있어요.
You can use 'why don’t you ~' to suggest ideas.",Why don’t you ______ taking a short break?,짧은 휴식을 취하는 것을 고려해 보는 건 어때?,avoid,consider,skip,consider,2,Why don’t you ______ doing exercise?,운동하는 걸 해보는 건 어때?,forget,try,quit,try,2,"A: Why don’t you consider going for a walk? B: That sounds like a good idea, I might join you! A: Also, why don’t you try practicing some meditation? B: Hmm, I've thought about it. Maybe I'll give it a go.","A: 산책을 고려해 보는 건 어때? B: 좋은 생각이야, 나도 같이 가볼게! A: 그리고, 명상을 해보는 건 어때? B: 음, 생각해봤어. 한번 시도해볼게."
"wish 문법을 사용하여 자신의 바람을 표현할 수 있어요.
I hope와 I would love 표현을 활용해 미래에 대한 희망을 나타낼 수 있어요.",I wish I ____ more time with my family.,나는 가족과 더 많은 시간을 보낼 수 있기를 바란다.,can spend,could spend,would spend,could spend,2,I would love to ____ in the future.,나는 미래에 여행하고 싶어.,cook,travel,sleep,travel,2,A: I wish I could spend more time with my family. B: That must be hard. A: I would love to visit new countries in the future. B: Exploring new places sounds exciting.,A: 나는 가족과 더 많은 시간을 보낼 수 있기를 바래. B: 정말 아쉬울 것 같아. A: 미래에 새로운 나라들을 방문하고 싶어. B: 새로운 곳을 탐험하는 건 정말 신나는 일이야.
"비인칭 주어 'It'을 활용하여 강조 표현을 할 수 있어요.
강조 표현에 필요한 핵심 형용사를 올바르게 사용할 수 있어요.",It is ______ to maintain your health during winter.,겨울 동안 건강을 유지하는 것은 매우 중요하다.,optional,crucial,necessary,crucial,2,It is ______ to focus on your studies at all times.,항상 공부에 집중하는 것은 필수적입니다.,unimportant,essential,meaningless,essential,2,"A: It is crucial to exercise regularly during the winter. B: That's true, staying active makes all the difference. A: It is essential to eat a balanced diet at all times. B: Absolutely, proper nutrition keeps you healthy.","A: 겨울에는 규칙적으로 운동하는 것이 매우 중요해. B: 맞아, 활동적으로 지내는 것이 큰 차이를 만들어. A: 언제나 균형 잡힌 식단을 유지하는 것은 필수적이야. B: 정말 그래, 올바른 영양 섭취가 건강을 지켜주지."
"완화된 의문문 구조를 활용해 정보를 물어볼 수 있어요.
완화된 의문문 구조를 사용하여 행사나 이벤트에 대한 소식을 물어볼 수 있어요.",___ you get any updates about the exciting event happening soon?,곧 열릴 멋진 행사에 대한 업데이트를 받았나요?,Do,Did,Will,Did,2,Have you ___ across the news about the upcoming event?,다가오는 행사에 관한 소식을 접해보았나요?,seen,come,found,come,2,"A: Did you get any updates about the exciting event happening soon?
B: I haven't received any news yet.
A: Have you come across the news about the upcoming celebration?
B: Not really, I'll check for more details later.","A: 곧 열릴 멋진 행사에 대한 업데이트를 받았나요?
B: 아직 소식을 듣지 못했어요.
A: 다가오는 축하 행사에 관한 소식을 접해보았나요?
B: 별로 없어요, 나중에 더 자세히 확인해볼게요."
"의문문을 활용해서 설명을 요청할 수 있어요.
You can ask for explanations using interrogative sentences.",Could you ______ what you mean by saying this?,이 말을 통해 당신이 의미하는 바를 명확하게 해 주실 수 있나요?,explain,clarify,describe,clarify,2,Can you ______ to me?,내게 설명해 줄 수 있나요?,speak,explain,tell,explain,2,"A: Could you perhaps clarify your earlier point? B: Of course, I was suggesting we consider a new approach.","A: 아까 하신 말씀을 좀 더 명확하게 해 주실 수 있나요? B: 물론이죠, 새로운 접근 방식을 고려하자는 뜻이었어요."
"요청 표현 'Let me ~'를 활용하여 의견을 표현할 수 있어요.
You can use the request expression 'Let me ~' to express your opinion.",Let me ___ to consider.,잠시 생각할 시간을 갖게 해줘.,make a decision,take some time,start immediately,take some time,2,Could you wait for a moment while I ___?,내가 생각할 시간을 갖는 동안 잠시 기다려줄 수 있나요?,make a quick decision,take some time to consider,finish the task quickly,take some time to consider,2,"A: Let me get some time to think. B: Sure, take your time. A: Could you wait while I decide? B: Of course, I'll wait.","A: 잠시 생각할 시간을 가질게요. B: 좋아요, 천천히 결정하세요. A: 제가 결정하는 동안 잠시 기다려줄래요? B: 물론이죠, 기다릴게요."
"계획이나 의도를 표현하기 위해 'I'm planning to'라는 표현을 사용할 수 있어요.
'I intend to'와 같은 표현을 활용해 미래의 계획을 말할 수 있어요.",I'm planning to _____ yoga classes.,나는 요가 수업을 들을 계획이야.,skip,take,avoid,take,2,I _____ to visit the art museum in the near future.,나는 가까운 미래에 미술관을 방문할 계획이야.,attempt,intend,desire,intend,2,A: I'm planning to take cooking classes. B: That sounds interesting! A: I intend to join a community workshop in the near future. B: Great idea! Trying something new is exciting.,A: 나는 요리 수업을 들을 계획이야. B: 정말 흥미롭다! A: 나는 가까운 미래에 동네 워크샵에 참여할 생각이야. B: 새로운 것을 시도하는 건 정말 신나는 일이야.
"문장 순서를 나타내는 표현을 사용하여 절차를 열거하고 설명할 수 있어요.
Use expressions indicating order to list procedures and explain steps.","___, wash your hands, then dry them with a clean towel, and finally prepare the ingredients.","먼저, 손을 씻고, 다음에 깨끗한 수건으로 말리고, 마지막으로 재료를 준비하세요.",Next,First,Last,First,2,"___ with ~, follow that with ~, and complete it by ~.","먼저 ~로 시작해서, 그 다음 ~으로 진행하고, 마지막으로 ~으로 마무리하세요.",Finish,Begin,Continue,Begin,2,"A: First, gather all your tools, then check them for quality, and finally start your project. B: That sounds like a well-planned sequence.","A: 먼저 모든 도구를 모으고, 다음에 품질을 확인한 후, 마지막으로 프로젝트를 시작하세요. B: 그 순서가 정말 체계적이네요."
