학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
전치사의 목적어로서의 동명사를 사용할 수 있어요.,I enjoy _____ in team sports.,나는 팀 스포츠에서 노는 것을 즐겨요.,play,playing,played,playing,2,She is excited about _____ goals in matches.,그녀는 경기에서 골 넣는 것에 신나해요.,scoring,score,scored,scoring,1,A: What are you excited about these days? B: I am excited about dancing at festivals. A: Why is he nervous about the contest? B: He is nervous about competing in tournaments.,A: 요즘 무엇에 신나해요? B: 축제에서 춤추는 것에 신나해요. A: 왜 그 사람은 대회에 대해 긴장해요? B: 그는 토너먼트에 참가하는 것에 대해 긴장해요.
명사를 수식하는 과거분사(구)를 사용할 수 있어요.,The old bike ___ by my father is working smoothly.,아버지께서 고치신 오래된 자전거가 원활하게 작동해요.,fix,fixed,fixes,fixed,2,The delicious cake ___ by my teacher won first prize.,선생님께서 구우신 맛있는 케이크가 1등 상을 받았어요.,baked,bake,bakes,baked,1,"A: Have you seen the fixed computer? B: Yes, it was fixed by a specialist. A: Did you try the baked cookies? B: Yes, they were baked by my aunt.","A: 수리된 컴퓨터를 보셨어요? B: 네, 전문가께서 수리하셨어요. A: 구워진 쿠키를 드셔보셨어요? B: 네, 이모께서 구우셨어요."
사역동사+목적어+동사원형을 사용할 수 있어요.,They let me ___ a beautiful song.,그들은 나에게 아름다운 노래를 고르게 했어요.,chooses,choose,chose,choose,2,My friend ___ me to try a refreshing coffee.,제 친구는 저에게 상쾌한 커피를 마시게 했어요.,got,gets,gotten,got,1,"A: Did you let your friend choose the project topic? B: Yes, I let her choose it. A: Did your teacher make you solve the challenging problem? B: Yes, my teacher made me solve it.","A: 친구에게 프로젝트 주제를 고르게 했어요? B: 네, 친구에게 그것을 고르게 했어요. A: 선생님께서 당신에게 어려운 문제를 풀게 하셨어요? B: 네, 선생님께서 제가 그것을 풀게 했어요."
관계부사를 사용할 수 있어요.,I am happy that the volunteers found a community ___ they can help their neighbors.,자원봉사자들이 이웃을 도울 수 있는 커뮤니티를 찾았다는 것에 나는 기뻐요.,when,where,why,where,2,He is relieved that the children have a playground ___ they can play freely.,아이들이 자유롭게 놀 수 있는 놀이터를 가지고 있다는 것에 그는 안심해요.,where,when,how,where,1,A: I am happy that the chef invented a recipe where flavors harmonize. B: I am relieved that the baker used an oven where cakes bake evenly. A: I am thankful that the scientist discovered a theory where principles align. B: I am proud that the artist painted a mural where colors merge beautifully.,A: 저는 요리사가 맛이 잘 어우러지는 레시피를 발명했다는 것에 기뻐요. B: 저는 제빵사가 케이크가 고르게 구워지는 오븐을 사용했다는 것에 안심해요. A: 저는 과학자가 원리가 일치하는 이론을 발견했다는 것에 감사해요. B: 저는 예술가가 색이 아름답게 어우러지는 벽화를 그렸다는 것에 자랑스러워요.
분사구문을 사용할 수 있어요.,"_______ a soft melody, I opened a window to let fresh air in.",부드러운 선율을 들으며 나는 신선한 공기를 들이기 위해 창문을 열었어요.,Heard,Hearing,Listening,Hearing,2,"_______ a stray dog, the student offered some water.",길 잃은 개를 눈치채며 그 학생은 물을 제공했어요.,Noticing,Noticed,Notice,Noticing,1,"A: Glancing at the cloudy sky, I grabbed my umbrella. B: Noticing a sudden drizzle, I hurried indoors. A: Hearing a lively tune, I started dancing. B: Observing friendly strangers, I waved cheerfully.",A: 구름 낀 하늘을 바라보며 나는 우산을 챙겼어요. B: 갑작스러운 이슬비를 눈치채며 나는 서둘러 실내로 들어갔어요. A: 경쾌한 선율을 들으며 나는 춤을 추기 시작했어요. B: 친근한 낯선 사람들을 보며 나는 쾌활하게 손을 흔들었어요.
so+형용사/부사+that+주어+동사 문법을 사용할 수 있어요.,She practiced ___ that she became a confident speaker.,그녀는 자신감 있는 화자가 될 정도로 열정적으로 연습했어요.,passionately,so passionately,so passion,so passionately,2,I studied ___ that I earned top scores.,나는 최고 점수를 얻을 정도로 신중하게 공부했어요.,so carefully,carefully,so careful,so carefully,1,A: What did you think of the concert? B: I enjoyed it so much that I immediately booked tickets for the next show. A: How was your holiday trip? B: It was so refreshing that I planned another round trip soon.,A: 콘서트에 대해 어떻게 생각하셨어요? B: 저는 너무 즐거워서 바로 다음 공연 티켓을 예매했어요. A: 휴가 여행은 어땠어요? B: 휴가가 너무 상쾌해서 곧 다시 여행을 계획했어요.
최상급 표현을 포함한 복수명사를 사용할 수 있어요.,One of the ___ exciting adventures is exploring the hidden trails.,숨겨진 산책로를 탐험하는 것은 가장 흥미로운 모험 중 하나에요.,more,most,much,most,2,One of the ___ memories is seeing the sunrise from the hilltop.,언덕 꼭대기에서 일출을 보는 것은 가장 좋은 추억 중 하나에요.,best,better,good,best,1,"A: Is one of the most scenic routes along the coast? B: Yes, I drove through it last summer. A: Would you say one of the best challenges is learning a new language? B: Absolutely, it broadens my perspective.","A: 해안선을 따라 가장 경치 좋은 길 중 하나인가요? B: 네, 작년 여름에 그 길을 운전했어요. A: 새로운 언어를 배우는 것이 최고의 도전 중 하나라고 생각하세요? B: 네, 그것은 시야를 넓혀줘요."
the+비교급 문법을 사용할 수 있어요.,"The more I practice, the ___ my understanding becomes.",연습을 많이 할수록 내 이해도가 좋아져요.,good,better,best,better,2,"The faster you work, the ___ success arrives.",더 빨리 일할수록 성공이 빨리 와요.,sooner,fastest,quick,sooner,1,"A: The more I read, the deeper my insight grows. B: I always feel more enlightened after reading. A: The faster you decide, the sooner your plan takes effect. B: Indeed, quick decisions lead to great outcomes.","A: 많이 읽을수록 내 통찰력이 깊어져요. B: 읽고 나면 항상 더 깨달음을 얻어요. A: 빠르게 결정할수록 계획이 빨리 실현돼요. B: 정말로, 빠른 결정은 좋은 결과를 가져와요."
in case 표현을 사용할 수 있어요.,I carry an umbrella ___ it rains soon.,비가 곧 올 경우에 대비해서 우산을 들고 다녀요.,because,in case,if,in case,2,I bring extra water ___ it gets hot.,너무 더울 경우에 대비해서 여분의 물을 가져와요.,in case,if,unless,in case,1,A: Do you carry a first aid kit? B: I carry a kit in case someone gets hurt. A: Do you pack a sweater for outings? B: I pack a sweater in case it gets chilly.,A: 응급 처치 키트를 가지고 다녀요? B: 누군가 다칠 경우에 대비해서 키트를 가지고 다녀요. A: 외출할 때 스웨터를 챙겨요? B: 쌀쌀해질 경우에 대비해서 스웨터를 챙겨요.
the same ... as 구문을 사용할 수 있어요.,She wants you to enjoy ___ adventure as she did.,그녀는 당신이 그녀처럼 똑같은 모험을 즐기길 원해요.,a same,the same,same,the same,2,He plans to achieve ___ success as his mentor.,그는 그의 스승처럼 똑같은 성공을 이루길 계획해요.,the same,a same,same,the same,1,"A: Will you try the same recipe as your grandmother? B: Yes, I will try the same recipe. A: Did you view the same exhibit as the previous visitor? B: Yes, I did view the same exhibit.","A: 할머니와 똑같은 레시피를 시도할 거예요? B: 네, 똑같은 레시피를 시도할 거예요. A: 이전 방문객과 똑같은 전시를 봤어요? B: 네, 똑같은 전시를 봤어요."
