,textbook ID,학년,출판사,교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_KOR,SUB_EXPRESSION,학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
0,701,중1,능률(김),2015,1,Welcome to My World,"자기소개와 출신지에 대해 말하고, 이에 반응하기.
","A: My name is Felix. I’m from Australia.
B: Glad to meet you.
","A: 내 이름은 필릭스야. 나는 호주에서 왔어.
B: 만나서 반가워.
","A: Hi, I’m (). I come from ().
B: Nice to meet you.
A: Hello, my name is (). I’m from ().
B: Great to meet you.
","자기소개와 출신지에 대해 말할 수 있어요.
Talk about your introduction and origin, and respond appropriately.",A: My name is Felix. I’m from ____.,A: 내 이름은 Felix야. 나는 Australia 출신이야. B: 만나서 반가워.,America,Australia,Canada,Australia,2,"A: Hi, I’m Sam. I ____ from Korea. B: Nice to meet you.","A: 안녕, 나는 Sam이야. 나는 Korea에서 왔어. B: 만나서 반가워.",live,come,am,come,2,"A: My name is Leo. I’m from Canada. B: Pleased to meet you. A: Hi, I’m Mia. I come from Japan. B: Happy to meet you.","A: 내 이름은 Leo야. 나는 Canada 출신이야. B: 만나서 반가워. A: 안녕, 나는 Mia야. 나는 Japan에서 왔어. B: 만나서 기뻐."
2,701,중1,능률(김),2015,3,"Spend Smart, Save Smart","You should ()를 활용해 조언하기.
","A: You should study harder.
B: Okay, I’ll try.
","A: 너는 더 열심히 공부해야 해.
B: 알겠어, 노력할게.
","A: It’s a good idea to ().
B: I’ll give it a shot.
A: How about ()?
B: Sure, I’ll do that.
","‘You should’를 활용하여 조언할 수 있어요.
구체적인 조언 표현에서 핵심 동사를 사용할 수 있어요.","A: You should ______. B: Okay, I’ll try.","A: 너는 ______ 해야 해. B: 알겠어, 노력해볼게.",study harder,watch TV,sleep early,study harder,1,A: It’s a good idea to ______. B: I’ll give it a shot.,A: ~하는 것이 좋은 생각이야. B: 한 번 해볼게.,run fast,study harder,eat quickly,study harder,2,"A: You should exercise regularly. B: Okay, I'll try. A: It's a good idea to eat a balanced diet. B: Sure, I'll do that.","A: 너는 규칙적으로 운동해야 해. B: 알겠어, 노력해볼게. A: 균형 잡힌 식단을 유지하는 것이 좋은 생각이야. B: 그래, 그렇게 할게."
3,701,중1,능률(김),2015,4,The Power of Ideas,"의견에 동의하거나 반대 표현하기.
","A: This idea is great.
B: I think so, too. / I don’t think so.
","A: 이 아이디어는 정말 좋아.
B: 나도 그렇게 생각해. / 난 그렇게 생각하지 않아.
","A: This () feels ().
B: I agree. () / I disagree. ()
A: I believe this () is ().
B: Me, too. () / I don’t think so. ()
","타인의 의견에 동의하거나 반대하는 표현을 사용할 수 있어요.
Express opinions by showing agreement or disagreement.",This idea is ___.,이 생각은 훌륭해.,terrible,great,average,great,2,I believe this idea is ___.,나는 이 생각이 환상적이라고 믿어.,mediocre,fantastic,bad,fantastic,2,"A: This proposal is amazing. B: I think so, too. A: I believe this plan is exceptional. B: Me, too.",A: 이 제안은 놀라워. B: 나도 그렇게 생각해. A: 나는 이 계획이 탁월하다고 믿어. B: 나도 그래.
4,701,중1,능률(김),2015,5,Follow Your Dreams,"want to ()를 활용 미래에 대한 소망을 표현하기.
","I want to be a doctor.
","나는 의사가 되고 싶어.
","My dream is to become ().
I hope to be ().
","미래에 대한 소망을 표현할 수 있어요.
I want to ()를 활용하여 자신의 꿈을 말할 수 있어요.",I want to be a ______.,나는 의사가 되고 싶어.,nurse,doctor,teacher,doctor,2,My dream is to become ______. I hope to be a doctor.,내 꿈은 의사가 되는 거야. 나는 의사가 되고 싶어.,a teacher,a doctor,an actor,a doctor,2,A: I want to be an engineer one day. B: That's an inspiring goal! A: My dream is to become an engineer. I hope to make a difference. B: Believe in yourself!,A: 언젠가는 엔지니어가 되고 싶어. B: 정말 영감을 주는 목표야! A: 내 꿈은 엔지니어가 되는 거야. 나는 변화를 만들고 싶어. B: 자신을 믿어!
5,701,중1,능률(김),2015,6,The Joy of Art,"What do you think of ()?를 활용해 의견을 묻고 답하기.
","A: What do you think of this movie?
B: I think it’s amazing.
","A: 이 영화에 대해 어떻게 생각해?
B: 나는 정말 놀랍다고 생각해.
","A: How do you feel about ()?
B: I feel it’s ().
A: What’s your opinion on ()?
B: I believe it’s ().
","의견을 묻고 답할 수 있어요.
What do you think of ()?와 같은 표현을 사용하여 자신의 의견을 표현할 수 있어요.",A: ___ this movie?,이 영화에 대해 어떻게 생각해?,What's your opinion on,What do you think of,How do you feel about,What do you think of,2,A: ___ this pizza?,이 피자에 대해 어떻게 느껴?,What's your opinion on,I believe it's,How do you feel about,How do you feel about,3,A: What do you think of this book? B: I think it's fascinating. A: How do you feel about this painting? B: I feel it's inspiring.,A: 이 책에 대해 어떻게 생각해? B: 정말 매력적이야. A: 이 그림에 대해 어떻게 느껴? B: 정말 감동적이야.
6,701,중1,능률(김),2015,7,Time for Stories,"Why don’t you ()?를 활용해 권유 표현하기.
","Why don’t you try this restaurant?
","이 레스토랑을 한번 가보는 게 어때?
","How about ()?
You should try ().
","권유 표현을 활용하여 제안을 할 수 있어요.
Why don’t you ()?와 How about ()? You should try ()와 같은 표현을 사용할 수 있어요.",Why don’t you ___ this restaurant?,왜 이 식당에 한 번 가봐?,check,try,eat,try,2,How about this restaurant? You should ___.,이 식당 어때? 한 번 가봐.,try,skip,ignore,try,1,A: Why don't you try the new bistro downtown? B: That sounds like a great idea. A: And how about this restaurant? You should try their special menu. B: I will definitely check it out.,A: 시내에 새로 생긴 비스트로를 한 번 가봐. B: 좋은 생각인 것 같아. A: 그리고 이 식당 어때? 특별 메뉴를 한 번 시도해 봐. B: 꼭 한 번 가볼게.
7,702,중1,능률(양),2015,1,Meet My New Classmates,"형용사를 활용해 소개에 반응하기.  # Pleased / glad / nice to meet you 등의 형용사
","Pleased to meet you.
","만나서 기쁩니다.
","() to meet you.
It’s () to meet you.
","형용사를 활용해 소개에 반응하는 표현을 사용할 수 있어요.
Pleased, glad, nice to meet you 등의 표현을 사용하여 반응할 수 있어요.",______ to meet you.,만나서 반갑습니다.,Disappointed,Pleased,Upset,Pleased,2,______ to meet you. It’s ______ to meet you.,만나서 반갑습니다. 만나서 반갑습니다.,happy,nice,sad,nice,2,"A: Pleased to meet you. B: I'm happy to meet you too. A: Actually, it's really nice to meet you. B: I appreciate meeting you.","A: 만나서 반갑습니다. B: 저도 만나서 기뻐요. A: 사실, 만나서 반갑습니다. B: 만나게 되어 기뻐요."
8,702,중1,능률(양),2015,2,Fun Plans for Happy Days,"be going to ()를 활용해 의도를 표현하기. # 주어 포함됨
","I am going to travel.
","나는 여행을 갈 거야.
","() plan to ().
() intend to ().
","의도를 표현하는 다양한 방법을 사용할 수 있어요.
be going to 등의 표현을 활용해 자신의 의도를 표현할 수 있어요.",I am going to ______.,나는 여행할 거야.,study,travel,cook,travel,2,I ______ travel.,나는 여행할 계획이야.,going to,plan to,intend to,plan to,2,"A: I am going to travel next month. B: That sounds exciting! A: I plan to visit several cities. B: Wow, enjoy your adventure!","A: 나는 다음 달에 여행할 거야. B: 정말 멋지다! A: 나는 여러 도시를 방문할 계획이야. B: 와, 모험 즐겨!"
9,702,중1,능률(양),2015,3,"Thank You, My Family","has to ()를 활용해 의무를 표현하기. # 주어 포함됨
","He has to finish his work.
","그는 일을 끝내야 해요.
","() must ().
() needs to ().
","의무를 표현하는 문장에서 'has to'를 사용할 수 있어요.
다른 방식인 'must'와 'needs to'를 사용하여 의무를 나타낼 수 있어요.",He ___ finish his work.,그는 그의 일을 끝내야 한다.,needs to,has to,must,has to,2,She ___ complete the assignment.,그녀는 과제를 완성해야 한다.,can,has to,must,must,3,"A: He has to leave the office by five. B: That sounds strict. A: She must submit the report by tomorrow. B: I agree, deadlines are tough.","A: 그는 다섯 시까지 사무실을 떠나야 해. B: 정말 엄격하네. A: 그녀는 내일까지 보고서를 제출해야 해. B: 맞아, 마감 시간이 힘들어."
10,702,중1,능률(양),2015,4,"Get Healthy, Be Happy!","칭찬이나 축하를 간단히 표현하기.
","You did a good job!
","잘했어!
","Well done!
Great work!
","칭찬이나 축하의 표현을 배울 수 있어요.
간단한 칭찬과 축하의 말을 사용할 수 있어요.",You did a ___ job!,정말 잘했어!,mediocre,good,bad,good,2,Well done! ___ work!,잘했어! 멋진 일이야!,Fine,Great,Excellent,Great,2,"A: You did a good job! B: Thanks, I practiced a lot. A: Well done! Great work! B: I appreciate your compliment.","A: 너 정말 잘했어! B: 고마워, 많이 연습했어. A: 잘했어! 멋진 일이야! B: 칭찬해줘서 고마워."
