학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
"상대의 바람에 대해 묻고 답할 수 있어요.
What would you like to do? 표현을 활용하여 자신의 바람을 나타낼 수 있어요.",A: ___ B: I’d like to travel around the world.,A: 무엇을 하고 싶니? B: 나는 세계 여행을 하고 싶어.,Where would you like to go?,What would you like to do?,How do you want to travel?,What would you like to do?,2,A: What do you hope to do? B: I hope to ___.,A: 너는 무엇을 하길 바래? B: 나는 여행하고 싶어.,travel,read,dance,travel,1,A: What would you like to do? B: I’d like to explore new cities. A: What do you want to do? B: I want to discover hidden places.,A: 너는 무엇을 하고 싶어? B: 나는 새로운 도시들을 탐험하고 싶어. A: 너는 무엇을 하길 원해? B: 나는 숨겨진 장소들을 발견하고 싶어.
"현재완료를 사용하여 정보를 알고 있는지 질문할 수 있어요.
최신 소식이나 발표에 대해 상대방의 인식을 확인하는 표현을 익힙니다.",___ you heard the latest news?,최신 소식을 들었어?,Did,Have,Are,Have,2,Do you ___ about the plan?,그 계획에 대해 알고 있어?,see,know,hear,know,2,"A: Have you heard the recent update? B: Yes, I have. A: Do you know about the meeting? B: Yes, I do.","A: 최근 업데이트 들었어? B: 응, 들었어. A: 회의에 대해 알고 있어? B: 응, 알고 있어."
"표현 'curious about'를 활용하여 궁금증을 표현할 수 있어요.
표현 'I wonder about'를 활용하여 궁금한 점에 대해 질문할 수 있어요.",I'm ___ about space exploration.,나는 우주 탐사에 대해 궁금해.,interested,curious,excited,curious,2,I wonder about ___.,나는 우주 탐사에 대해 궁금해.,mountain hiking,space exploration,ocean life,space exploration,2,A: I'm curious about ancient ruins. B: That's really fascinating! A: I wonder about their origins.,A: 나는 고대 유적에 대해 궁금해. B: 그거 정말 흥미롭다! A: 그 기원의 대해 알고 싶어.
"고민이나 불만족의 원인을 물어볼 수 있어요.
What’s the matter?와 관련된 표현을 활용해 문제의 원인을 묻는 법을 배워요.",A: ___? B: I have a terrible headache.,A: 무슨 일 있니? B: 머리가 너무 아파.,What’s wrong?,What’s the matter?,How are you?,What’s the matter?,2,A: Why are you ___? B: It’s because I lost my book.,A: 왜 속상해? B: 책을 잃어버렸기 때문이야.,happy,upset,tired,upset,2,A: What’s the matter? B: I have a bad cold. A: Why are you upset? B: It’s because I didn't sleep well.,A: 무슨 일 있니? B: 감기에 걸렸어. A: 왜 속상해? B: 잠을 잘 못 잤기 때문이야.
"자신의 의견을 표현하는 영어 문장을 사용할 수 있어요.
You can express your opinion using phrases like 'In my opinion,'.","___, learning languages is important.","내 생각에는, 언어 배우는 것이 중요해.",To be honest,In my opinion,Actually,In my opinion,2,"___ that, learning languages is important.","내 생각에는, 언어 배우는 것이 중요해.",From my perspective,I think that,"Honestly,",I think that,2,"A: In my opinion, reading books broadens the mind. B: I agree, it opens new perspectives. A: I think that exploring new ideas is exciting. B: From my perspective, art inspires creativity.","A: 내 생각에는, 책 읽는 것이 사고의 폭을 넓혀. B: 응, 새로운 시각을 열어줘. A: 나는 새로운 아이디어를 탐구하는 것이 흥미롭다고 생각해. B: 내 관점에서는 예술이 창의력을 불러일으켜."
"선호에 대해 묻고 답할 수 있어요.
Which () do you prefer?를 활용해 선호에 대해 묻고 답할 수 있어요.",A: Which drink do you ___? B: I prefer coffee to tea.,A: 어떤 음료를 선호하니? B: 나는 커피보다 차를 선호해.,like,choose,prefer,prefer,3,A: What’s your ___ drink? B: My favorite is coffee.,A: 가장 좋아하는 음료는 무엇이니? B: 내가 가장 좋아하는 것은 커피야.,old,favorite,cheap,favorite,2,A: Which drink do you prefer? B: I prefer tea to coffee. A: What’s your favorite juice? B: My favorite is apple juice. A: Do you like soda or water better? B: I like water better.,A: 어떤 음료를 선호하니? B: 나는 커피보다 차를 선호해. A: 가장 좋아하는 주스는 무엇이니? B: 내가 가장 좋아하는 것은 사과 주스야. A: 소다와 물 중 어느 쪽이 더 좋니? B: 나는 물이 더 좋아.
"설명 요청하는 표현을 사용할 수 있어요.
You can request an explanation by using 'Could you explain how to ()?' pattern.",Could you explain how to ___ this software?,이 소프트웨어를 어떻게 사용하는지 설명해 주세요.,open,use,draw,use,2,Can you tell me how to ___? Would you mind explaining how to ___?,이것을 어떻게 사용하는지 말씀해 주실 수 있나요? 이것을 어떻게 사용하는지 설명해 주실래요?,fix,use,build,use,2,"A: Could you explain how to install this app? B: Sure, I'll show you how to proceed.","A: 이 앱을 어떻게 설치하는지 설명해 주실래요? B: 네, 어떻게 진행하는지 알려드릴게요."
"다양한 의견 표현 방법을 사용할 수 있어요.
In my opinion와 I think that 같은 표현으로 개인의 생각을 전달할 수 있어요.","A: ___, this is the best solution.",내 생각에는 이것이 최고의 해결책이야.,I think that,In my view,In my opinion,In my opinion,3,"A: ___, we should reconsider our plan.",내가 보기에 우리 계획을 다시 생각해봐야 해.,In my view,I think that,I believe that,I think that,2,"A: In my opinion, exercising regularly is essential. B: That's an interesting perspective. A: I think that a balanced diet boosts energy levels. B: I see your point.",A: 내 생각에는 규칙적인 운동이 필수적이야. B: 흥미로운 관점이야. A: 나는 균형 잡힌 식단이 에너지 향상에 도움이 된다고 생각해. B: 네 말이 맞아.
"만족 여부를 물어보는 방법을 배워요.
Learn how to ask for satisfaction using 'How do you like ()?'.",A: ____ your new job? B: I like it a lot.,A: 너의 새 직장은 어때? B: 나는 그것을 정말 좋아해.,What do you think of,How do you like,Do you enjoy,How do you like,2,"A: Do you ____ your new job? B: Yes, I love it.","A: 너의 새 직장은 즐기니? B: 응, 난 그것을 사랑해.",think,enjoy,hate,enjoy,2,"A: How do you like your new phone? B: I like it a lot. A: Do you enjoy using it? B: Absolutely, it's amazing!","A: 새 핸드폰은 어때? B: 정말 좋아해. A: 사용하는 게 즐거워? B: 당연히, 정말 멋져!"
"경고하기 위해 'Make sure you don't ~' 표현을 사용할 수 있어요.
주의를 주는 표현을 배울 수 있어요.",A: Make sure you don’t ____ your keys. B: Thanks for reminding me.,A: 열쇠를 잊지 말도록 꼭 기억해. B: 상기시켜줘서 고마워.,ignore,forget,lose,forget,2,A: Be careful not to ____. B: I will. A: Don’t ____. B: I’ll remember that.,A: 잊지 않도록 조심해. B: 그렇게 할게. A: 잊지 마. B: 꼭 기억할게.,panic,delay,forget,forget,3,"A: Make sure you don’t lose your wallet. B: Thanks for reminding me. A: Be careful not to leave it behind. B: I won't, I'll check carefully.","A: 지갑을 잃어버리지 않도록 꼭 확인해. B: 상기시켜줘서 고마워. A: 그것을 두고 가지 않도록 조심해. B: 그럴게, 주의할게."
