학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
be동사의 긍정문과 부정문을 사용할 수 있어요.,I ___ excited to share my story.,나는 내 이야기를 나누게 되어 신나요.,is,am,are,am,2,She ___ not bored with the challenges.,그녀는 어려움에 지루하지 않아요.,am,is,are,is,1,A: I am eager for the cultural festival. B: I am excited about joining the team. A: Is your friend not tired from the long journey? B: She is not exhausted by the travel.,A: 저는 문화 축제에 열정적이에요. B: 저는 팀에 합류하게 되어 신나요. A: 당신의 친구는 긴 여정에 지치지 않아요? B: 그녀는 여행에 지치지 않아요.
현재진행형을 사용할 수 있어요.,I'm ___ the traditional art gallery.,저는 전통 미술관을 탐험하고 있어요.,explore,exploring,explored,exploring,2,I'm ___ the local heritage site.,저는 지역 문화재를 방문하고 있어요.,visiting,visit,visited,visiting,1,A: What are you doing right now? B: I'm reading a novel. A: Where are you going this evening? B: I'm meeting some friends.,A: 지금 무엇을 하고 있어요? B: 소설을 읽고 있어요. A: 오늘 저녁에 어디로 가고 있어요? B: 친구들을 만나고 있어요.
동사의 과거형을 사용할 수 있어요.,I ___ a stylish notebook from the discount shop.,나는 할인 가게에서 멋진 공책을 샀어요.,buy,bought,buying,bought,2,He ___ his money wisely at the store.,그는 가게에서 돈을 현명하게 썼어요.,spent,spend,spended,spent,1,A: What did you enjoy yesterday? B: I watched an exciting movie at home. A: Where did you dine last night? B: I visited a nice restaurant.,A: 어제 무엇을 즐겼어요? B: 집에서 신나는 영화를 봤어요. A: 어젯밤에 어디서 식사했어요? B: 멋진 식당에서 식사했어요.
목적어를 두 개 갖는 동사를 사용할 수 있어요.,The expert ___ us a brilliant idea.,전문가께서 우리에게 빛나는 아이디어를 제안하셨어요.,offered,sent,showed,offered,1,The mentor ___ us a useful tip.,멘토께서 우리에게 유용한 팁을 주셨어요.,shared,gave,provided,gave,2,"A: Did you lend your friend a book? B: Yes, I lent her a book. A: Did you send your colleague an email? B: Yes, I sent him an email.","A: 친구에게 책을 빌려줬어요? B: 네, 저는 친구에게 책을 빌려줬어요. A: 동료에게 이메일을 보냈어요? B: 네, 저는 동료에게 이메일을 보냈어요."
비교급과 최상급을 사용할 수 있어요.,She worked ___ steadily than anyone else.,그녀는 누구보다도 꾸준하게 일했어요.,better,more,good,more,2,Dreaming big is the ___ way.,큰 꿈을 꾸는 것이 최고인 방법이에요.,best,most,better,best,1,"A: Did you plan your day carefully? B: Yes, I planned it more efficiently than before. A: Which restaurant is the best in town? B: I think the new one is the best.","A: 오늘 하루를 신중하게 계획했어요? B: 네, 전보다 더 효율적으로 계획했어요. A: 이 동네에서 어느 식당이 최고예요? B: 새로 생긴 식당이 최고예요."
목적을 나타내는 to부정사를 사용할 수 있어요.,She visited the gallery ____ admire paintings.,그녀는 미술관을 방문해서 그림들을 감상했어요.,for admire paintings,to admire paintings,at admire paintings,to admire paintings,2,They went to the park ____ sketch nature.,그들은 공원에 가서 자연을 스케치했어요.,to sketch nature,for sketch nature,at sketch nature,to sketch nature,1,A: What did you do on your day off? B: I visited a museum to appreciate art. A: Where did you have dinner last night? B: I chose a restaurant to try local dishes.,A: 휴일에 무엇을 하셨어요? B: 미술관을 방문해서 예술을 감상했어요. A: 어제 저녁에 어디에서 식사하셨어요? B: 지역 요리를 맛보기 위해 식당을 선택했어요.
감탄문을 사용할 수 있어요.,How ___ the stories are tonight!,오늘 밤 이야기들이 얼마나 흥미로운지 감탄해요.,intrigue,intriguing,intrigued,intriguing,2,How ___ the characters appear!,캐릭터들이 얼마나 즐거운지 감탄해요.,delightful,delighting,delighted,delightful,1,A: How vivid the sunset appears tonight! B: I truly appreciate the brilliant colors. A: How refreshing the breeze feels now! B: It makes the day more enjoyable.,A: 오늘 밤 노을이 얼마나 선명한지 감탄해요! B: 저는 그 화려한 색깔들을 정말로 감상해요. A: 지금 바람이 얼마나 시원하게 느껴지는지 감탄해요! B: 그 덕에 오늘 하루가 훨씬 즐거워요.
목적어로 쓰이는 동명사를 사용할 수 있어요.,I enjoy ____ with my classmates.,나는 학급 친구들과 대화하는 것을 즐겨요.,chatted,chatting,chat,chatting,2,My friend enjoys ____ basketball.,내 친구는 농구하는 것을 즐겨요.,playing,play,played,playing,1,A: I enjoy cooking new dishes. B: I enjoy reading mystery novels. A: I enjoy listening to classical music. B: I enjoy drawing sketches.,A: 저는 새로운 요리를 만드는 것을 즐겨요. B: 저는 미스터리 소설을 읽는 것을 즐겨요. A: 저는 클래식 음악을 듣는 것을 즐겨요. B: 저는 스케치를 그리는 것을 즐겨요.
be going to 의문문을 사용할 수 있어요.,Are you ___ visit the theme park next weekend?,다음 주말에 테마파크를 방문할 예정이에요?,gonna,going to,go to,going to,2,Is she ___ join the picnic tomorrow?,그녀는 내일 소풍에 참가할 예정이에요?,going to,go to,going,going to,1,"A: Are you going to paint your room this weekend? B: Yes, I am going to choose a new color. A: Is your friend going to participate in the contest tomorrow? B: No, she is going to study at home.","A: 이번 주말에 방을 칠할 예정이에요? B: 네, 새로운 색을 선택할 예정이에요. A: 친구가 내일 경연 대회에 참가할 예정이에요? B: 아니요, 집에서 공부할 예정이에요."
that 명사절을 사용할 수 있어요.,I feel ___ love strengthens us.,저는 사랑이 우리를 강하게 만들어요.,if,that,which,that,2,She believes ___ a kind word heals wounds.,그녀는 친절한 말이 상처를 치유한다고 믿어요.,that,if,but,that,1,"A: I know that music relaxes me. B: I believe that nature inspires creativity. A: Do you think that sports build character? B: Yes, I think that reading expands perspective.","A: 저는 음악이 저를 편안하게 만든다고 알아요. B: 저는 자연이 창의력을 불러일으킨다고 믿어요. A: 스포츠가 인격을 형성한다고 생각하세요? B: 네, 저는 독서가 시각을 넓힌다고 생각해요."
