제목,출판사,교육과정,Lesson,Title,Goal,Functions (의사소통기능),Structures (언어 형식),Functions Material 1,Functions Material 2,
영어,능률(김),2015,1,The Part You Play,N/A,"• 의도 표현하기
I’m going to call and tell my friends that I can’t make it today.

• 도덕적 의무 표현하기
We should be more interested in our town.","• 전치사의 목적어로서의 동명사
Instead of running straight ahead, the player kindly passed the ball to Ethan so that he could score a touchdown.  

• 진주어 to부정사와 의미상의 주어
It is difficult for him to walk, run, or move around.  

","[DESCRIPTION]

be going to ()를 활용해 의도 표현하기.

[KEY_EXPRESSION]

I’m going to write a letter to explain my concerns clearly.

[SUB_EXPRESSION_1]

I plan to () in order to express my intentions.

[SUB_EXPRESSION_2]

I’m intending to () to achieve my goal.","[DESCRIPTION]

should를 활용해 도덕적 의무 표현하기.

[KEY_EXPRESSION]

We should take better care of our surroundings.

[SUB_EXPRESSION_1]

We ought to pay attention to ().

[SUB_EXPRESSION_2]

It is essential that we focus on ().",
영어,능률(김),2015,2,The Power of Creativity,N/A,"• 가능성 정도 표현하기
Maybe that will make it easier to fit it in small places.

• 의견 표현하기
It seems to me that the artists breathed new life into this area.","• 명사를 수식하는 과거분사(구)
The giant pictures made from trash by environmental artist Tom Deininger are one of a kind.  

• 주격 관계대명사
The German government showed us an excellent example of this with a former steel plant that closed in 1985.  ","[DESCRIPTION]

부사 maybe를 활용해서 가능성의 정도를 표현하기

[KEY_EXPRESSION]

Maybe this event will occur as planned.

[SUB_EXPRESSION_1]

Perhaps () will work out in the expected way.

[SUB_EXPRESSION_2]

It’s possible that () might happen.","[DESCRIPTION]

It seems to me that ()의 구조를 활용해 의견이나 견해를 표현하기.

[KEY_EXPRESSION]

It seems to me that contemporary design integrates both form and function.

[SUB_EXPRESSION_1]

From my point of view, ().

[SUB_EXPRESSION_2]

I’d say ().",
영어,능률(김),2015,3,Sound Life,N/A,"• 제안·권유하기
Why don’t you try eating a banana?

• 걱정, 두려움 표현하기
I’m worried about making a mistake.","• 사역동사+목적어+동사원형
Has a painting, a movie, or a novel ever made you feel better?  

• 관계대명사 what
This is what makes you special.  ","[DESCRIPTION]

why don’t you ()를 활용해 제안하기

[KEY_EXPRESSION]

Why don’t you consider taking a short break?

[SUB_EXPRESSION_1]

Why don’t you try doing ()?

[SUB_EXPRESSION_2]

Have you thought about trying ()?","[DESCRIPTION]

다양한 표현으로 걱정, 두려움 표현하기

[KEY_EXPRESSION]

I feel anxious about starting a new job.

[SUB_EXPRESSION_1]

I'm worried about ()

[SUB_EXPRESSION_2]

I'm concerned that ()",
영어,능률(김),2015,4,Toward a Better World,N/A,"• 바람 표현하기
I wish I could do more to help them.

• 선호 표현하기
I think sharing food is better than throwing it away.","• 관계부사
I am so glad that this family now has a safe place where they can lay their heads.  

• 형용사/부사+enough+to-v
It was quite clear that this place was not big enough to house all the family members.  ","[DESCRIPTION]

wish 문법을 활용해 바람 표현하기.

[KEY_EXPRESSION]

I wish I could spend more time with my family.

[SUB_EXPRESSION_1]

I hope to () for a better experience.

[SUB_EXPRESSION_2]

I would love to () in the future.","[DESCRIPTION]

비교급을 활용하여 선호를 표현하기

[KEY_EXPRESSION]

I believe exercising outdoors is better than staying indoors.

[SUB_EXPRESSION_1]

I find () more enjoyable than ().

[SUB_EXPRESSION_2]

In my opinion, () is preferable to ().",
영어,능률(김),2015,5,What Matters Most,N/A,"• 강조하기
It is important to be happy with who you are.

• 관심에 대해 묻기
What are you interested in?","• 분사구문
Reaching the hermit’s hut, the king found the old man digging in his garden.  

• 가정법 과거완료
If you hadn’t helped me, you would’ve left, and that man would’ve attacked you.  ","[DESCRIPTION]

비인칭 주어 'It'을 활용해 강조 표현하기

[KEY_EXPRESSION]

It is crucial to maintain your health during winter.

[SUB_EXPRESSION_1]

It is essential to focus on () at all times.

[SUB_EXPRESSION_2]

It is significant to understand the importance of ().","[DESCRIPTION]

의문문 구조를 활용하여 상대의 관심사에 대해 묻기

[KEY_EXPRESSION]

What hobbies do you enjoy the most?

[SUB_EXPRESSION_1]

What are you keen on ()?

[SUB_EXPRESSION_2]

What do you find interesting about ()?",
영어,능률(김),2015,6,Beyond the Limits,N/A,"• 알고 있는지 묻기  
Have you heard about the big competition that’s coming up?  

• 놀람 표현하기  
I’m surprised that he is able to memorize so many lines then.  ","• so+형용사/부사+that+주어+동사
With his assistance, she also studied higher mathematics and engineering so hard that she became an expert in them without ever going to college.  

• 부정어로 인한 도치
Not only did they prove their doubters wrong, but they also achieved an accomplishment that inspired us to do the impossible.  ","[DESCRIPTION]

완화된 의문문 구조를 활용해 정보 존재 여부 묻기

[KEY_EXPRESSION]

Did you get any updates about the exciting event happening soon?

[SUB_EXPRESSION_1]

Have you come across the news about ()?

[SUB_EXPRESSION_2]

Are you aware of the details regarding ()?","[DESCRIPTION]

다양한 표현으로 놀람 표현하기

[KEY_EXPRESSION]

I'm astonished by her ability to solve such complex problems so quickly.

[SUB_EXPRESSION_1]

Isn't it impressive how ()?

[SUB_EXPRESSION_2]

I'm amazed at the way ()!",
영어,능률(김),2015,7,Finding Out the Wonders,N/A,"• 설명 요청하기  
What do you mean by that?  

• 의견 묻기  
What do you think of it?  ","• One of the+최상급+복수명사
One of hanji’s newest uses is a treat for the ears.  

• 동격절을 이끄는 접속사 that
In addition, the fact that the sound will not change over time because of the strength of hanji makes these speakers a great purchase.  ","[DESCRIPTION]

의문문을 활용해 설명 요청하기

[KEY_EXPRESSION]

Could you clarify what you mean by saying this?

[SUB_EXPRESSION_1]

Can you explain () to me?

[SUB_EXPRESSION_2]

Would you elaborate on ()?","[DESCRIPTION]

의견을 묻기 위해 의문사를 사용하여 표현하기.

[KEY_EXPRESSION]

What is your opinion about this event?

[SUB_EXPRESSION_1]

How do you feel about ()?

[SUB_EXPRESSION_2]

What are your thoughts on ()?",
영어,능률(김),2015,8,It’s Up to You!,N/A,"• 생각할 시간 요청하기  
Let me think.  

• 확실성 정도 표현하기  
I’m not sure about that.  ","• the+비교급 ..., the+비교급 ~
The harder teens work at building good habits, the stronger those connections in their brains will be.  

• not A but B
Therefore, adolescence is not a stage to simply get through, but an important stage in people’s lives.  ","[DESCRIPTION]

요청 표현 'Let me ()'를 활용하여 요청에 대한 의견을 표현하기.

[KEY_EXPRESSION]

Let me take some time to consider.

[SUB_EXPRESSION_1]
Could you wait for a moment while I ()?

[SUB_EXPRESSION_2]

Allow me to () before deciding","[DESCRIPTION]

확실성이 적은 정도를 표현하기

[KEY_EXPRESSION]

I'm uncertain about this situation.

[SUB_EXPRESSION_1]

I am unlikely to be sure about ().

[SUB_EXPRESSION_2]

I don't feel totally confident regarding ().",
영어,능률(양),2015,1,Where Should I Begin?,N/A,"• 계획 또는 의도 표현하기  
I’m planning to join Book Lovers.  

• 제안하기  
Why don’t you join the Get Along Program?  ","• in case
I keep my paint brush in case I need it.  

• 주격 관계대명사+be동사 생략
Take advantage of any chances (that are) available to you.  ","[DESCRIPTION]

I'm planning to ()을 활용해 계획이나 의도를 표현하기.

[KEY_EXPRESSION]

I'm planning to take yoga classes.

[SUB_EXPRESSION_1]

I intend to () in the near future.

[SUB_EXPRESSION_2]

My plan involves () during my free time.","[DESCRIPTION]

why don’t you 를 활용해 제안하기

[KEY_EXPRESSION]

Why don’t you take part in the Language Exchange Program?

[SUB_EXPRESSION_1]

Why don’t you consider ()?

[SUB_EXPRESSION_2]

Why don’t you start ()?",
영어,능률(양),2015,2,"Be Smart, Be Healthy",N/A,"• 열거하기  
First ..., then ..., then ....  

• 강조하기  
It’s important to go to sleep at a fixed time every night.  ","• the same ... as
Now I want you to experience the same benefits as I did.  

• 조동사 should의 생
I suggest that you (should) replace sugary drinks such as soft drinks and juice with water.  ","[DESCRIPTION]

문장 순서를 나타내는 표현을 사용하여 열거 및 절차 설명하기

[KEY_EXPRESSION]

First, wash your hands, then dry them with a clean towel, and finally prepare the ingredients.

[SUB_EXPRESSION_1]

Begin with (), follow that with (), and complete it by ().

[SUB_EXPRESSION_2]

Start by (), then proceed with (), and end with ().","[DESCRIPTION]

It's () to ()를 활용하여 중요성 강조하기.

[KEY_EXPRESSION]

It's essential to maintain consistent sleep habits for health.

[SUB_EXPRESSION_1]

It's crucial to () to ensure ().

[SUB_EXPRESSION_2]

It's beneficial to () for maintaining ().",
