제목,출판사(저자),교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_Kor,SUB_EXPRESSION,SUB_EXPRESSION_Kor
영어,능률(김),2015,1,The Part You Play,전치사의 목적어로서의 동명사,I enjoy playing in team sports.,나는 팀 스포츠를 즐기는 것을 좋아해요.,She is excited about scoring goals in matches. He is nervous about competing in the tournament.,그녀는 경기에서 골을 넣는 것이 신나요. 그는 토너먼트에 참가하는 것이 떨려요.
영어,능률(김),2015,2,The Power of Creativity,명사를 수식하는 과거분사(구),The old bike fixed by my father is working smoothly.,아버지께서 고쳐주신 오래된 자전거가 부드럽게 작동해요.,The delicious cake baked by my teacher won first prize. The inspiring story written by the student touched many hearts.,선생님께서 구워주신 맛있는 케이크가 1등을 했어요. 학생이 쓴 감동적인 이야기가 많은 사람들의 마음을 감동시켰어요.
영어,능률(김),2015,3,Sound Life,사역동사+목적어+동사원형,They let me choose a beautiful song.,그들은 내가 아름다운 노래를 선택하게 해줬어요.,My teacher made me listen to a cheerful melody. My friend got me to try a refreshing coffee.,선생님은 내가 기분 좋은 멜로디를 듣게 했어요. 내 친구는 내가 상쾌한 커피를 마시게 했어요.
영어,능률(김),2015,4,Toward a Better World,관계부사,I am happy that the volunteers found a community where they can help their neighbors.,나는 자원봉사자들이 이웃을 도울 수 있는 공동체를 찾아서 기뻐요.,He is relieved that the children have a playground where they can play freely. We are thankful that our town has a park where families enjoy picnics.,그는 아이들이 자유롭게 놀 수 있는 놀이터가 생겨서 안심해요. 우리는 가족들이 피크닉을 즐길 수 있는 공원이 생겨서 감사해요.
영어,능률(김),2015,5,What Matters Most,분사구문,"Hearing a soft melody, I opened a window to let fresh air in.",부드러운 멜로디를 들으며 나는 창문을 열어 신선한 공기를 들여보냈어요.,"Smelling delicious food, the couple walked into the street restaurant. Noticing a stray dog, the student offered some water.",맛있는 냄새를 맡으며 그 커플은 길거리 음식점을 향해 걸어갔어요. 길 잃은 개를 발견하며 그 학생은 물을 건넸어요.
영어,능률(김),2015,6,Beyond the Limits,so+형용사/부사+that+주어+동사,She practiced so passionately that she became a confident speaker.,그녀는 너무 열정적으로 연습해서 자신감 있는 화자가 되었어요.,They trained so intensely that they broke the school record. I studied so carefully that I earned top scores.,그들은 너무 열심히 훈련해서 학교 기록을 깼어요. 저는 너무 신중하게 공부해서 최고 점수를 받았어요.
영어,능률(김),2015,7,Finding Out the Wonders,One of the+최상급+복수명사,One of the most exciting adventures is exploring the hidden trails.,가장 신나는 모험 중 하나는 숨겨진 길을 탐험하는 것이에요.,One of the best memories is seeing the sunrise from the hilltop. One of the brightest ideas is finding solutions together.,가장 멋진 추억 중 하나는 언덕 꼭대기에서 일출을 보는 것이에요. 가장 빛나는 아이디어 중 하나는 함께 해결책을 찾는 것이에요.
영어,능률(김),2015,8,It’s Up to You!,"the+비교급 ..., the+비교급 ~","The more I practice, the better my understanding becomes.","내가 연습하면 할수록, 내 이해가 더 좋아져요.","The faster you work, the sooner success arrives. The more effort you put in, the greater your skills grow.","네가 빨리 일하면, 더 빨리 성공이 찾아와요. 네가 더 노력하면, 너의 실력이 더 크게 향상돼요."
영어,능률(양),2015,1,Where Should I Begin?,in case,I carry an umbrella in case it rains soon.,곧 비가 올 경우에 대비해서 우산을 가지고 다녀요.,I bring extra water in case it gets hot. She packs snacks in case everyone is hungry.,더워질 경우를 대비해서 물을 추가로 가져가요. 모두가 배고플 경우를 대비해서 간식을 챙겨요.
영어,능률(양),2015,2,"Be Smart, Be Healthy",the same ... as,She wants you to enjoy the same adventure as she did.,그녀는 당신이 그녀가 경험한 것과 같은 모험을 즐기길 원해요.,He plans to achieve the same success as his mentor. They hope for the same results as last year.,그는 자신의 멘토와 같은 성공을 이루길 계획해요. 그들은 작년과 같은 결과를 기대해요.
영어,능률(양),2015,3,"Take Action, Make a Difference",to one's+감정 명사,I was happy to see my friends support me.,나는 내 친구들이 나를 지지하는 것을 보고 기뻤어요.,They are excited to start the new project. I am proud to help my community.,그들은 새로운 프로젝트를 시작하는 것에 대해 신나요. 나는 내 지역 사회를 돕는 것에 대해 자랑스러워요.
영어,능률(양),2015,4,"Some Like It Cold, Some Like It Hot",with+명사+분사,"With the coffee steaming, I started reading a novel.","커피가 김이 오르는 동안, 나는 소설을 읽기 시작했어요.","With the sun shining, the picnic seemed more inviting. With the leaves rustling, the garden felt peaceful.","해가 빛나는 동안, 소풍이 더 매력적으로 보였어요. 잎들이 바스락거리는 동안, 정원이 평화롭게 느껴졌어요."
영어,능률(양),2015,5,We Are What We Do,one of+최상급+복수명사,Reading books is one of the most interesting hobbies.,책 읽기는 가장 흥미로운 취미 중 하나예요.,Watching movies is one of the most enjoyable activities. Listening to music is one of the most relaxing pastimes.,영화 보는 것은 가장 즐거운 활동 중 하나예요. 음악 듣기는 가장 편안한 여가활동 중 하나예요.
영어,능률(양),2015,6,When Myths Meet Science,의문사 없는 의문문의 간접화법,The ancient tree wondered if it might bear ripe mangoes.,그 고목나무는 잘 익은 망고를 맺을 수 있을지 궁금해했어요.,The river asked if it should flow silently. The wind asked if it could sing softly.,그 강은 조용히 흐를 수 있을지 물어봤어요. 그 바람은 부드럽게 노래할 수 있을지 물어봤어요.
영어,능률(양),2015,7,Venice Diary,부정 조건의 접속사 unless,You cannot feel the charm unless you wander the narrow streets.,좁은 거리를 거닐지 않으면 매력을 느낄 수 없어요.,You won't appreciate the art unless you visit a quiet gallery. You cannot discover history unless you explore old neighborhoods.,조용한 갤러리를 방문하지 않으면 예술을 감상할 수 없어요. 오래된 동네를 탐험하지 않으면 역사를 발견할 수 없어요.
영어,능률(양),2015,8,The Solution Is in Nature,현재완료 수동형,The paintings have been admired for many years.,그 그림들은 오랫동안 감탄받아 왔어요.,The recipes have been passed down through generations. The inventions have been exhibited in famous galleries.,그 조리법들은 대대로 전해져 왔어요. 그 발명품들은 유명한 갤러리에서 전시되어 왔어요.
영어1,능률(김),2015,1,A Spark in You,과거완료 had v-ed,I had finished my art project before the competition started.,나는 대회가 시작되기 전에 내 미술 프로젝트를 끝냈어요.,She had written a heartfelt letter before the event began. They had practiced their dance routine well before the school show.,그녀는 행사가 시작되기 전에 진심이 담긴 편지를 썼어요. 그들은 학교 행사 전에 춤 연습을 열심히 했어요.
영어1,능률(김),2015,2,Embracing Our Differences,동사＋목적어＋목적격 보어(to부정사),The teacher encouraged us to express our unique ideas.,선생님이 우리에게 독특한 아이디어를 표현하도록 격려했어요.,The manager asked him to support his team. The parent urged their child to explore new talents.,매니저가 그에게 팀을 지원하도록 요청했어요. 부모님이 자녀에게 새로운 재능을 탐험하도록 촉구했어요.
영어1,능률(김),2015,3,We Are All Connected,시간의 접속사＋v-ing,"While exploring, I discovered a surprising detail.",탐험하면서 놀라운 사실을 발견했어요.,"Before traveling, I prepared my itinerary. During studying, we shared our discoveries.",여행하기 전에 여행 일정을 준비했어요. 공부하는 동안 서로의 발견을 나눴어요.
영어1,능률(김),2015,4,Build a Better World,명사 뒤에서 수식하는 과거분사구,I walked through a neighborhood rebuilt after the storm.,나는 폭풍 후에 재건된 동네를 걸었어요.,We toured a museum displaying local art. They enjoyed a festival organized by volunteers.,우리는 지역 예술을 전시하는 박물관을 둘러보았어요. 그들은 자원봉사자들이 조직한 축제를 즐겼어요.
영어1,능률(김),2015,5,"Look, Think, and Create!",과거분사로 시작하는 수동형 분사구문,"Excited by the news, the engineer designed a clever system.",소식에 흥분한 엔지니어가 똑똑한 시스템을 설계했어요.,"Surprised by the outcome, the artist painted a unique portrait. Inspired by nature, the writer composed a colorful poem.",결과에 놀란 화가는 독특한 초상화를 그렸어요. 자연에 영감을 받은 작가는 다채로운 시를 썼어요.
영어 2,능률(김),2015,1,Treasure in My Life,복합관계대명사,I cherish the photo that captures my happiest moment.,내가 가장 행복했던 순간을 담은 사진을 소중히 여겨요.,This box that holds my old letters reminds me of past times. The watch which I inherited tells a tale of my family history.,내 옛 편지를 담고 있는 이 상자는 과거를 떠올리게 해요. 내가 물려받은 그 시계는 우리 가족의 역사를 이야기해줘요.
