textbook ID,구분,학년 정보,개정 정보,출판사,과목명,교과서 확보,어휘 자료,function,structure,Issue
1001,고등,고1,2022,YBM,공통영어 1(김은형),,,,,
1002,고등,고1,2022,YBM,공통영어 2(김은형),,,,,
1003,고등,고1,2022,YBM,공통영어 1(박준언),,,,,
1004,고등,고1,2022,YBM,공통영어 2(박준언),,,,,
1005,고등,고1,2022,동아,공통영어 1(이병민),확보,,완료,완료,
1006,고등,고1,2022,동아,공통영어 2(이병민),,,,,자료 미업로드
1007,고등,고1,2015,YBM,영어(박준언),,,,,
1008,고등,고1,2015,YBM,영어(한상호),,,,,
1009,고등,고1,2015,능률,영어 (김성곤),확보,완료,완료,완료,
1010,고등,고1,2015,능률,영어 (양현권),확보,완료,완료,완료,
1011,고등,고1,2015,천재,영어 (이재영),,,,,
1012,고등,고1,2015,천재,영어 (김태영),,,,,
1013,고등,고1,2015,비상,영어(홍민표),,,,,
1014,고등,고1,2015,동아,영어 (이병민),확보,,완료,완료,
1101,고등,고2,2022,YBM,영어 1(박준언),,,,,
1102,고등,고2,2022,YBM,영어 2(박준언),,,,,
1103,고등,고2,2022,동아,영어 1(박용예),확보,,완료,완료,
1104,고등,고2,2022,동아,영어 2(박용예),,,,,자료 미업로드
1105,고등,고2,2015,YBM,영어 1(박준언),,,,,
1106,고등,고2,2015,YBM,영어 1(한상호),,,,,
1107,고등,고2,2015,YBM,영어 2(박준언),,,,,
1108,고등,고2,2015,YBM,영어 2(한상호),,,,,
1109,고등,고2,2015,능률,영어 1(김성곤),확보,완료,완료,완료,
1110,고등,고2,2015,능률,영어 2 (김성곤),확보,완료,완료,완료,
1111,고등,고2,2015,천재,영어 1(이재영),,,,,
1112,고등,고2,2015,천재,영어 2(이재영),,,,,
1113,고등,고2,2015,비상,영어 1(홍민표),,,,,
1114,고등,고2,2015,비상,영어 2(홍민표),,,,,
1115,고등,고2,2015,동아,영어 1(권혁승),확보,,완료,완료,
1116,고등,고2,2015,동아,영어 2(권혁승),확보,,완료,완료,
,고등,,2022,YBM,영어 독해와 작문(김은형),,,,,
,고등,,2022,YBM,심화 영어(김명희),,,,,
,고등,,2022,YBM,실생활 영어 회화(김현정),,,,,
,고등,,2022,YBM,세계 문화와 영어(김수연),,,,,
,고등,,2015,능률,영어 독해와 작문 (양현권 저),,,,,
,고등,,2015,능률,영어회화 (양현권 저),,,,,
,고등,,2015,능률,실용영어 (김성곤 저),,,,,
,고등,,2015,능률,영어권문화 (김정렬 저),,,,,
,고등,,2015,능률,진로영어 (김정렬 저),,,,,
,고등,,2015,능률,심화영어I (허명혜 저),,,,,
,고등,,2015,능률,심화영어II (허명혜 저),,,,,
,고등,,2015,능률,심화영어회화I (허명혜 저),,,,,
,고등,,2015,능률,심화영어회화II (허명혜 저),,,,,
,고등,,2015,능률,심화영어독해I (허명혜 저),,,,,
,고등,,2015,능률,심화영어독해II (허명혜 저),,,,,
,고등,,2015,능률,심화영어작문I (허명혜 저),,,,,
,고등,,2015,능률,심화영어작문II (허명혜 저),,,,,
,고등,,2015,능률,기본영어 (오선영 저),,,,,
,고등,,2015,천재,기본영어(강상구),,,,,
,고등,,2015,천재,영어 독해와 작문 (안병규),,,,,
,고등,,2015,천재,"영어 회화 (안병규)",,,,,
,고등,,2015,천재,심화 영어 회화Ⅰ (이재영),,,,,
,고등,,2015,천재,"실용 영어 (안병규)",,,,,
,고등,,2015,천재,"심화 영어Ⅰ (이재영)",,,,,
,고등,,2015,천재,심화 영어 독해Ⅰ (안병규),,,,,
,고등,,2015,비상,영어 독해와 작문(김진완),,,,,
,고등,,2015,비상,영어 회화(홍민표),,,,,
,고등,,2015,동아,영어 독해와 작문 (권혁승),,,,,
