textbook ID,학년,출판사(저자),교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_Kor,SUB_EXPRESSION,SUB_EXPRESSION_Kor
801,중2,능률(김),2015,1,Express Yourself,주어 역할을 하는 동명사,Reading comics is fun after school.,만화를 읽는 것이 방과 후 즐거워요.,Walking in the park relaxes me. Cooking new recipes is exciting.,공원에서 걷는 것이 나를 편안하게 해요. 새로운 요리를 만드는 것이 신나요.
801,중2,능률(김),2015,2,"Eat Right, Be Happy",주격 관계대명사,What do teachers who work in our school serve for breakfast?,우리 학교에서 일하는 선생님들은 아침으로 무엇을 제공해요?,My friend who studies hard always submits assignments on time. My neighbor who loves music listens to a song every evening.,열심히 공부하는 내 친구는 항상 숙제를 제시간에 내요. 음악을 좋아하는 내 이웃은 매일 저녁에 노래를 들어요.
801,중2,능률(김),2015,3,Understand the World,현재완료,I have believed that nature holds many secrets.,나는 자연이 많은 비밀을 담고 있다고 믿어왔어요.,They have learned a lot from different cultures. I have traveled to many unique places.,그들은 다양한 문화에서 많은 것을 배워왔어요. 나는 많은 독특한 장소들을 여행해왔어요.
801,중2,능률(김),2015,4,Go Green Together,수동태,The used papers are collected by volunteers for recycling.,사용한 종이들이 재활용을 위해 자원봉사자들에게 수집돼요.,The expired food is given to the local farm by the supermarket. The old clothes are donated by neighbors to charity organizations.,유통기한이 지난 음식이 슈퍼마켓에 의해 지역 농장에 전달돼요. 오래된 옷들이 이웃들에 의해 자선 단체로 기부돼요.
801,중2,능률(김),2015,5,Give a Helping Hand,목적격 관계대명사,The gift that he gave to a friend changed someone's day.,그가 친구에게 준 선물이 누군가의 하루를 바꿨어요.,The meal that we shared warmed our hearts. The card that you sent brightened her mood.,우리가 함께 나눈 식사가 우리 마음을 따뜻하게 해줬어요. 당신이 보낸 카드가 그녀의 기분을 밝게 해줬어요.
801,중2,능률(김),2015,6,The Best Trip of Your Life,가주어 it It was nice to relax in a café and read them.,It was enjoyable to explore a bookshop and sip some coffee.,서점에서 책을 보고 커피를 마시는 것이 즐거웠어요.,It was wonderful to wander along the seaside and listen to the waves. It was relaxing to visit a museum and enjoy the art displays.,바닷가를 따라 거닐며 파도 소리를 듣는 것이 멋졌어요. 박물관을 방문하며 전시된 예술 작품을 감상하는 것이 편안했어요.
801,중2,능률(김),2015,7,On My Way to the Future,to부정사를 목적격 보어로 가지는 동사,Soo wants his friends to explore innovative ideas.,수는 친구들이 창의적인 아이디어를 탐구하길 원해요.,John urges his peers to embrace digital learning. Anna hopes her family to enjoy modern conveniences.,존은 친구들이 디지털 학습을 받아들이길 촉구해요. 애나는 가족이 현대적인 편리함을 즐기길 바라요.
802,중2,능률(양),2015,1,What Is Your Color?,which로 시작하는 의문문,Which movie do you watch on weekends?,어떤 영화를 주말에 봐요?,Which snack did you pick at the party? Which game do you play with your friends?,파티에서 어떤 간식을 골랐어요? 친구들과 어떤 게임을 해요?
802,중2,능률(양),2015,2,"Old Things, New Art",수동태,It was restored by local artisans.,지역 장인들에 의해 복원되었어요.,The sculpture was preserved by dedicated workers. The antique vase was admired by art lovers.,그 조각상은 헌신적인 일꾼들에 의해 보존되었어요. 그 앤티크 꽃병은 예술을 사랑하는 사람들에게 감탄 받았어요.
802,중2,능률(양),2015,3,"Go, Team!",형식 주어 It,It really matters to support your teammates.,동료들을 응원하는 것이 정말 중요해요.,It is crucial to help each other on the field. It remains essential to work together.,현장에서 서로 돕는 것이 매우 중요해요. 함께 협력하는 것이 계속해서 필수적이에요.
802,중2,능률(양),2015,4,Natural Weather Forecasters,과거부터 현재를 포함하는 현재완료,Have you watched the sky change before?,하늘이 변하는 걸 전에 본 적 있어요?,I have checked the forecast already. She has noticed the gentle wind today.,나는 벌써 일기예보를 확인했어요. 그녀는 오늘 부드러운 바람을 느꼈어요.
802,중2,능률(양),2015,5,How Healthy Are Your Habits?,관계대명사,I am a person who enjoys eating fruits.,나는 과일 먹는 것을 좋아하는 사람이에요.,She is someone who prefers jogging daily. They are people who choose healthy snacks.,그녀는 매일 조깅하는 것을 선호하는 사람이에요. 그들은 건강한 간식을 선택하는 사람이에요.
802,중2,능률(양),2015,6,Jobs Then and Now,간접의문문,Do you know how my uncle earned a living?,내 삼촌이 어떻게 생계를 유지했는지 알아요.,Can you tell what his neighbor did for work? Could you explain where your cousin worked?,그의 이웃이 어떤 일을 했는지 말해줄 수 있어요. 네 사촌이 어디에서 일했는지 설명해줄 수 있어요.
802,중2,능률(양),2015,7,Korean Wave Around the World,to부정사의 형용사적 용법,He found an article to read in the library.,그는 도서관에서 읽을 기사를 찾았어요.,They bought a ticket to see the concert. I have a plan to travel next summer.,그들은 콘서트를 보기 위해 티켓을 샀어요. 나는 내년에 여행할 계획이 있어요.
