,"*중고등1200 교육부 지정 영단어의 영어 데이터 > 워드P에서 해당 단어의 모든 다의어 리스트업
*중등 교과서 영단어의 영어 데이터 > 워드P에서 해당 단어의 모든 다의어 리스트업",,,,,,,,,,,,,,,
구분,voca NO,grade ID,grade NO,WordText,WordMeaning,PoS,품사,image ID,WordID(SoundID),WordSymbol,example_english,example_korean,중고등1200 포함여부,,워드P 매핑용,워드P 매핑용 쿼리
중고등1200,1,,,accent,강세,2,명사,5094,14274,[ǽksent],Studying many foreign languages often enhances pronunciation especially when meticulously mastering each word's proper accent.,많은 외국어를 공부하면 발음이 향상되는데 특히 각 단어의 올바른 강세를 꼼꼼히 익히는 것이 중요해요.,TRUE,,,
중고등1200,2,,,accent,억양,2,명사,5133,20699,[ǽksent],Her charming accent made her speech both captivating and easy to understand in every conversation.,그녀의 매력적인 억양은 모든 대화에서 그녀의 말을 매료되고 쉽게 이해할 수 있게 했어요.,TRUE,,,
중고등1200,3,중2,7,advertise,광고하다,1,동사,420,671,[ǽdvərtàiz],We need to advertise our new product effectively through various media channels for maximum reach.,우리는 최대한의 도달 효과를 위해 다양한 미디어 채널을 통해 새로운 제품을 광고해야 해요.,FALSE,,,
중고등1200,4,#N/A,#N/A,advertize,광고하다,1,동사,418,17024,[ǽdvərtàiz],The company decided to advertize its innovative products on new digital platforms to attract customers.,회사는 새로운 디지털 플랫폼에서 혁신적인 제품을 광고하여 고객을 유치하려고 했어요.,TRUE,,,
중고등1200,5,,,airline,항공사,2,명사,10922,6702,[έərlàin],"The innovative airline successfully launched new routes internationally, offering affordable airfare and exceptional customer service.",혁신적인 항공사가 국제적으로 새로운 노선을 성공적으로 개설하여 저렴한 항공료와 뛰어난 고객 서비스를 제공했어요.,TRUE,,,
중고등1200,6,,,alarm,"놀람,경보",2,명사,777,1244,[əlá:rm],"The loud alarm unexpectedly rang in the building, causing panic and utter confusion among employees.",큰 경보음이 갑자기 건물 안에서 울리며 직원들 사이에 공포와 완전한 혼란을 일으켰어요.,TRUE,,,
중고등1200,7,,,alarm,"알람,자명종",2,명사,5760,25541,[əlá:rm],I set my alarm clock every night to ensure I wake up early for work.,저는 매일 밤 자명종을 맞춰 아침 일찍 일어나도록 해요.,TRUE,,,
중고등1200,8,,,alcohol,알코올,2,명사,2200,3624,[ǽlkəhɔ̀:l],"During the long, busy evening, he decided to enjoy a small glass of fine alcohol.","긴, 바쁜 저녁 시간 동안 그는 좋은 알코올 한 잔을 즐기기로 결정했어요.",TRUE,,,
중고등1200,9,,,aloud,소리 내어,4,부사,1895,3149,[əláud],"She dramatically read the beautiful poem aloud, captivating every listener with her clear, powerful voice.","그녀는 아름다운 시를 소리 내어 극적으로 읽었고, 모든 청중을 그녀의 또렷하고 강렬한 목소리로 매료시켰어요.",TRUE,,,
중고등1200,10,,,amaze,놀라게 하다,1,동사,7950,1238,[əméiz],The magician's incredible tricks never cease to amaze the attentive audience during every live performance.,마술사의 놀라운 묘기들은 모든 라이브 공연 중 항상 관객들을 놀라게 해요.,TRUE,,,
중고등1200,11,,,amuse,즐겁게 하다,1,동사,3255,5396,[əmjú:z],The clown's hilarious performance truly tried to amuse the entire audience during the exciting circus show.,광대의 유쾌한 공연이 흥미로운 서커스 쇼에서 모든 관중들을 즐겁게 했어요.,TRUE,,,
중고등1200,12,,,analysis,분석,2,명사,1570,2588,[ənǽləsis],"After careful analysis of the statistical data, the team discovered unexpected relationships in various fields.","통계 자료에 대한 신중한 분석 후, 팀은 여러 분야에서 예상치 못한 관계를 발견했어요.",TRUE,,,
중고등1200,13,,,annoy,화나게 하다,1,동사,8501,6467,[ənɔ́i],The loud ticking clock consistently began to annoy my friend during our quiet study session.,그 시계 소리가 우리 조용한 공부 시간에 계속해서 친구를 화나게 했어요.,TRUE,,,
중고등1200,14,,,ant,개미,2,명사,10111,13707,[ǽnt],"The ant worked persistently despite its extremely small size, carrying food on a long journey.",이 개미는 매우 작지만 끈기 있게 음식을 운반하며 긴 여정을 걸었어요.,TRUE,,,
중고등1200,15,,,applicant,신청자,2,명사,2099,3447,[ǽplikənt],The highly qualified applicant eagerly submitted her resume for the competitive job opportunity last week.,높은 자격을 갖춘 신청자는 지난 주에 경쟁적인 채용 기회를 위해 이력서를 열심히 제출했어요.,TRUE,,,
중고등1200,16,,,bacon,베이컨,2,명사,15853,25377,[béikən],"I truly enjoy cooking bacon in the morning for a delicious, savory breakfast treat daily.",저는 매일 아침 맛있고 고소한 베이컨 요리를 조리하여 하루를 기분 좋게 시작해요.,TRUE,,,
중고등1200,17,,,bay,만,2,명사,1114,1769,[béi],"The beautiful bay reliably offered calm waters, magnificent views, and opportunities for a relaxing vacation.","아름다운 만은 잔잔한 물결과 멋진 풍경, 그리고 편안한 휴식을 위한 기회를 제공했어요.",TRUE,,,
중고등1200,18,,,bay,구역,2,명사,10729,19836,[béi],The bay behind the old town is a quiet area offering scenic views every day.,오래된 마을 뒤에 위치한 만은 매일 아름다운 경관을 제공하는 조용한 구역이었어요.,TRUE,,,
중고등1200,19,,,beer,맥주,2,명사,1150,1854,[bíər],"After a long day of work, I enjoyed a refreshing beer at the local bar.","긴 하루를 보낸 후, 나는 동네 바에서 시원한 맥주를 즐겼어요.",TRUE,,,
중고등1200,20,,,belief,믿음,2,명사,7982,6498,[bilí:f],Her unwavering belief in justice and compassion always gave everyone hope for a better future.,그녀의 변함없는 정의와 자비에 대한 믿음은 언제나 모두에게 더 나은 미래에 대한 희망을 주었어요.,TRUE,,,
