학년,출판사(저자),교육과정,레슨,단어,뜻,예문,예문 해석,영영풀이
초3,YBM(김),2022,1,be,,,,
초3,YBM(김),2022,1,everyone,,,,
초3,YBM(김),2022,1,goodbye,,,,
초3,YBM(김),2022,1,hello,,,,
초3,YBM(김),2022,1,I,,,,
초3,YBM(김),2022,1,meet,,,,
초3,YBM(김),2022,1,name,,,,
초3,YBM(김),2022,1,nice,,,,
초3,YBM(김),2022,1,to,,,,
초3,YBM(김),2022,1,too,,,,
초3,YBM(김),2022,1,what,,,,
초3,YBM(김),2022,1,you,,,,
초3,YBM(김),2022,2,close,,,,
초3,YBM(김),2022,2,door,,,,
초3,YBM(김),2022,2,down,,,,
초3,YBM(김),2022,2,great,,,,
초3,YBM(김),2022,2,no,,,,
초3,YBM(김),2022,2,okay,,,,
초3,YBM(김),2022,2,open,,,,
초3,YBM(김),2022,2,please,,,,
초3,YBM(김),2022,2,sit,,,,
초3,YBM(김),2022,2,stand,,,,
초3,YBM(김),2022,2,thank,,,,
초3,YBM(김),2022,2,the,,,,
초3,YBM(김),2022,2,up,,,,
초3,YBM(김),2022,2,welcome,,,,
초3,YBM(김),2022,2,window,,,,
초3,YBM(김),2022,3,a,,,,
초3,YBM(김),2022,3,bag,,,,
초3,YBM(김),2022,3,ball,,,,
초3,YBM(김),2022,3,book,,,,
초3,YBM(김),2022,3,clock,,,,
초3,YBM(김),2022,3,doll,,,,
초3,YBM(김),2022,3,hat,,,,
초3,YBM(김),2022,3,help,,,,
초3,YBM(김),2022,3,it,,,,
초3,YBM(김),2022,3,look,,,,
초3,YBM(김),2022,3,pencil,,,,
초3,YBM(김),2022,3,that,,,,
초3,YBM(김),2022,3,this,,,,
초3,YBM(김),2022,3,violin,,,,
초3,YBM(김),2022,4,apple,,,,
초3,YBM(김),2022,4,candy,,,,
초3,YBM(김),2022,4,chicken,,,,
초3,YBM(김),2022,4,cookie,,,,
초3,YBM(김),2022,4,cream,,,,
초3,YBM(김),2022,4,do,,,,
초3,YBM(김),2022,4,good,,,,
초3,YBM(김),2022,4,ice,,,,
초3,YBM(김),2022,4,kiwi,,,,
초3,YBM(김),2022,4,like,,,,
초3,YBM(김),2022,4,milk,,,,
초3,YBM(김),2022,4,not,,,,
초3,YBM(김),2022,4,pizza,,,,
초3,YBM(김),2022,4,salad,,,,
