구분,voca NO,grade ID,grade NO,WordText,WordMeaning,PoS,품사,image ID,WordID(SoundID),WordSymbol,example_english,example_korean,초등800 포함여부,,워드P 매핑용,워드P 매핑용 쿼리,,사운드파일명,사운드배치,이미지파일명,이미지배치
초등800,10000,초3,1,a,하나의,10,관사,10743,6216,[ə],,,#REF!,,a,WordText='a' OR ,,006216,XCOPY /F/Y .\006216.mp3 .\cutMp3\,010743,XCOPY /F/Y .\010743.png .\cutPng\
초등800,10001,초3,1,about,~에 대하여,6,전치사,9612,3825,[əbáut],,,#REF!,,above,WordText='above' OR ,,003825,XCOPY /F/Y .\003825.mp3 .\cutMp3\,009612,XCOPY /F/Y .\009612.png .\cutPng\
초등800,10002,초3,1,about,대략,2,명사,884,16729,[əbáut],,,#REF!,,across,WordText='across' OR ,,016729,XCOPY /F/Y .\016729.mp3 .\cutMp3\,000884,XCOPY /F/Y .\000884.png .\cutPng\
초등800,10003,초등,5,above,위에,6,전치사,2574,4278,[əbʌ́v],,,#REF!,,act,WordText='act' OR ,,004278,XCOPY /F/Y .\004278.mp3 .\cutMp3\,002574,XCOPY /F/Y .\002574.png .\cutPng\
초등800,10004,초6,4,across,맞은편에,6,전치사,5589,16730,[əkrɔ́:s; əkrás],,,#REF!,,actual,WordText='actual' OR ,,016730,XCOPY /F/Y .\016730.mp3 .\cutMp3\,005589,XCOPY /F/Y .\005589.png .\cutPng\
초등800,10005,초등,5,act,연기하다,1,동사,4586,16731,[ǽkt],,,#REF!,,interact,WordText='interact' OR ,,016731,XCOPY /F/Y .\016731.mp3 .\cutMp3\,004586,XCOPY /F/Y .\004586.png .\cutPng\
초등800,10006,초등,5,act,~인 체하다,1,동사,8340,17023,[ǽkt],,,#REF!,,add,WordText='add' OR ,,017023,XCOPY /F/Y .\017023.mp3 .\cutMp3\,008340,XCOPY /F/Y .\008340.png .\cutPng\
초등800,10007,초등,5,act,"법령,조례",2,명사,1442,19104,[ǽkt],,,#REF!,,address,WordText='address' OR ,,019104,XCOPY /F/Y .\019104.mp3 .\cutMp3\,001442,XCOPY /F/Y .\001442.png .\cutPng\
초등800,10008,초등,5,act,(연극 등의) 막,2,명사,13286,20267,[ǽkt],,,#REF!,,adult,WordText='adult' OR ,,020267,XCOPY /F/Y .\020267.mp3 .\cutMp3\,013286,XCOPY /F/Y .\013286.png .\cutPng\
초등800,10009,초등,5,act,"결정하다,판결을 내리다",1,동사,11051,21735,[ǽkt],,,#REF!,,afraid,WordText='afraid' OR ,,021735,XCOPY /F/Y .\021735.mp3 .\cutMp3\,011051,XCOPY /F/Y .\011051.png .\cutPng\
