,textbook ID,학년,출판사(저자),교육과정,레슨,단어,뜻,예문,예문 해석,영영풀이
0,310,초3,YBM(김),2022,1,be,,,,
1,310,초3,YBM(김),2022,1,everyone,,,,
2,310,초3,YBM(김),2022,1,goodbye,,,,
3,310,초3,YBM(김),2022,1,hello,,,,
4,310,초3,YBM(김),2022,1,I,,,,
5,310,초3,YBM(김),2022,1,meet,,,,
6,310,초3,YBM(김),2022,1,name,,,,
7,310,초3,YBM(김),2022,1,nice,,,,
8,310,초3,YBM(김),2022,1,to,,,,
9,310,초3,YBM(김),2022,1,too,,,,
10,310,초3,YBM(김),2022,1,what,,,,
11,310,초3,YBM(김),2022,1,you,,,,
12,310,초3,YBM(김),2022,2,close,,,,
13,310,초3,YBM(김),2022,2,door,,,,
14,310,초3,YBM(김),2022,2,down,,,,
15,310,초3,YBM(김),2022,2,great,,,,
16,310,초3,YBM(김),2022,2,no,,,,
17,310,초3,YBM(김),2022,2,okay,,,,
18,310,초3,YBM(김),2022,2,open,,,,
19,310,초3,YBM(김),2022,2,please,,,,
20,310,초3,YBM(김),2022,2,sit,,,,
21,310,초3,YBM(김),2022,2,stand,,,,
22,310,초3,YBM(김),2022,2,thank,,,,
23,310,초3,YBM(김),2022,2,the,,,,
24,310,초3,YBM(김),2022,2,up,,,,
25,310,초3,YBM(김),2022,2,welcome,,,,
26,310,초3,YBM(김),2022,2,window,,,,
27,310,초3,YBM(김),2022,3,a,,,,
28,310,초3,YBM(김),2022,3,bag,,,,
29,310,초3,YBM(김),2022,3,ball,,,,
30,310,초3,YBM(김),2022,3,book,,,,
31,310,초3,YBM(김),2022,3,clock,,,,
32,310,초3,YBM(김),2022,3,doll,,,,
33,310,초3,YBM(김),2022,3,hat,,,,
34,310,초3,YBM(김),2022,3,help,,,,
35,310,초3,YBM(김),2022,3,it,,,,
36,310,초3,YBM(김),2022,3,look,,,,
37,310,초3,YBM(김),2022,3,pencil,,,,
38,310,초3,YBM(김),2022,3,that,,,,
39,310,초3,YBM(김),2022,3,this,,,,
40,310,초3,YBM(김),2022,3,violin,,,,
41,310,초3,YBM(김),2022,4,apple,,,,
42,310,초3,YBM(김),2022,4,candy,,,,
43,310,초3,YBM(김),2022,4,chicken,,,,
44,310,초3,YBM(김),2022,4,cookie,,,,
45,310,초3,YBM(김),2022,4,cream,,,,
46,310,초3,YBM(김),2022,4,do,,,,
47,310,초3,YBM(김),2022,4,good,,,,
48,310,초3,YBM(김),2022,4,ice,,,,
49,310,초3,YBM(김),2022,4,kiwi,,,,
50,310,초3,YBM(김),2022,4,like,,,,
51,310,초3,YBM(김),2022,4,milk,,,,
52,310,초3,YBM(김),2022,4,not,,,,
53,310,초3,YBM(김),2022,4,pizza,,,,
54,310,초3,YBM(김),2022,4,salad,,,,
55,310,초3,YBM(김),2022,4,vegetable,,,,
56,310,초3,YBM(김),2022,4,yes,,,,
57,310,초3,YBM(김),2022,5,big,,,,
58,310,초3,YBM(김),2022,5,cat,,,,
59,310,초3,YBM(김),2022,5,dog,,,,
60,310,초3,YBM(김),2022,5,how,,,,
61,310,초3,YBM(김),2022,5,kangaroo,,,,
62,310,초3,YBM(김),2022,5,many,,,,
63,310,초3,YBM(김),2022,5,one,,,,
64,310,초3,YBM(김),2022,5,pig,,,,
65,310,초3,YBM(김),2022,5,small,,,,
66,310,초3,YBM(김),2022,5,tiger,,,,
67,310,초3,YBM(김),2022,5,zebra,,,,
68,310,초3,YBM(김),2022,5,zoo,,,,
69,310,초3,YBM(김),2022,5,two,,,,
70,310,초3,YBM(김),2022,5,three,,,,
71,310,초3,YBM(김),2022,5,four,,,,
72,310,초3,YBM(김),2022,5,five,,,,
73,310,초3,YBM(김),2022,6,bird,,,,
74,310,초3,YBM(김),2022,6,can,,,,
75,310,초3,YBM(김),2022,6,come,,,,
76,310,초3,YBM(김),2022,6,dance,,,,
77,310,초3,YBM(김),2022,6,fly,,,,
78,310,초3,YBM(김),2022,6,foot,,,,
79,310,초3,YBM(김),2022,6,fun,,,,
80,310,초3,YBM(김),2022,6,here,,,,
81,310,초3,YBM(김),2022,6,jump,,,,
82,310,초3,YBM(김),2022,6,run,,,,
83,310,초3,YBM(김),2022,6,skate,,,,
84,310,초3,YBM(김),2022,6,swim,,,,
85,310,초3,YBM(김),2022,6,walk,,,,
86,310,초3,YBM(김),2022,7,and,,,,
87,310,초3,YBM(김),2022,7,at,,,,
88,310,초3,YBM(김),2022,7,blue,,,,
89,310,초3,YBM(김),2022,7,car,,,,
90,310,초3,YBM(김),2022,7,color,,,,
91,310,초3,YBM(김),2022,7,flower,,,,
92,310,초3,YBM(김),2022,7,green,,,,
93,310,초3,YBM(김),2022,7,know,,,,
94,310,초3,YBM(김),2022,7,now,,,,
95,310,초3,YBM(김),2022,7,orange,,,,
96,310,초3,YBM(김),2022,7,pink,,,,
97,310,초3,YBM(김),2022,7,pretty,,,,
98,310,초3,YBM(김),2022,7,red,,,,
99,310,초3,YBM(김),2022,7,right,,,,
100,310,초3,YBM(김),2022,7,yellow,,,,
101,310,초3,YBM(김),2022,8,any,,,,
102,310,초3,YBM(김),2022,8,crayon,,,,
103,310,초3,YBM(김),2022,8,doughnut,,,,
104,310,초3,YBM(김),2022,8,eraser,,,,
105,310,초3,YBM(김),2022,8,glue,,,,
106,310,초3,YBM(김),2022,8,have,,,,
107,310,초3,YBM(김),2022,8,long,,,,
108,310,초3,YBM(김),2022,8,love,,,,
109,310,초3,YBM(김),2022,8,notebook,,,,
110,310,초3,YBM(김),2022,8,pen,,,,
111,310,초3,YBM(김),2022,8,ruler,,,,
112,310,초3,YBM(김),2022,8,scissors,,,,
113,310,초3,YBM(김),2022,8,stick,,,,
114,310,초3,YBM(김),2022,9,birthday,,,,
115,310,초3,YBM(김),2022,9,eat,,,,
116,310,초3,YBM(김),2022,9,happy,,,,
117,310,초3,YBM(김),2022,9,in,,,,
118,310,초3,YBM(김),2022,9,menu,,,,
119,310,초3,YBM(김),2022,9,old,,,,
120,310,초3,YBM(김),2022,9,play,,,,
121,310,초3,YBM(김),2022,9,year,,,,
122,310,초3,YBM(김),2022,9,six,,,,
123,310,초3,YBM(김),2022,9,seven,,,,
124,310,초3,YBM(김),2022,9,eight,,,,
125,310,초3,YBM(김),2022,9,nine,,,,
126,310,초3,YBM(김),2022,9,ten,,,,
127,310,초3,YBM(김),2022,10,beautiful,,,,
128,310,초3,YBM(김),2022,10,brother,,,,
129,310,초3,YBM(김),2022,10,dad,,,,
130,310,초3,YBM(김),2022,10,grandfather,,,,
131,310,초3,YBM(김),2022,10,grandmother,,,,
132,310,초3,YBM(김),2022,10,he,,,,
133,310,초3,YBM(김),2022,10,mom,,,,
134,310,초3,YBM(김),2022,10,she,,,,
135,310,초3,YBM(김),2022,10,show,,,,
136,310,초3,YBM(김),2022,10,sister,,,,
137,310,초3,YBM(김),2022,10,tall,,,,
138,310,초3,YBM(김),2022,10,well,,,,
139,310,초3,YBM(김),2022,10,who,,,,
140,310,초3,YBM(김),2022,11,cloudy,,,,
141,310,초3,YBM(김),2022,11,cold,,,,
142,310,초3,YBM(김),2022,11,go,,,,
143,310,초3,YBM(김),2022,11,hot,,,,
144,310,초3,YBM(김),2022,11,let,,,,
145,310,초3,YBM(김),2022,11,outside,,,,
146,310,초3,YBM(김),2022,11,raining,,,,
147,310,초3,YBM(김),2022,11,see,,,,
148,310,초3,YBM(김),2022,11,snowing,,,,
149,310,초3,YBM(김),2022,11,sunny,,,,
150,310,초3,YBM(김),2022,11,we,,,,
151,310,초3,YBM(김),2022,11,weather,,,,
152,310,초3,YBM(김),2022,11,windy,,,,
153,311,초3,YBM(최),2022,1,hello,안녕 (만나서 하는 인사),,,
154,311,초3,YBM(최),2022,1,name,이름,,,
155,311,초3,YBM(최),2022,1,thank,감사하다,,,
156,311,초3,YBM(최),2022,1,goodbye,잘 가 (헤어질 때 인사),,,
157,311,초3,YBM(최),2022,2,bag,가방,,,
158,311,초3,YBM(최),2022,2,ball,공,,,
159,311,초3,YBM(최),2022,2,chair,의자,,,
160,311,초3,YBM(최),2022,2,car,자동차,,,
161,311,초3,YBM(최),2022,2,doll,인형,,,
162,311,초3,YBM(최),2022,2,big,큰,,,
163,311,초3,YBM(최),2022,2,small,작은,,,
164,311,초3,YBM(최),2022,2,cup,컵,,,
165,311,초3,YBM(최),2022,2,clock,시계,,,
166,311,초3,YBM(최),2022,3,open,열다,,,
167,311,초3,YBM(최),2022,3,run,달리다,,,
168,311,초3,YBM(최),2022,3,sit,앉다,,,
169,311,초3,YBM(최),2022,3,look,보다,,,
170,311,초3,YBM(최),2022,3,stand,일어서다,,,
171,311,초3,YBM(최),2022,3,close,닫다,,,
172,311,초3,YBM(최),2022,3,come,오다,,,
173,311,초3,YBM(최),2022,4,one,"하나, 일 (1)",,,
174,311,초3,YBM(최),2022,4,two,"둘, 이 (2)",,,
175,311,초3,YBM(최),2022,4,three,"셋, 삼 (3)",,,
176,311,초3,YBM(최),2022,4,four,"넷, 사 (4)",,,
177,311,초3,YBM(최),2022,4,five,"다섯, 오 (5)",,,
178,311,초3,YBM(최),2022,4,pig,돼지,,,
179,311,초3,YBM(최),2022,4,cow,소,,,
180,311,초3,YBM(최),2022,4,duck,오리,,,
181,311,초3,YBM(최),2022,4,zebra,얼룩말,,,
182,311,초3,YBM(최),2022,4,dog,개,,,
183,311,초3,YBM(최),2022,4,cat,고양이,,,
184,311,초3,YBM(최),2022,4,rabbit,토끼,,,
185,311,초3,YBM(최),2022,5,banana,바나나,,,
186,311,초3,YBM(최),2022,5,apple,사과,,,
187,311,초3,YBM(최),2022,5,grapes,포도,,,
188,311,초3,YBM(최),2022,5,orange,오렌지,,,
189,311,초3,YBM(최),2022,5,fig,무화과,,,
190,311,초3,YBM(최),2022,5,pizza,피자,,,
191,311,초3,YBM(최),2022,5,salad,샐러드,,,
192,311,초3,YBM(최),2022,5,bread,빵,,,
193,311,초3,YBM(최),2022,5,ice cream,아이스크림,,,
194,311,초3,YBM(최),2022,5,tomato,토마토,,,
195,311,초3,YBM(최),2022,5,soup,수프,,,
196,311,초3,YBM(최),2022,6,swim,수영하다,,,
197,311,초3,YBM(최),2022,6,jump,점프하다,,,
198,311,초3,YBM(최),2022,6,catch,잡다,,,
199,311,초3,YBM(최),2022,6,fly,날다,,,
200,311,초3,YBM(최),2022,6,kick,(발로) 차다,,,
201,311,초3,YBM(최),2022,6,slide,미끄러지다,,,
202,311,초3,YBM(최),2022,6,dance,춤추다,,,
203,311,초3,YBM(최),2022,6,climb,"오르다, 올라가다",,,
204,311,초3,YBM(최),2022,6,ski,스키를 타다,,,
205,311,초3,YBM(최),2022,7,ruler,자,,,
206,311,초3,YBM(최),2022,7,pencil,연필,,,
207,311,초3,YBM(최),2022,7,eraser,지우개,,,
208,311,초3,YBM(최),2022,7,notebook,공책,,,
209,311,초3,YBM(최),2022,7,crayon,크레용,,,
210,311,초3,YBM(최),2022,7,scissors,가위,,,
211,311,초3,YBM(최),2022,7,glue stick,풀,,,
212,311,초3,YBM(최),2022,7,pencil case,필통,,,
213,311,초3,YBM(최),2022,8,sad,슬픈,,,
214,311,초3,YBM(최),2022,8,happy,행복한,,,
215,311,초3,YBM(최),2022,8,angry,화가 난,,,
216,311,초3,YBM(최),2022,8,hungry,배고픈,,,
217,311,초3,YBM(최),2022,8,birthday,생일,,,
218,311,초3,YBM(최),2022,8,six,"여섯, 6",,,
219,311,초3,YBM(최),2022,8,seven,"일곱, 7",,,
220,311,초3,YBM(최),2022,8,eight,"여덟, 8",,,
221,311,초3,YBM(최),2022,8,nine,"아홉, 9",,,
222,311,초3,YBM(최),2022,8,ten,"열, 10",,,
223,311,초3,YBM(최),2022,8,tired,피곤한,,,
224,311,초3,YBM(최),2022,9,color,색깔,,,
225,311,초3,YBM(최),2022,9,red,빨강,,,
226,311,초3,YBM(최),2022,9,yellow,노랑,,,
227,311,초3,YBM(최),2022,9,green,초록,,,
228,311,초3,YBM(최),2022,9,brown,갈색,,,
229,311,초3,YBM(최),2022,9,pink,분홍색,,,
230,311,초3,YBM(최),2022,9,white,하얀색,,,
231,311,초3,YBM(최),2022,9,orange,주황,,,
232,311,초3,YBM(최),2022,9,purple,보라,,,
233,311,초3,YBM(최),2022,9,blue,파랑,,,
234,311,초3,YBM(최),2022,10,cloudy,흐린,,,
235,311,초3,YBM(최),2022,10,raining,비가 오는,,,
236,311,초3,YBM(최),2022,10,snowing,눈이 오는,,,
237,311,초3,YBM(최),2022,10,windy,바람이 부는,,,
238,311,초3,YBM(최),2022,10,weather,날씨,,,
239,311,초3,YBM(최),2022,10,snowman,눈사람,,,
240,311,초3,YBM(최),2022,10,cold,추운,,,
241,311,초3,YBM(최),2022,10,hot,더운,,,
242,311,초3,YBM(최),2022,10,sunny,화창한,,,
243,311,초3,YBM(최),2022,10,hat,모자,,,
