example_english,example_korean
Studying many foreign languages often enhances pronunciation	especially when meticulously mastering each word's proper accent.,많은 외국어를 공부하면 발음이 향상되는데	특히 각 단어의 올바른 강세를 꼼꼼히 익히는 것이 중요해요.
Her charming accent made her speech both captivating and easy to understand in every conversation.,그녀의 매력적인 억양은 모든 대화에서 그녀의 말을 매료되고 쉽게 이해할 수 있게 했어요.
We need to advertise our new product effectively through various media channels for maximum reach.,우리는 최대한의 도달 효과를 위해 다양한 미디어 채널을 통해 새로운 제품을 광고해야 해요.
The company decided to advertize its innovative products on new digital platforms to attract customers.,회사는 새로운 디지털 플랫폼에서 혁신적인 제품을 광고하여 고객을 유치하려고 했어요.
"The innovative airline successfully launched new routes internationally, offering affordable airfare and exceptional customer service.",혁신적인 항공사가 국제적으로 새로운 노선을 성공적으로 개설하여 저렴한 항공료와 뛰어난 고객 서비스를 제공했어요.
"The loud alarm unexpectedly rang in the building, causing panic and utter confusion among employees.",큰 경보음이 갑자기 건물 안에서 울리며 직원들 사이에 공포와 완전한 혼란을 일으켰어요.
I set my alarm clock every night to ensure I wake up early for work.,저는 매일 밤 자명종을 맞춰 아침 일찍 일어나도록 해요.
"During the long, busy evening, he decided to enjoy a small glass of fine alcohol.","긴, 바쁜 저녁 시간 동안 그는 좋은 알코올 한 잔을 즐기기로 결정했어요."
"She dramatically read the beautiful poem aloud, captivating every listener with her clear, powerful voice.","그녀는 아름다운 시를 소리 내어 극적으로 읽었고, 모든 청중을 그녀의 또렷하고 강렬한 목소리로 매료시켰어요."
The magician's incredible tricks never cease to amaze	the attentive audience during every live performance.,마술사의 놀라운 묘기들은 모든 라이브 공연 중 항상 관객들을 놀라게 해요.
The clown's hilarious performance truly tried to amuse	the entire audience during the exciting circus show.,광대의 유쾌한 공연이	흥미로운 서커스 쇼에서 모든 관중들을 즐겁게 했어요.
"After careful analysis of the statistical data, the team discovered unexpected relationships in various fields.","통계 자료에 대한 신중한 분석 후, 팀은 여러 분야에서 예상치 못한 관계를 발견했어요."
The loud ticking clock consistently began to annoy my friend during our quiet study session.,그 시계 소리가 우리 조용한 공부 시간에 계속해서 친구를 화나게 했어요.
"The ant worked persistently despite its extremely small size, carrying food on a long journey.",이 개미는 매우 작지만 끈기 있게 음식을 운반하며 긴 여정을 걸었어요.
The highly qualified applicant eagerly submitted her resume for the competitive job opportunity last week.,높은 자격을 갖춘 신청자는 지난 주에 경쟁적인 채용 기회를 위해 이력서를 열심히 제출했어요.
"I truly enjoy cooking bacon in the morning for a delicious, savory breakfast treat daily.",저는 매일 아침 맛있고 고소한 베이컨 요리를 조리하여 하루를 기분 좋게 시작해요.
"The beautiful bay reliably offered calm waters, magnificent views, and opportunities for a relaxing vacation.","아름다운 만은 잔잔한 물결과 멋진 풍경, 그리고 편안한 휴식을 위한 기회를 제공했어요."
The bay behind the old town is a quiet area offering scenic views every day.,오래된 마을 뒤에 위치한 만은 매일 아름다운 경관을 제공하는 조용한 구역이었어요.
"After a long day of work, I enjoyed a refreshing beer at the local bar.","긴 하루를 보낸 후, 나는 동네 바에서 시원한 맥주를 즐겼어요."
Her unwavering belief in justice and compassion always gave everyone hope for a better future.,그녀의 변함없는 정의와 자비에 대한 믿음은 언제나 모두에게 더 나은 미래에 대한 희망을 주었어요.
Her deep belief in justice and equality continuously inspired those around her to act fairly.,그녀의 깊은 신념인 정의와 평등은 주변 사람들에게 계속해서 공정하게 행동하도록 영감을 주었어요.
I sat on a colorful bench in the park enjoying a very peaceful sunny afternoon.,나는 공원에 있는 화사한 벤치에 앉아 매우 평화로운 화창한 오후를 즐겼어요.
"The athlete's extraordinary skills were clearly beyond ordinary limits, impressing everyone with his remarkable talent.",그 선수의 비범한 실력은 평범한 한계를 능가하여 모든 사람의 감탄을 자아냈어요.
The breathtaking view extended far beyond the rolling hills	into a mysterious valley at sunset.,"해질녘에, 숨막히는 풍경은 구불구불한 언덕 너머의 신비로운 계곡으로 이어졌어요."
I need to bind several important documents tightly together using strong rope for secure shipment.,나는 안전한 배송을 위해 강한 밧줄로 여러 중요한 문서를 단단하게 묶었어요.
"Every Sunday, I generously bless my family with warm wishes and heartfelt blessings for health.",매주 일요일마다 저는 제 가족에게 따뜻한 소원과 진심 어린 축복을 건강을 위해 아낌없이 축복해요.
"After months of hard work, the startup began to boom in popularity across multiple markets.","수개월간의 노력 후, 그 스타트업은 다양한 시장에서 번창하며 호황을 맞이했어요."
"Every evening, a motorcycle engine booms across the road, echoing its sound throughout the valley.","매일 저녁, 한 대의 오토바이 엔진이 도로를 가로질러 윙윙 울리며 계곡 전체에 소리를 퍼뜨렸어요."
The skilled carpenter expertly bored a remarkably precise circular hole in the thick wooden board.,이 숙련된 목수는 놀랍도록 정밀한 원형 구멍을 두꺼운 나무 판에 뚫었어요.
The long history documentary often bore the audience with its complicated details and slow pace.,그 긴 역사 다큐멘터리가 복잡한 세부사항과 느린 전개로 관객들을 지루하게 했어요.
"The long, monotonous lecture quickly began to bore the entire class, absolutely leaving everyone uninterested.","긴, 단조로운 강의는 순식간에 학급 전체를 지루하게 하여, 모든 학생들이 흥미를 잃게 했어요."
I boss my diligent team with clear authority during our heated corporate meetings every quarter.,저는 매 분기마다 열정적인 팀을 명확하게 지배하며 중요한 회의를 이끌어 가요.
My new boss scheduled a challenging meeting that forced our team to devise creative strategies.,제 새로운 상사는 우리 팀이 창의적인 전략을 구상하도록 도전적인 회의를 계획하셨어요.
"During my routine checkup, I realized that the old brake system required a complete overhaul.	I had to immediately schedule repairs for it.","정기 점검 중에 낡은 브레이크 시스템이 완전히 교체되어야 한다는 것을 깨달았고, 즉시 수리 일정을 잡아야 했어요."
"During a bright summer afternoon, the shiny bubble	slowly floated silently above the calm lake.",밝은 여름 오후에 반짝이는 거품이 천천히 떠올라 고요한 호수 위를 지나갔어요.
The constant noise from the construction site continued to bug me throughout the long night.,건설 현장에서 나는 끊임없는 소음이 긴 밤 내내 저를 괴롭혔어요.
