example_english,example_korean
We all take good care of our Earth.,우리 모두 우리 지구를 잘 돌봐요.
A strong earthquake shook the town very hard.,강한 지진이 마을을 매우 세게 흔들었어요.
She easily finishes her homework every single day.,그녀는 매일 숙제를 쉽게 끝내요.
The bright sun always rises in the east.,밝은 해는 항상 동쪽에서 떠요.
I always eat a tasty apple every day.,저는 항상 맛있는 사과를 매일 먹어요.
She always eats out all her dessert quickly.,그녀는 항상 모든 디저트를 다 먹어버리요.
We often eat out at a busy restaurant.,우리는 자주 바쁜 레스토랑에서 외식해요.
The green apples are eatable and very sweet.,초록 사과는 먹을 수 있고 매우 달콤해요.
I always use my eco-bag at the mall.,나는 항상 쇼핑몰에서 에코백을 사용해요.
My eco-bag always helps to save our Earth.,내 친환경 가방은 항상 우리 지구를 지켜줘요.
The local store sells eco-friendly products for children.,우리 동네 가게는 친환경 제품을 아이들에게 팔아요.
The ecologist always protects nature every single day.,생태학자는 매일 자연을 항상 보호해요.
My friend always studies economics at our school.,우리 학교에서 친구가 경제학을 항상 공부해요.
The talented editor edits news articles every day.,재능 있는 편집자는 매일 뉴스 기사를 편집해요.
Proper education opens many new doors for you.,올바른 교육은 당신에게 새로운 문을 열어요.
My teacher always is a very kind educator.,제 선생님은 항상 아주 친절한 교육자예요.
She plans lessons effectively to teach her class.,그녀는 학급을 가르치기 위해 수업을 효과적으로 계획해요.
The bright egg lies in a small basket.,밝은 알이 작은 바구니에 있어요.
I see fresh eggplant in the market today.,나는 오늘 시장에서 신선한 가지를 봐요.
The elderly man sits calmly by the park.,나이가 지긋한 남자가 공원에서 차분히 앉아 있어요.
The candidate prints his election promises on posters.,후보가 포스터에 선거 공약을 인쇄했어요.
Every person votes in the election on Sunday.,모든 사람은 일요일에 선거에서 투표해요.
The school uses electricity for very bright lights.,학교는 아주 밝은 불빛에 전기를 사용해요.
My sister goes to elementary school every day.,내 여동생은 매일 초등학교에 가요.
The friendly elephant walks slowly in the zoo.,친절한 코끼리가 동물원에서 천천히 걸어요.
Her small fall was very embarrassing in class.,그녀의 작은 넘어짐은 수업 시간에 당황했어요.
Please dial 911 quickly during an emergency situation.,비상사태일 때는 911로 바로 전화해요.
I used a happy emoji in text message.,문자 메시지에 행복한 이모지를 사용했어요.
I always use a funny emoticon in texts.,나는 항상 사용해요 재미있는 이모티콘을 문자에 사용해요.
My mom was very emotional at dinner tonight.,엄마가 오늘 저녁 식사 때 감정적이었어요.
Teachers always encourage their students to study more.,선생님들은 항상 학생들을 더 공부하도록 격려해요.
Parents always encourage children to do their homework.,부모님은 항상 자녀가 숙제를 하도록 권장해요.
Parents always encourage kids to learn and grow.,부모님들은 항상 아이들이 배우고 성장하도록 부추겨요.
I always work hard to achieve my end.,나는 항상 내 목표를 이루려고 열심히 노력해요.
My small plant ended up dying in winter.,내 작은 식물은 겨울에 죽었어요.
They always work and end up very tired.,그들은 항상 일하여 결국 매우 피곤해요.
"After playing, we always end up missing dinner.",놀고 나면 우리는 항상 저녁을 놓치게 돼요.
I always end up eating lunch at noon.,나는 항상 결국 정오에 점심을 먹게 돼요.
Littering and pollution endanger many rare wild animals.,쓰레기와 오염은 많은 희귀 야생동물을 멸종위기에 처하게 해요.
Pollution can seriously endanger wild animals in nature.,오염은 자연에서 야생 동물을 위험에 빠뜨릴 수 있어요.
My school has an endless playground for games.,우리 학교에는 끝없는 놀이터가 있어요.
