*중고등1200 교육부 지정 영단어의 영어 데이터 > 워드P에서 해당 단어의 모든 다의어 리스트업,,,,,,,,,,,
voca NO,grade ID,grade NO,WordText,WordMeaning,PoS,품사,image ID,WordID(SoundID),WordSymbol,example_english,example_korean
1,,,accent,강세,2,명사,5094,14274,[ǽksent],,
2,,,accent,억양,2,명사,5133,20699,[ǽksent],,
3,#N/A,#N/A,advertise,광고하다,1,동사,420,671,[ǽdvərtàiz],,
4,,,advertize,광고하다,1,동사,418,17024,[ǽdvərtàiz],,
5,,,airline,항공사,2,명사,10922,6702,[έərlàin],,
6,,,alarm,"놀람,경보",2,명사,777,1244,[əlá:rm],,
7,,,alarm,"알람,자명종",2,명사,5760,25541,[əlá:rm],,
8,,,alcohol,알코올,2,명사,2200,3624,[ǽlkəhɔ̀:l],,
9,,,aloud,소리 내어,4,부사,1895,3149,[əláud],,
10,,,amaze,놀라게 하다,1,동사,7950,1238,[əméiz],,
11,,,amuse,즐겁게 하다,1,동사,3255,5396,[əmjú:z],,
12,,,analysis,분석,2,명사,1570,2588,[ənǽləsis],,
13,,,annoy,화나게 하다,1,동사,8501,6467,[ənɔ́i],,
14,,,ant,개미,2,명사,10111,13707,[ǽnt],,
15,,,applicant,신청자,2,명사,2099,3447,[ǽplikənt],,
16,,,bacon,베이컨,2,명사,15853,25377,[béikən],,
17,,,bay,만,2,명사,1114,1769,[béi],,
18,,,bay,구역,2,명사,10729,19836,[béi],,
19,,,beer,맥주,2,명사,1150,1854,[bíər],,
20,,,belief,믿음,2,명사,7982,6498,[bilí:f],,
21,,,belief,신념,2,명사,7982,21466,[bilí:f],,
22,,,bench,벤치,2,명사,1453,2354,[bénʧ],,
23,,,beyond,능가하는,3,형용사,7955,18941,[bijánd; biánd],,
24,,,beyond,저편에,6,전치사,2984,4918,[bijánd; biánd],,
25,,,bind,묶다,1,동사,1262,2040,[báind],,
26,,,bless,축복하다,1,동사,3471,5764,[blés],,
27,,,boom,"번창하다,호황을 맞다",1,동사,1432,2315,[bú:m],,
28,,,boom,윙윙 울리다,1,동사,11605,31119,[buːm],,
29,,,bore,뚫다,1,동사,667,14350,[bɔ́:r],,
30,,,bore,지루하게 하다,1,동사,4999,16502,[bɔ́:r],,
31,,,bore,지루하게 하다,1,동사,4999,17055,[bɔːr],,
32,,,boss,지배하다,1,동사,9909,20763,[bɔ́:s; bas],,
33,,,boss,상사,2,명사,1750,2909,[bɔ́:s; bas],,
34,,,brake,브레이크,2,명사,10392,14048,[bréik],,
35,,,bubble,거품,2,명사,209,315,[bʌ́bl],,
36,,,bug,괴롭히다,1,동사,4081,25210,[bʌ́g],,
37,,,bug,"벌레,곤충",2,명사,351,14364,[bʌ́g],,
38,,,bug,컴퓨터상의 오류,2,명사,4428,18216,[bʌ́g],,
39,,,bush,수풀,2,명사,1990,3281,[búʃ],,
40,,,cable,케이블,2,명사,3534,5879,[kéibl],,
41,,,calculator,계산기,2,명사,10466,14143,[kǽlkjulèitər],,
42,,,calendar,달력,2,명사,863,1380,[kǽləndər],,
43,,,calendar,일정표,2,명사,10998,19505,[kǽləndər],,
44,,,cape,망토,2,명사,11267,16507,[kéip],,
45,#N/A,#N/A,catalog,카탈로그,2,명사,3525,5868,[kǽtəlɔ̀:g],,
46,,,catalogue,상품목록,2,명사,1767,2944,[kǽtəlɔ̀:g],,
47,,,chain,묶다,1,동사,10886,21484,[ʧéin],,
48,,,chain,사슬,2,명사,1699,2825,[ʧéin],,
49,,,cigarette,담배,2,명사,12198,16450,[sìgərét],,
50,,,commerce,상업,2,명사,1757,2923,[kɔ́mərs],,
51,,,context,전후 관계,2,명사,10897,5019,[kántekst],,
52,,,context,문맥,2,명사,10897,27183,[kάntekst],,
53,,,converse,이야기하다,1,동사,7974,20347,[kənvə́:rs],,
54,,,converse,거꾸로의,3,형용사,9483,2175,[kənvə́:rs],,
55,,,cop,경찰,2,명사,7855,29724,[kap],,
56,,,county,(미국의 행정단위) 군,2,명사,484,768,[káunti],,
57,,,county,자치주,2,명사,13021,18962,[káunti],,
58,,,cruel,잔인한,3,형용사,2900,4801,[krú:əl],,
59,,,curiosity,호기심,2,명사,3875,6434,[kjʊriásəti],,
60,,,cycle,자전거를 타다,1,동사,4946,17104,[sáikl],,
61,,,cycle,자전거,2,명사,2881,17103,[sáikl],,
