id,WordText,WordMeaning,PoSText
21652,undergo,"경험하다,겪다",동사
21653,undermine,약화시키다,동사
21654,undermine,(명예 등을) 훼손시키다,동사
21655,undertake,"떠맡다,착수하다",동사
21656,unify,통일하다,동사
21657,unique,"독특한,유일한",형용사
21658,unique,유일한,형용사
21659,universe,우주,명사
21660,unprecedented,전례 없는,형용사
21661,update,최신으로 만들다,동사
21662,upward,위쪽으로,부사
21663,urban,도시의,형용사
21664,urge,재촉하다,동사
21665,urge,충동,명사
21666,urge,권고하다,동사
21667,urge,압력을 가하다,동사
21668,urgent,긴급한,형용사
21669,utilize,활용하다,동사
21670,utter,완전한,형용사
21671,utter,말하다,동사
21672,vacate,"떠나다,비우다",동사
21673,vacation,휴가,명사
21674,vacation,방학,명사
21675,vaccine,백신,명사
21676,vacuum,진공(상태),명사
21677,vacuum,진공청소기,명사
21678,vacuum,진공 청소기로 청소하다,동사
21679,vacuum,"진공의,진공을 이용한",형용사
21680,vague,"어렴풋한,분명치 않은",형용사
21681,valid,"타당한,유효한",형용사
21682,vanish,사라지다,동사
21683,vast,"광대한,어마어마한",형용사
21684,venture,모험(적 시도),명사
21685,venture,사업,명사
21686,venture,모험하다,동사
21687,verb,동사,명사
21688,verbal,말로 하는,형용사
21689,verse,운문,명사
21690,versus,대,명사
21691,vertical,수직의,형용사
21692,vessel,(대형) 선박,명사
21693,vessel,혈관,명사
21694,vessel,그릇,명사
21695,veterinarian,수의사,명사
21696,via,"~을 경유하여,~을 통해서",전치사
21697,vice,악덕,명사
21698,victory,승리,명사
21699,vigor,"활력,정력",명사
21700,vigorous,힘찬,형용사
21701,vigorous,"격렬한,활기찬",형용사
21702,virgin,처녀,명사
21703,virtual,가상의,형용사
21704,virtual,사실상의,형용사
21705,virtue,선행,명사
21706,virus,바이러스,명사
21707,visible,볼 수 있는,형용사
21708,visible,분명한,형용사
21709,visual,시각의,형용사
21710,vital,필수적인,형용사
21711,vital,생명의,형용사
21712,vital,활력이 넘치는,형용사
21713,vivid,생생한,형용사
21714,vocabulary,어휘,명사
21715,vocation,"천직,소명",명사
21716,wander,"돌아다니다,헤매다",동사
21717,warehouse,창고,명사
21718,warrant,보증,명사
21719,wealth,재산,명사
21720,weave,"(옷감 등을) 짜다,엮다",동사
21721,weed,잡초,명사
21722,weed,잡초를 뽑다,동사
21723,weird,"기이한,기묘한",형용사
21724,weird,이상한,형용사
21725,welfare,복지,명사
21726,wheat,밀,명사
21727,whereas,반면에,접속사
21728,whip,거품이 나도록 휘젓다,동사
21729,whip,채찍,명사
21730,whip,세차게 때리다,형용사
21731,wicked,사악한,형용사
21732,wit,재치,명사
21733,withdraw,인출하다,동사
21734,withdraw,물러나다,동사
21735,withdraw,(특권을) 박탈하다,동사
21736,withdraw,(소송을) 취하하다,동사
21737,withdraw,혼자만의 세계에 틀어박히다,동사
21738,witness,증인,명사
21739,witness,목격하다,동사
21740,worship,숭배,명사
21741,worship,"예배,참배",명사
21742,wreck,난파선,명사
21743,wreck,망가뜨리다,동사
21744,yield,양보하다,동사
21745,yield,수확량,명사
21746,yield,"(수익/결과 등을) 내다,산출하다",동사
21747,zone,지역,명사
21748,abuse,남용,명사
21749,abuse,남용하다,동사
21750,accord,(국가 간) 협정,명사
21751,accord,조화시키다,동사
21752,anchor,닻,명사
21753,anchor,고정시키다,동사
21754,angle,비스듬이 움직이다,동사
21755,angle,각도,명사
21756,approximate,대략의,형용사
21757,approximate,근접하다,동사
21758,awe,경외,명사
21759,awe,경외하다,동사
21760,ban,금지,명사
